Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000167,23,17
ClassicQuicksort,10,1,1,True,17,0.000141,28,22
ClassicQuicksort,10,2,1,False,10,0.000143,25,22
ClassicQuicksort,10,2,1,True,17,0.000051,28,22
ClassicQuicksort,10,3,1,False,10,0.000164,30,25
ClassicQuicksort,10,3,1,True,17,0.000061,28,22
DualPivotQuicksort,10,1,2,False,10,0.000211,25,16
DualPivotQuicksort,10,1,2,True,17,0.000040,28,22
OptimalDualPivotQuicksort,10,1,2,False,10,0.000124,25,16
OptimalDualPivotQuicksort,10,1,2,True,17,0.000048,28,22
DualPivotQuicksort,10,2,2,False,10,0.000133,38,25
DualPivotQuicksort,10,2,2,True,17,0.000030,28,22
OptimalDualPivotQuicksort,10,2,2,False,10,0.000118,38,25
OptimalDualPivotQuicksort,10,2,2,True,17,0.000040,28,22
YaroslavskiyQuicksort,10,1,2,True,17,0.000065,28,22
ThreePivotQuicksort,10,1,3,True,13,0.000185,28,22
MPivotQuicksort,10,1,3,True,13,0.000041,28,22
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000029,28,22
MPivotQuicksort,10,1,4,True,13,0.000040,28,22
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000028,28,22
MPivotQuicksort,10,1,5,True,13,0.000028,28,22
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000034,28,22
MPivotQuicksort,10,1,6,True,13,0.000027,28,22
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000031,28,22
ClassicQuicksort,1007,1,1,False,10,0.000473,10810,5993
ClassicQuicksort,1007,1,1,True,17,0.001728,11545,6856
ClassicQuicksort,1007,2,1,False,10,0.000705,10765,6495
ClassicQuicksort,1007,2,1,True,17,0.001081,11396,6857
ClassicQuicksort,1007,3,1,False,10,0.000546,10848,6156
ClassicQuicksort,1007,3,1,True,17,0.000449,10959,6356
