Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000052,26,14
ClassicQuicksort,10,1,1,True,17,0.000038,29,23
ClassicQuicksort,10,2,1,False,10,0.000072,31,18
ClassicQuicksort,10,2,1,True,17,0.000069,29,23
ClassicQuicksort,10,3,1,False,10,0.000115,32,26
ClassicQuicksort,10,3,1,True,17,0.000047,29,23
DualPivotQuicksort,10,1,2,False,10,0.000113,35,16
DualPivotQuicksort,10,1,2,True,17,0.000032,29,23
OptimalDualPivotQuicksort,10,1,2,False,10,0.000061,34,16
OptimalDualPivotQuicksort,10,1,2,True,17,0.000240,29,23
DualPivotQuicksort,10,2,2,False,10,0.000076,30,21
DualPivotQuicksort,10,2,2,True,17,0.000059,29,23
OptimalDualPivotQuicksort,10,2,2,False,10,0.000075,30,21
OptimalDualPivotQuicksort,10,2,2,True,17,0.000034,29,23
YaroslavskiyQuicksort,10,1,2,True,17,0.000032,29,23
ThreePivotQuicksort,10,1,3,True,13,0.000088,29,23
MPivotQuicksort,10,1,3,True,13,0.000032,29,23
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000036,29,23
MPivotQuicksort,10,1,4,True,13,0.000037,29,23
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000036,29,23
MPivotQuicksort,10,1,5,True,13,0.000034,29,23
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000034,29,23
MPivotQuicksort,10,1,6,True,13,0.000056,29,23
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000051,29,23
ClassicQuicksort,1007,1,1,False,10,0.000447,11284,6091
ClassicQuicksort,1007,1,1,True,17,0.000404,11974,6899
ClassicQuicksort,1007,2,1,False,10,0.000589,11272,6404
ClassicQuicksort,1007,2,1,True,17,0.000486,12042,6970
ClassicQuicksort,1007,3,1,False,10,0.000649,10310,6287
ClassicQuicksort,1007,3,1,True,17,0.000462,10714,6727
DualPivotQuicksort,1007,1,2,False,10,0.009876,10224,4168
DualPivotQuicksort,1007,1,2,True,17,0.000896,10620,4915
OptimalDualPivotQuicksort,1007,1,2,False,10,0.013293,10131,4168
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000988,10551,4915
DualPivotQuicksort,1007,2,2,False,10,0.009472,10674,4954
DualPivotQuicksort,1007,2,2,True,17,0.001024,10315,4901
OptimalDualPivotQuicksort,1007,2,2,False,10,0.006197,10518,4954
OptimalDualPivotQuicksort,1007,2,2,True,17,0.001129,10158,4901
YaroslavskiyQuicksort,1007,1,2,True,17,0.000542,10827,5078
ThreePivotQuicksort,1007,1,3,True,13,0.001547,13962,4973
MPivotQuicksort,1007,1,3,True,13,0.000583,11566,5447
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000728,15281,7066
MPivotQuicksort,1007,1,4,True,13,0.000669,11969,5383
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000763,16013,6644
MPivotQuicksort,1007,1,5,True,13,0.000946,13389,5334
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.000801,17063,6665
MPivotQuicksort,1007,1,6,True,13,0.000663,14209,5704
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.000767,16833,6548
ClassicQuicksort,104,1,1,False,10,0.000106,676,353
ClassicQuicksort,104,1,1,True,17,0.000107,781,468
ClassicQuicksort,104,2,1,False,10,0.000095,657,423
ClassicQuicksort,104,2,1,True,17,0.000099,699,448
ClassicQuicksort,104,3,1,False,10,0.000116,748,505
ClassicQuicksort,104,3,1,True,17,0.000202,766,530
DualPivotQuicksort,104,1,2,False,10,0.000510,696,288
DualPivotQuicksort,104,1,2,True,17,0.000139,690,328
OptimalDualPivotQuicksort,104,1,2,False,10,0.000339,663,288
OptimalDualPivotQuicksort,104,1,2,True,17,0.000388,660,328
DualPivotQuicksort,104,2,2,False,10,0.000735,756,412
DualPivotQuicksort,104,2,2,True,17,0.000238,713,417
OptimalDualPivotQuicksort,104,2,2,False,10,0.000372,755,412
OptimalDualPivotQuicksort,104,2,2,True,17,0.000154,711,417
YaroslavskiyQuicksort,104,1,2,True,17,0.000553,759,435
ThreePivotQuicksort,104,1,3,True,13,0.000384,913,378
MPivotQuicksort,104,1,3,True,13,0.000196,819,462
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.000376,996,547
MPivotQuicksort,104,1,4,True,13,0.000195,877,437
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000201,981,447
MPivotQuicksort,104,1,5,True,13,0.000418,847,432
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000148,1069,479
MPivotQuicksort,104,1,6,True,13,0.000232,908,438
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000150,1166,516
ClassicQuicksort,11004838,1,1,False,10,15.276867,315108954,163725187
ClassicQuicksort,11004838,1,1,True,17,14.519145,322959412,172964146
ClassicQuicksort,11004838,2,1,False,10,21.565486,315474344,160984540
ClassicQuicksort,11004838,2,1,True,17,19.816802,323292749,165848403
ClassicQuicksort,11004838,3,1,False,10,17.085123,287387519,150771735
ClassicQuicksort,11004838,3,1,True,17,15.226697,290133035,154081927
DualPivotQuicksort,11004838,1,2,False,10,113.611252,311348180,111392987
DualPivotQuicksort,11004838,1,2,True,17,35.880629,314897345,118217031
OptimalDualPivotQuicksort,11004838,1,2,False,10,95.783323,303983684,111392987
OptimalDualPivotQuicksort,11004838,1,2,True,17,40.605418,307714488,118217031
DualPivotQuicksort,11004838,2,2,False,10,137.495840,291212818,113805812
DualPivotQuicksort,11004838,2,2,True,17,45.160876,288225801,114711613
OptimalDualPivotQuicksort,11004838,2,2,False,10,110.092245,286544528,113805812
OptimalDualPivotQuicksort,11004838,2,2,True,17,46.495238,283500671,114711613
YaroslavskiyQuicksort,11004838,1,2,True,17,13.454707,293071151,111575099
ThreePivotQuicksort,11004838,1,3,True,13,19.295636,401983615,115751580
MPivotQuicksort,11004838,1,3,True,13,18.009030,320327019,121818205
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,32.865679,431924847,172824268
MPivotQuicksort,11004838,1,4,True,13,18.622804,342105068,114758381
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,34.244759,436550311,158259982
MPivotQuicksort,11004838,1,5,True,13,19.075392,352889425,113222469
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,38.211580,446718605,151156692
MPivotQuicksort,11004838,1,6,True,13,20.617346,378341222,112710400
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,39.056330,455996435,144006457
ClassicQuicksort,1146260,1,1,False,10,2.208882,27865527,14950014
ClassicQuicksort,1146260,1,1,True,17,2.382232,28679754,15908345
ClassicQuicksort,1146260,2,1,False,10,2.972672,27759295,14843363
ClassicQuicksort,1146260,2,1,True,17,2.318617,28577604,15353318
ClassicQuicksort,1146260,3,1,False,10,2.336591,25445092,13861608
