Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000083,31,10
ClassicQuicksort,10,1,1,True,17,0.000050,23,16
ClassicQuicksort,10,2,1,False,10,0.000110,27,19
ClassicQuicksort,10,2,1,True,17,0.000070,23,16
ClassicQuicksort,10,3,1,False,10,0.000137,29,19
ClassicQuicksort,10,3,1,True,17,0.000048,23,16
DualPivotQuicksort,10,1,2,False,10,0.000113,25,10
DualPivotQuicksort,10,1,2,True,17,0.000050,23,16
OptimalDualPivotQuicksort,10,1,2,False,10,0.000093,25,10
OptimalDualPivotQuicksort,10,1,2,True,17,0.000069,23,16
DualPivotQuicksort,10,2,2,False,10,0.000063,32,16
DualPivotQuicksort,10,2,2,True,17,0.000047,23,16
OptimalDualPivotQuicksort,10,2,2,False,10,0.000098,32,16
OptimalDualPivotQuicksort,10,2,2,True,17,0.000047,23,16
YaroslavskiyQuicksort,10,1,2,True,17,0.000049,23,16
ThreePivotQuicksort,10,1,3,True,13,0.000155,23,16
MPivotQuicksort,10,1,3,True,13,0.000079,23,16
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000049,23,16
MPivotQuicksort,10,1,4,True,13,0.000043,23,16
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000056,23,16
MPivotQuicksort,10,1,5,True,13,0.000053,23,16
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000048,23,16
MPivotQuicksort,10,1,6,True,13,0.000071,23,16
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000047,23,16
ClassicQuicksort,1007,1,1,False,10,0.000372,10946,5640
ClassicQuicksort,1007,1,1,True,17,0.000395,11768,6548
ClassicQuicksort,1007,2,1,False,10,0.000632,11132,5964
ClassicQuicksort,1007,2,1,True,17,0.000605,11817,6377
ClassicQuicksort,1007,3,1,False,10,0.000595,10445,5758
ClassicQuicksort,1007,3,1,True,17,0.000446,10658,6104
DualPivotQuicksort,1007,1,2,False,10,0.000785,10939,4108
DualPivotQuicksort,1007,1,2,True,17,0.000479,11435,4948
OptimalDualPivotQuicksort,1007,1,2,False,10,0.000791,10654,4108
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000558,11185,4948
DualPivotQuicksort,1007,2,2,False,10,0.000875,10828,5213
DualPivotQuicksort,1007,2,2,True,17,0.000514,10595,5265
OptimalDualPivotQuicksort,1007,2,2,False,10,0.000856,10689,5213
OptimalDualPivotQuicksort,1007,2,2,True,17,0.000588,10440,5265
YaroslavskiyQuicksort,1007,1,2,True,17,0.001166,10757,5516
ThreePivotQuicksort,1007,1,3,True,13,0.001726,15542,5512
MPivotQuicksort,1007,1,3,True,13,0.000773,12213,5334
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000793,15726,7291
MPivotQuicksort,1007,1,4,True,13,0.000612,12394,5536
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000971,15656,6662
MPivotQuicksort,1007,1,5,True,13,0.004145,12868,5664
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.000965,15783,6536
MPivotQuicksort,1007,1,6,True,13,0.000781,15344,5492
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.000800,17045,6252
ClassicQuicksort,104,1,1,False,10,0.000073,705,410
ClassicQuicksort,104,1,1,True,17,0.000066,804,516
ClassicQuicksort,104,2,1,False,10,0.000347,698,472
ClassicQuicksort,104,2,1,True,17,0.000101,726,453
ClassicQuicksort,104,3,1,False,10,0.000104,708,458
ClassicQuicksort,104,3,1,True,17,0.000097,713,450
DualPivotQuicksort,104,1,2,False,10,0.000134,790,276
DualPivotQuicksort,104,1,2,True,17,0.000082,833,368
OptimalDualPivotQuicksort,104,1,2,False,10,0.000164,787,276
OptimalDualPivotQuicksort,104,1,2,True,17,0.000116,835,368
DualPivotQuicksort,104,2,2,False,10,0.000251,768,372
DualPivotQuicksort,104,2,2,True,17,0.000096,737,394
OptimalDualPivotQuicksort,104,2,2,False,10,0.000211,757,372
OptimalDualPivotQuicksort,104,2,2,True,17,0.000129,725,394
YaroslavskiyQuicksort,104,1,2,True,17,0.000145,775,396
ThreePivotQuicksort,104,1,3,True,13,0.000470,914,407
MPivotQuicksort,104,1,3,True,13,0.000217,807,418
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.000112,935,455
MPivotQuicksort,104,1,4,True,13,0.000151,810,450
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000148,1137,514
MPivotQuicksort,104,1,5,True,13,0.000374,857,448
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000156,1085,497
MPivotQuicksort,104,1,6,True,13,0.000172,1030,509
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000118,1048,499
ClassicQuicksort,11004838,1,1,False,10,56.476885,324225067,171983892
ClassicQuicksort,11004838,1,1,True,17,48.325641,332056255,181205925
ClassicQuicksort,11004838,2,1,False,10,34.462907,321617517,168758915
ClassicQuicksort,11004838,2,1,True,17,38.096948,329456935,173643994
ClassicQuicksort,11004838,3,1,False,10,46.919988,288120416,150324281
ClassicQuicksort,11004838,3,1,True,17,58.663968,290857352,153631269
DualPivotQuicksort,11004838,1,2,False,10,40.893471,312717127,110661479
