Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000138,19,13
ClassicQuicksort,10,1,1,True,17,0.000056,27,19
ClassicQuicksort,10,2,1,False,10,0.000146,21,12
ClassicQuicksort,10,2,1,True,17,0.000056,27,19
ClassicQuicksort,10,3,1,False,10,0.000204,27,21
ClassicQuicksort,10,3,1,True,17,0.000051,27,19
DualPivotQuicksort,10,1,2,False,10,0.000109,24,14
DualPivotQuicksort,10,1,2,True,17,0.000041,27,19
OptimalDualPivotQuicksort,10,1,2,False,10,0.000131,25,14
OptimalDualPivotQuicksort,10,1,2,True,17,0.000052,27,19
DualPivotQuicksort,10,2,2,False,10,0.000157,29,19
DualPivotQuicksort,10,2,2,True,17,0.000042,27,19
OptimalDualPivotQuicksort,10,2,2,False,10,0.000136,30,19
OptimalDualPivotQuicksort,10,2,2,True,17,0.000073,27,19
YaroslavskiyQuicksort,10,1,2,True,17,0.000043,27,19
ThreePivotQuicksort,10,1,3,True,13,0.000085,27,19
MPivotQuicksort,10,1,3,True,13,0.000038,27,19
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000055,27,19
MPivotQuicksort,10,1,4,True,13,0.000041,27,19
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000056,27,19
MPivotQuicksort,10,1,5,True,13,0.000047,27,19
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000040,27,19
MPivotQuicksort,10,1,6,True,13,0.000063,27,19
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000042,27,19
ClassicQuicksort,1007,1,1,False,10,0.000623,11602,5745
ClassicQuicksort,1007,1,1,True,17,0.000557,12285,6556
ClassicQuicksort,1007,2,1,False,10,0.000701,11838,8340
ClassicQuicksort,1007,2,1,True,17,0.000639,12674,8880
ClassicQuicksort,1007,3,1,False,10,0.000664,10199,6151
ClassicQuicksort,1007,3,1,True,17,0.000583,10461,6412
DualPivotQuicksort,1007,1,2,False,10,0.000969,11522,4925
DualPivotQuicksort,1007,1,2,True,17,0.000495,11797,5517
OptimalDualPivotQuicksort,1007,1,2,False,10,0.015907,11416,4925
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000775,11709,5517
DualPivotQuicksort,1007,2,2,False,10,0.001360,10851,5505
DualPivotQuicksort,1007,2,2,True,17,0.000642,10539,5528
OptimalDualPivotQuicksort,1007,2,2,False,10,0.001440,10741,5505
OptimalDualPivotQuicksort,1007,2,2,True,17,0.002675,10416,5528
YaroslavskiyQuicksort,1007,1,2,True,17,0.033823,10655,4993
ThreePivotQuicksort,1007,1,3,True,13,0.014699,14634,4637
MPivotQuicksort,1007,1,3,True,13,0.000718,11338,5406
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.001819,15754,6857
MPivotQuicksort,1007,1,4,True,13,0.000873,12292,5553
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.001308,15079,6726
MPivotQuicksort,1007,1,5,True,13,0.000629,13309,5341
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.001484,16110,6344
MPivotQuicksort,1007,1,6,True,13,0.000677,14927,5505
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.009801,17367,6351
ClassicQuicksort,104,1,1,False,10,0.000702,670,344
ClassicQuicksort,104,1,1,True,17,0.000379,738,418
ClassicQuicksort,104,2,1,False,10,0.000852,669,444
ClassicQuicksort,104,2,1,True,17,0.000480,748,481
ClassicQuicksort,104,3,1,False,10,0.001859,714,449
ClassicQuicksort,104,3,1,True,17,0.000495,751,483
DualPivotQuicksort,104,1,2,False,10,0.003350,723,273
DualPivotQuicksort,104,1,2,True,17,0.001849,742,358
OptimalDualPivotQuicksort,104,1,2,False,10,0.003012,717,273
OptimalDualPivotQuicksort,104,1,2,True,17,0.000750,740,358
DualPivotQuicksort,104,2,2,False,10,0.012089,763,367
DualPivotQuicksort,104,2,2,True,17,0.002776,704,325
OptimalDualPivotQuicksort,104,2,2,False,10,0.016675,758,367
OptimalDualPivotQuicksort,104,2,2,True,17,0.000860,699,325
YaroslavskiyQuicksort,104,1,2,True,17,0.001114,781,438
ThreePivotQuicksort,104,1,3,True,13,0.002212,930,376
MPivotQuicksort,104,1,3,True,13,0.001251,848,422
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.001157,987,484
MPivotQuicksort,104,1,4,True,13,0.000882,809,423
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.002098,949,472
MPivotQuicksort,104,1,5,True,13,0.000741,828,383
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000824,1082,475
MPivotQuicksort,104,1,6,True,13,0.006783,885,449
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.001004,1016,518
ClassicQuicksort,11004838,1,1,False,10,44.405924,337697971,180779381
ClassicQuicksort,11004838,1,1,True,17,39.192169,345542782,190013615
ClassicQuicksort,11004838,2,1,False,10,38.798110,338680007,195400448
ClassicQuicksort,11004838,2,1,True,17,37.664386,346521968,200283977
ClassicQuicksort,11004838,3,1,False,10,41.463418,291627865,160786586
ClassicQuicksort,11004838,3,1,True,17,40.938941,294364150,164089966
DualPivotQuicksort,11004838,1,2,False,10,24.849361,309781555,113841855
DualPivotQuicksort,11004838,1,2,True,17,22.793065,313348289,120687781
OptimalDualPivotQuicksort,11004838,1,2,False,10,27.524354,300156531,113841855
OptimalDualPivotQuicksort,11004838,1,2,True,17,24.323384,303905076,120687781
DualPivotQuicksort,11004838,2,2,False,10,21.781539,294763371,110646441
DualPivotQuicksort,11004838,2,2,True,17,21.644358,291768183,111548998
OptimalDualPivotQuicksort,11004838,2,2,False,10,27.271062,289391816,110646441
OptimalDualPivotQuicksort,11004838,2,2,True,17,25.560718,286338572,111548998
