Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000046,25,23
ClassicQuicksort,10,1,1,True,17,0.000051,30,24
ClassicQuicksort,10,2,1,False,10,0.000064,21,20
ClassicQuicksort,10,2,1,True,17,0.000034,30,24
ClassicQuicksort,10,3,1,False,10,0.000062,30,29
ClassicQuicksort,10,3,1,True,17,0.000043,30,24
DualPivotQuicksort,10,1,2,False,10,0.000084,25,21
DualPivotQuicksort,10,1,2,True,17,0.000032,30,24
OptimalDualPivotQuicksort,10,1,2,False,10,0.000027,25,21
OptimalDualPivotQuicksort,10,1,2,True,17,0.000034,30,24
DualPivotQuicksort,10,2,2,False,10,0.000101,31,22
DualPivotQuicksort,10,2,2,True,17,0.000037,30,24
OptimalDualPivotQuicksort,10,2,2,False,10,0.000076,31,22
OptimalDualPivotQuicksort,10,2,2,True,17,0.000038,30,24
YaroslavskiyQuicksort,10,1,2,True,17,0.000033,30,24
ThreePivotQuicksort,10,1,3,True,13,0.000098,30,24
MPivotQuicksort,10,1,3,True,13,0.000033,30,24
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000097,30,24
MPivotQuicksort,10,1,4,True,13,0.000038,30,24
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000047,30,24
MPivotQuicksort,10,1,5,True,13,0.000052,30,24
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000058,30,24
MPivotQuicksort,10,1,6,True,13,0.000029,30,24
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000032,30,24
ClassicQuicksort,1007,1,1,False,10,0.000473,10737,5716
ClassicQuicksort,1007,1,1,True,17,0.000426,11491,6601
ClassicQuicksort,1007,2,1,False,10,0.000526,9977,5272
ClassicQuicksort,1007,2,1,True,17,0.000388,10714,5770
ClassicQuicksort,1007,3,1,False,10,0.000585,10410,6144
ClassicQuicksort,1007,3,1,True,17,0.000527,10604,6371
DualPivotQuicksort,1007,1,2,False,10,0.008978,10620,4470
DualPivotQuicksort,1007,1,2,True,17,0.002468,10930,5108
OptimalDualPivotQuicksort,1007,1,2,False,10,0.009985,10492,4470
OptimalDualPivotQuicksort,1007,1,2,True,17,0.002091,10821,5108
DualPivotQuicksort,1007,2,2,False,10,0.008321,10725,5071
DualPivotQuicksort,1007,2,2,True,17,0.000971,10311,5027
OptimalDualPivotQuicksort,1007,2,2,False,10,0.006632,10642,5071
OptimalDualPivotQuicksort,1007,2,2,True,17,0.001094,10209,5027
YaroslavskiyQuicksort,1007,1,2,True,17,0.000536,10798,4872
ThreePivotQuicksort,1007,1,3,True,13,0.001363,13937,4983
MPivotQuicksort,1007,1,3,True,13,0.000658,12136,5810
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000720,15104,7066
MPivotQuicksort,1007,1,4,True,13,0.000652,13047,5268
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000636,15438,6562
MPivotQuicksort,1007,1,5,True,13,0.000746,13663,5522
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.000786,16467,6788
MPivotQuicksort,1007,1,6,True,13,0.000817,14185,5525
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.000713,17003,6262
ClassicQuicksort,104,1,1,False,10,0.000133,867,458
ClassicQuicksort,104,1,1,True,17,0.000106,894,492
ClassicQuicksort,104,2,1,False,10,0.000100,701,494
ClassicQuicksort,104,2,1,True,17,0.000114,784,528
ClassicQuicksort,104,3,1,False,10,0.000203,730,473
ClassicQuicksort,104,3,1,True,17,0.000101,783,532
DualPivotQuicksort,104,1,2,False,10,0.000446,685,336
DualPivotQuicksort,104,1,2,True,17,0.000149,696,362
OptimalDualPivotQuicksort,104,1,2,False,10,0.000627,686,336
OptimalDualPivotQuicksort,104,1,2,True,17,0.000131,696,362
DualPivotQuicksort,104,2,2,False,10,0.000847,792,371
DualPivotQuicksort,104,2,2,True,17,0.000154,761,371
OptimalDualPivotQuicksort,104,2,2,False,10,0.001047,791,371
OptimalDualPivotQuicksort,104,2,2,True,17,0.000256,761,371
YaroslavskiyQuicksort,104,1,2,True,17,0.000659,745,393
ThreePivotQuicksort,104,1,3,True,13,0.000921,908,403
MPivotQuicksort,104,1,3,True,13,0.000209,814,433
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.000149,966,501
MPivotQuicksort,104,1,4,True,13,0.000181,867,453
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000328,1001,480
MPivotQuicksort,104,1,5,True,13,0.000167,891,453
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000275,1066,482
MPivotQuicksort,104,1,6,True,13,0.000141,960,419
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000116,1050,419
ClassicQuicksort,11004838,1,1,False,10,15.376414,325376714,159694506
ClassicQuicksort,11004838,1,1,True,17,14.748277,333203268,168905761
ClassicQuicksort,11004838,2,1,False,10,19.711480,325433634,171706698
ClassicQuicksort,11004838,2,1,True,17,20.917171,333258113,176574195
ClassicQuicksort,11004838,3,1,False,10,18.223231,292956745,162403224
ClassicQuicksort,11004838,3,1,True,17,15.879210,295701207,165723104
DualPivotQuicksort,11004838,1,2,False,10,113.773564,322727298,104161034
DualPivotQuicksort,11004838,1,2,True,17,37.708535,326294817,111003482
OptimalDualPivotQuicksort,11004838,1,2,False,10,97.501881,314705028,104161034
OptimalDualPivotQuicksort,11004838,1,2,True,17,40.198602,318454476,111003482
DualPivotQuicksort,11004838,2,2,False,10,139.431902,295609807,107549000
DualPivotQuicksort,11004838,2,2,True,17,41.320573,292594801,108426051
OptimalDualPivotQuicksort,11004838,2,2,False,10,114.666318,289855282,107549000
OptimalDualPivotQuicksort,11004838,2,2,True,17,40.675590,286782240,108426051
YaroslavskiyQuicksort,11004838,1,2,True,17,13.600394,291572935,111075573
ThreePivotQuicksort,11004838,1,3,True,13,18.766723,412167733,114297355
MPivotQuicksort,11004838,1,3,True,13,16.926448,327364186,123238986
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,34.936244,428823549,175609606
MPivotQuicksort,11004838,1,4,True,13,18.083326,339825799,116215319
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,34.319203,430246958,159163709
MPivotQuicksort,11004838,1,5,True,13,20.262695,367868207,113276119
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,40.709518,453606025,151303877
MPivotQuicksort,11004838,1,6,True,13,20.868572,377230862,112805835
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,40.238313,460061084,146386726
ClassicQuicksort,1146260,1,1,False,10,1.961624,28264231,14775483
ClassicQuicksort,1146260,1,1,True,17,2.348634,29079404,15732258
ClassicQuicksort,1146260,2,1,False,10,2.443997,27473864,14826260
ClassicQuicksort,1146260,2,1,True,17,2.189576,28290991,15337199
ClassicQuicksort,1146260,3,1,False,10,1.993329,25545819,13649935
ClassicQuicksort,1146260,3,1,True,17,1.722495,25833135,13995956
DualPivotQuicksort,1146260,1,2,False,10,18.128503,27663007,9480106
DualPivotQuicksort,1146260,1,2,True,17,7.399141,28034055,10189699
OptimalDualPivotQuicksort,1146260,1,2,False,10,18.127483,27025091,9480106
OptimalDualPivotQuicksort,1146260,1,2,True,17,6.116286,27415000,10189699
DualPivotQuicksort,1146260,2,2,False,10,15.072713,26310681,10486745
DualPivotQuicksort,1146260,2,2,True,17,6.301176,25996611,10577299
OptimalDualPivotQuicksort,1146260,2,2,False,10,12.564680,25873900,10486745
OptimalDualPivotQuicksort,1146260,2,2,True,17,4.531159,25554003,10577299
YaroslavskiyQuicksort,1146260,1,2,True,17,1.530930,25696560,9957223
ThreePivotQuicksort,1146260,1,3,True,13,1.957355,36262056,10739829
MPivotQuicksort,1146260,1,3,True,13,1.812162,28747794,11314654
HeapOptimizedMPivotQuicksort,1146260,1,3,True,13,3.469830,38589505,15855149
MPivotQuicksort,1146260,1,4,True,13,1.821409,30789045,10541743
HeapOptimizedMPivotQuicksort,1146260,1,4,True,13,3.829413,39745632,14386252
MPivotQuicksort,1146260,1,5,True,13,1.926254,32611193,10575675
HeapOptimizedMPivotQuicksort,1146260,1,5,True,13,3.706203,39904600,13550012
MPivotQuicksort,1146260,1,6,True,13,2.081439,34800821,10524256
HeapOptimizedMPivotQuicksort,1146260,1,6,True,13,4.860508,40771721,13369322
ClassicQuicksort,119394,1,1,False,10,0.205253,2403944,1278097
ClassicQuicksort,119394,1,1,True,17,0.197200,2488433,1377359
ClassicQuicksort,119394,2,1,False,10,0.257940,2424828,1301444
ClassicQuicksort,119394,2,1,True,17,0.237503,2510475,1355139
ClassicQuicksort,119394,3,1,False,10,0.203507,2214863,1236174
ClassicQuicksort,119394,3,1,True,17,0.198373,2246142,1273921
DualPivotQuicksort,119394,1,2,False,10,1.815009,2341248,826422
DualPivotQuicksort,119394,1,2,True,17,0.580836,2379326,901275
OptimalDualPivotQuicksort,119394,1,2,False,10,2.021052,2269808,826422
OptimalDualPivotQuicksort,119394,1,2,True,17,0.589367,2309899,901275
DualPivotQuicksort,119394,2,2,False,10,1.640537,2267966,943094
DualPivotQuicksort,119394,2,2,True,17,0.505041,2234475,952341
OptimalDualPivotQuicksort,119394,2,2,False,10,1.200456,2226384,943094
OptimalDualPivotQuicksort,119394,2,2,True,17,0.388778,2192210,952341
YaroslavskiyQuicksort,119394,1,2,True,17,0.125772,2281185,905619
ThreePivotQuicksort,119394,1,3,True,13,0.162174,3144867,911033
MPivotQuicksort,119394,1,3,True,13,0.146709,2462172,969784
HeapOptimizedMPivotQuicksort,119394,1,3,True,13,0.298316,3387435,1349627
MPivotQuicksort,119394,1,4,True,13,0.161606,2604461,933350
HeapOptimizedMPivotQuicksort,119394,1,4,True,13,0.409062,3300882,1261377
MPivotQuicksort,119394,1,5,True,13,0.176242,2746057,968637
HeapOptimizedMPivotQuicksort,119394,1,5,True,13,0.345870,3415291,1222385
MPivotQuicksort,119394,1,6,True,13,0.168088,2936691,977855
HeapOptimizedMPivotQuicksort,119394,1,6,True,13,0.334144,3514138,1187884
ClassicQuicksort,12436,1,1,False,10,0.016308,193704,106247
ClassicQuicksort,12436,1,1,True,17,0.008929,202974,117244
ClassicQuicksort,12436,2,1,False,10,0.015951,194463,104429
ClassicQuicksort,12436,2,1,True,17,0.009360,203504,110239
ClassicQuicksort,12436,3,1,False,10,0.017812,177339,101313
ClassicQuicksort,12436,3,1,True,17,0.011041,180241,104879
DualPivotQuicksort,12436,1,2,False,10,0.149931,193029,78457
DualPivotQuicksort,12436,1,2,True,17,0.037370,196982,86189
OptimalDualPivotQuicksort,12436,1,2,False,10,0.146686,188627,78457
OptimalDualPivotQuicksort,12436,1,2,True,17,0.065869,192775,86189
DualPivotQuicksort,12436,2,2,False,10,0.200026,185934,78757
DualPivotQuicksort,12436,2,2,True,17,0.066742,182851,80165
OptimalDualPivotQuicksort,12436,2,2,False,10,0.199151,183195,78757
OptimalDualPivotQuicksort,12436,2,2,True,17,0.046173,180069,80165
YaroslavskiyQuicksort,12436,1,2,True,17,0.010383,186062,79409
ThreePivotQuicksort,12436,1,3,True,13,0.014879,252717,80137
MPivotQuicksort,12436,1,3,True,13,0.014748,204872,85671
HeapOptimizedMPivotQuicksort,12436,1,3,True,13,0.024251,274830,117544
MPivotQuicksort,12436,1,4,True,13,0.014138,219736,85373
HeapOptimizedMPivotQuicksort,12436,1,4,True,13,0.036583,264819,108497
MPivotQuicksort,12436,1,5,True,13,0.010893,230678,82207
HeapOptimizedMPivotQuicksort,12436,1,5,True,13,0.019455,289646,101735
