Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000152,19,13
ClassicQuicksort,10,1,1,True,17,0.000080,33,25
ClassicQuicksort,10,2,1,False,10,0.000141,23,21
ClassicQuicksort,10,2,1,True,17,0.000055,33,25
ClassicQuicksort,10,3,1,False,10,0.000210,28,23
ClassicQuicksort,10,3,1,True,17,0.000055,33,25
DualPivotQuicksort,10,1,2,False,10,0.000101,23,14
DualPivotQuicksort,10,1,2,True,17,0.000048,33,25
OptimalDualPivotQuicksort,10,1,2,False,10,0.000072,23,14
OptimalDualPivotQuicksort,10,1,2,True,17,0.000074,33,25
DualPivotQuicksort,10,2,2,False,10,0.000207,31,22
DualPivotQuicksort,10,2,2,True,17,0.000073,33,25
OptimalDualPivotQuicksort,10,2,2,False,10,0.000161,31,22
OptimalDualPivotQuicksort,10,2,2,True,17,0.000045,33,25
YaroslavskiyQuicksort,10,1,2,True,17,0.000084,33,25
ThreePivotQuicksort,10,1,3,True,13,0.000193,33,25
MPivotQuicksort,10,1,3,True,13,0.000052,33,25
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000043,33,25
MPivotQuicksort,10,1,4,True,13,0.000061,33,25
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000043,33,25
MPivotQuicksort,10,1,5,True,13,0.000045,33,25
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000049,33,25
MPivotQuicksort,10,1,6,True,13,0.000099,33,25
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000890,33,25
ClassicQuicksort,1007,1,1,False,10,0.000946,10805,6166
ClassicQuicksort,1007,1,1,True,17,0.000659,11565,7045
ClassicQuicksort,1007,2,1,False,10,0.001276,11390,6936
ClassicQuicksort,1007,2,1,True,17,0.001558,12097,7400
ClassicQuicksort,1007,3,1,False,10,0.001008,10304,6135
ClassicQuicksort,1007,3,1,True,17,0.000929,10568,6455
DualPivotQuicksort,1007,1,2,False,10,0.000763,11196,4728
DualPivotQuicksort,1007,1,2,True,17,0.000414,11675,5469
OptimalDualPivotQuicksort,1007,1,2,False,10,0.000995,11090,4728
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000591,11588,5469
