Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000063,22,20
ClassicQuicksort,10,1,1,True,17,0.000046,29,22
ClassicQuicksort,10,2,1,False,10,0.000070,24,23
ClassicQuicksort,10,2,1,True,17,0.000042,29,22
ClassicQuicksort,10,3,1,False,10,0.000084,33,30
ClassicQuicksort,10,3,1,True,17,0.000037,29,22
DualPivotQuicksort,10,1,2,False,10,0.000077,27,22
DualPivotQuicksort,10,1,2,True,17,0.000040,29,22
OptimalDualPivotQuicksort,10,1,2,False,10,0.000063,27,22
OptimalDualPivotQuicksort,10,1,2,True,17,0.000030,29,22
DualPivotQuicksort,10,2,2,False,10,0.000078,31,19
DualPivotQuicksort,10,2,2,True,17,0.000035,29,22
OptimalDualPivotQuicksort,10,2,2,False,10,0.000100,31,19
OptimalDualPivotQuicksort,10,2,2,True,17,0.000039,29,22
YaroslavskiyQuicksort,10,1,2,True,17,0.000040,29,22
ThreePivotQuicksort,10,1,3,True,13,0.000116,29,22
MPivotQuicksort,10,1,3,True,13,0.000042,29,22
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000049,29,22
MPivotQuicksort,10,1,4,True,13,0.000038,29,22
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000056,29,22
MPivotQuicksort,10,1,5,True,13,0.000036,29,22
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000031,29,22
MPivotQuicksort,10,1,6,True,13,0.000030,29,22
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000034,29,22
ClassicQuicksort,1007,1,1,False,10,0.000436,10495,6127
ClassicQuicksort,1007,1,1,True,17,0.000452,11216,7023
ClassicQuicksort,1007,2,1,False,10,0.000554,11007,7134
ClassicQuicksort,1007,2,1,True,17,0.000499,11667,7498
ClassicQuicksort,1007,3,1,False,10,0.000677,10948,6853
ClassicQuicksort,1007,3,1,True,17,0.000461,11186,7123
DualPivotQuicksort,1007,1,2,False,10,0.004212,10667,4360
DualPivotQuicksort,1007,1,2,True,17,0.000988,10943,5033
OptimalDualPivotQuicksort,1007,1,2,False,10,0.005481,10519,4360
OptimalDualPivotQuicksort,1007,1,2,True,17,0.001060,10806,5033
DualPivotQuicksort,1007,2,2,False,10,0.007449,10870,4863
DualPivotQuicksort,1007,2,2,True,17,0.000946,10634,5064
OptimalDualPivotQuicksort,1007,2,2,False,10,0.007901,10679,4863
OptimalDualPivotQuicksort,1007,2,2,True,17,0.001195,10429,5064
YaroslavskiyQuicksort,1007,1,2,True,17,0.000564,10618,4846
ThreePivotQuicksort,1007,1,3,True,13,0.001407,13864,4789
MPivotQuicksort,1007,1,3,True,13,0.000646,12128,5419
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000776,15508,6956
MPivotQuicksort,1007,1,4,True,13,0.000632,12165,5226
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000823,15533,6814
MPivotQuicksort,1007,1,5,True,13,0.000705,13545,5360
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.000721,16818,6521
MPivotQuicksort,1007,1,6,True,13,0.000681,14485,5638
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.000667,16197,6506
ClassicQuicksort,104,1,1,False,10,0.000268,860,334
ClassicQuicksort,104,1,1,True,17,0.000287,953,444
ClassicQuicksort,104,2,1,False,10,0.000117,615,417
ClassicQuicksort,104,2,1,True,17,0.000089,787,571
ClassicQuicksort,104,3,1,False,10,0.000155,710,435
ClassicQuicksort,104,3,1,True,17,0.000135,742,467
DualPivotQuicksort,104,1,2,False,10,0.000274,793,274
DualPivotQuicksort,104,1,2,True,17,0.000153,824,336
OptimalDualPivotQuicksort,104,1,2,False,10,0.000325,764,274
OptimalDualPivotQuicksort,104,1,2,True,17,0.000143,799,336
DualPivotQuicksort,104,2,2,False,10,0.000412,762,335
DualPivotQuicksort,104,2,2,True,17,0.000241,730,334
OptimalDualPivotQuicksort,104,2,2,False,10,0.000458,760,335
OptimalDualPivotQuicksort,104,2,2,True,17,0.000207,729,334
YaroslavskiyQuicksort,104,1,2,True,17,0.000325,661,390
ThreePivotQuicksort,104,1,3,True,13,0.000527,918,424
MPivotQuicksort,104,1,3,True,13,0.000186,764,408
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.001107,964,482
MPivotQuicksort,104,1,4,True,13,0.000121,882,458
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000132,1101,506
MPivotQuicksort,104,1,5,True,13,0.000148,978,424
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000162,1077,497
MPivotQuicksort,104,1,6,True,13,0.000132,1032,485
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000170,1210,530
ClassicQuicksort,11004838,1,1,False,10,16.243431,328280946,177868978
ClassicQuicksort,11004838,1,1,True,17,15.414310,336101065,187089947
ClassicQuicksort,11004838,2,1,False,10,20.417666,327972148,184783421
ClassicQuicksort,11004838,2,1,True,17,21.777217,335808330,189666139
ClassicQuicksort,11004838,3,1,False,10,17.366280,284965203,155903354
ClassicQuicksort,11004838,3,1,True,17,14.475396,287709996,159220296
DualPivotQuicksort,11004838,1,2,False,10,113.796220,307437447,108526778
DualPivotQuicksort,11004838,1,2,True,17,38.946984,310990189,115353758
OptimalDualPivotQuicksort,11004838,1,2,False,10,96.080486,300667043,108526778
OptimalDualPivotQuicksort,11004838,1,2,True,17,40.285361,304400781,115353758
DualPivotQuicksort,11004838,2,2,False,10,136.491842,291188272,111027489
DualPivotQuicksort,11004838,2,2,True,17,44.517530,288198699,111928468
OptimalDualPivotQuicksort,11004838,2,2,False,10,111.427351,285720220,111027489
OptimalDualPivotQuicksort,11004838,2,2,True,17,44.774142,282672165,111928468
YaroslavskiyQuicksort,11004838,1,2,True,17,13.678851,294203471,112595691
ThreePivotQuicksort,11004838,1,3,True,13,18.882463,411376850,115175185
MPivotQuicksort,11004838,1,3,True,13,16.726822,317778032,125427346
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,33.421783,431394964,175876441
MPivotQuicksort,11004838,1,4,True,13,18.680112,338484442,120020878
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,33.377774,432939853,161861480
MPivotQuicksort,11004838,1,5,True,13,19.320134,358948497,116458291
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,39.752531,449776642,153205871
MPivotQuicksort,11004838,1,6,True,13,20.457476,380386370,112199749
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,39.550943,453680033,144422643
ClassicQuicksort,1146260,1,1,False,10,1.955740,27775026,14456603
ClassicQuicksort,1146260,1,1,True,17,2.397778,28595027,15421229
ClassicQuicksort,1146260,2,1,False,10,2.531414,29141898,15282246
ClassicQuicksort,1146260,2,1,True,17,2.339367,29954634,15788195
ClassicQuicksort,1146260,3,1,False,10,1.978047,25898935,13456110
