Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000074,31,24
ClassicQuicksort,10,1,1,True,17,0.000144,30,22
ClassicQuicksort,10,2,1,False,10,0.000093,32,23
ClassicQuicksort,10,2,1,True,17,0.000018,30,22
ClassicQuicksort,10,3,1,False,10,0.000075,31,23
ClassicQuicksort,10,3,1,True,17,0.000036,30,22
DualPivotQuicksort,10,1,2,False,10,0.000072,31,22
DualPivotQuicksort,10,1,2,True,17,0.000039,30,22
OptimalDualPivotQuicksort,10,1,2,False,10,0.000194,31,22
OptimalDualPivotQuicksort,10,1,2,True,17,0.000038,30,22
DualPivotQuicksort,10,2,2,False,10,0.000072,33,20
DualPivotQuicksort,10,2,2,True,17,0.000048,30,22
OptimalDualPivotQuicksort,10,2,2,False,10,0.000072,33,20
OptimalDualPivotQuicksort,10,2,2,True,17,0.000035,30,22
YaroslavskiyQuicksort,10,1,2,True,17,0.000038,30,22
ThreePivotQuicksort,10,1,3,True,13,0.000096,30,22
MPivotQuicksort,10,1,3,True,13,0.000034,30,22
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000799,30,22
MPivotQuicksort,10,1,4,True,13,0.000031,30,22
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000029,30,22
MPivotQuicksort,10,1,5,True,13,0.000028,30,22
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000035,30,22
MPivotQuicksort,10,1,6,True,13,0.000028,30,22
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000031,30,22
ClassicQuicksort,1007,1,1,False,10,0.000548,11513,6368
ClassicQuicksort,1007,1,1,True,17,0.000377,12279,7265
ClassicQuicksort,1007,2,1,False,10,0.000538,11750,6272
ClassicQuicksort,1007,2,1,True,17,0.000596,12358,6606
ClassicQuicksort,1007,3,1,False,10,0.000620,10282,5966
ClassicQuicksort,1007,3,1,True,17,0.000349,10579,6322
DualPivotQuicksort,1007,1,2,False,10,0.000569,10985,4009
DualPivotQuicksort,1007,1,2,True,17,0.000433,11379,4682
OptimalDualPivotQuicksort,1007,1,2,False,10,0.000694,10765,4009
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000587,11184,4682
DualPivotQuicksort,1007,2,2,False,10,0.000645,10908,5041
DualPivotQuicksort,1007,2,2,True,17,0.000443,10652,5126
OptimalDualPivotQuicksort,1007,2,2,False,10,0.000754,10838,5041
OptimalDualPivotQuicksort,1007,2,2,True,17,0.000526,10587,5126
YaroslavskiyQuicksort,1007,1,2,True,17,0.000537,10881,5090
ThreePivotQuicksort,1007,1,3,True,13,0.001101,14707,4834
MPivotQuicksort,1007,1,3,True,13,0.000581,12099,5151
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000666,15783,7048
MPivotQuicksort,1007,1,4,True,13,0.000803,12687,5254
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000742,15822,6628
MPivotQuicksort,1007,1,5,True,13,0.000688,13610,5645
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.003725,16254,6564
MPivotQuicksort,1007,1,6,True,13,0.000680,14580,5502
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.000743,17146,6584
ClassicQuicksort,104,1,1,False,10,0.000263,785,366
ClassicQuicksort,104,1,1,True,17,0.000269,819,419
ClassicQuicksort,104,2,1,False,10,0.000213,603,338
ClassicQuicksort,104,2,1,True,17,0.000090,666,368
ClassicQuicksort,104,3,1,False,10,0.000128,710,397
ClassicQuicksort,104,3,1,True,17,0.000113,734,425
DualPivotQuicksort,104,1,2,False,10,0.000122,718,317
DualPivotQuicksort,104,1,2,True,17,0.000097,752,370
OptimalDualPivotQuicksort,104,1,2,False,10,0.000203,691,317
OptimalDualPivotQuicksort,104,1,2,True,17,0.000112,726,370
DualPivotQuicksort,104,2,2,False,10,0.000231,706,364
DualPivotQuicksort,104,2,2,True,17,0.000114,693,394
OptimalDualPivotQuicksort,104,2,2,False,10,0.000181,710,364
OptimalDualPivotQuicksort,104,2,2,True,17,0.000275,695,394
YaroslavskiyQuicksort,104,1,2,True,17,0.000118,716,393
ThreePivotQuicksort,104,1,3,True,13,0.000477,896,401
MPivotQuicksort,104,1,3,True,13,0.000131,724,378
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.000246,948,520
MPivotQuicksort,104,1,4,True,13,0.000177,784,392
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000164,961,474
MPivotQuicksort,104,1,5,True,13,0.000123,838,422
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000197,993,399
MPivotQuicksort,104,1,6,True,13,0.000135,915,416
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000165,1099,492
ClassicQuicksort,11004838,1,1,False,10,33.149134,320302178,167221472
ClassicQuicksort,11004838,1,1,True,17,28.373379,328123014,176429374
ClassicQuicksort,11004838,2,1,False,10,37.178110,319023558,162952758
ClassicQuicksort,11004838,2,1,True,17,34.777001,326858204,167824747
ClassicQuicksort,11004838,3,1,False,10,32.083267,288285311,145611291
ClassicQuicksort,11004838,3,1,True,17,32.032769,291031030,148924704
DualPivotQuicksort,11004838,1,2,False,10,24.723573,314311794,110966898
DualPivotQuicksort,11004838,1,2,True,17,25.434008,317876949,117804939
OptimalDualPivotQuicksort,11004838,1,2,False,10,24.014391,306539980,110966898
OptimalDualPivotQuicksort,11004838,1,2,True,17,21.246832,310286855,117804939
DualPivotQuicksort,11004838,2,2,False,10,22.899724,293540415,109708448
DualPivotQuicksort,11004838,2,2,True,17,20.055298,290535808,110597035
OptimalDualPivotQuicksort,11004838,2,2,False,10,23.320694,285045401,109708448
OptimalDualPivotQuicksort,11004838,2,2,True,17,21.706226,281982937,110597035
YaroslavskiyQuicksort,11004838,1,2,True,17,19.646125,294684620,112670517
ThreePivotQuicksort,11004838,1,3,True,13,23.895497,408557334,115873447
MPivotQuicksort,11004838,1,3,True,13,27.963380,320290331,122886863
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,50.658098,433951952,176739497
MPivotQuicksort,11004838,1,4,True,13,25.249440,332691241,119377502
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,42.724543,436826277,160650348
MPivotQuicksort,11004838,1,5,True,13,29.902545,371704256,114585468
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,45.505741,453463217,149955755
MPivotQuicksort,11004838,1,6,True,13,28.157602,382968526,113285517
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,42.063575,453361261,145914624
ClassicQuicksort,1146260,1,1,False,10,3.504118,29641492,15925396
ClassicQuicksort,1146260,1,1,True,17,3.774432,30459424,16889182
ClassicQuicksort,1146260,2,1,False,10,4.492576,29295857,16336903
ClassicQuicksort,1146260,2,1,True,17,3.943246,30106927,16837891
ClassicQuicksort,1146260,3,1,False,10,3.100566,26050655,14745768
ClassicQuicksort,1146260,3,1,True,17,2.608227,26335112,15088790
DualPivotQuicksort,1146260,1,2,False,10,2.927801,27555860,9893518
DualPivotQuicksort,1146260,1,2,True,17,2.899723,27925877,10606344
OptimalDualPivotQuicksort,1146260,1,2,False,10,2.775762,26798072,9893518
OptimalDualPivotQuicksort,1146260,1,2,True,17,2.503467,27186673,10606344
DualPivotQuicksort,1146260,2,2,False,10,2.553700,25825476,10264938
DualPivotQuicksort,1146260,2,2,True,17,2.862036,25512033,10359517
OptimalDualPivotQuicksort,1146260,2,2,False,10,3.011017,25361553,10264938
OptimalDualPivotQuicksort,1146260,2,2,True,17,2.345657,25042050,10359517
YaroslavskiyQuicksort,1146260,1,2,True,17,1.911702,26371851,10056346
ThreePivotQuicksort,1146260,1,3,True,13,2.449025,37664738,10926273
MPivotQuicksort,1146260,1,3,True,13,2.345117,28919958,11414092
HeapOptimizedMPivotQuicksort,1146260,1,3,True,13,4.186286,38110334,15946134
MPivotQuicksort,1146260,1,4,True,13,2.760824,30321307,10485713
HeapOptimizedMPivotQuicksort,1146260,1,4,True,13,4.621137,38968962,14409699
MPivotQuicksort,1146260,1,5,True,13,3.112628,32749260,10581129
HeapOptimizedMPivotQuicksort,1146260,1,5,True,13,3.995039,40275663,13750214
MPivotQuicksort,1146260,1,6,True,13,2.536682,33089583,10667631
HeapOptimizedMPivotQuicksort,1146260,1,6,True,13,4.241295,40328691,13287268
ClassicQuicksort,119394,1,1,False,10,0.246061,2412983,1291123
ClassicQuicksort,119394,1,1,True,17,0.257099,2498151,1391066
ClassicQuicksort,119394,2,1,False,10,0.320653,2535966,1228164
ClassicQuicksort,119394,2,1,True,17,0.228411,2622217,1281835
ClassicQuicksort,119394,3,1,False,10,0.217889,2247789,1202358
ClassicQuicksort,119394,3,1,True,17,0.239401,2277422,1237645
DualPivotQuicksort,119394,1,2,False,10,0.283419,2478456,900216
DualPivotQuicksort,119394,1,2,True,17,0.236335,2516153,973116
OptimalDualPivotQuicksort,119394,1,2,False,10,0.242639,2415116,900216
OptimalDualPivotQuicksort,119394,1,2,True,17,0.221671,2454714,973116
DualPivotQuicksort,119394,2,2,False,10,0.231527,2255488,888215
DualPivotQuicksort,119394,2,2,True,17,0.236969,2223005,898363
OptimalDualPivotQuicksort,119394,2,2,False,10,0.216271,2209663,888215
OptimalDualPivotQuicksort,119394,2,2,True,17,0.238016,2176612,898363
YaroslavskiyQuicksort,119394,1,2,True,17,0.198358,2279530,899103
ThreePivotQuicksort,119394,1,3,True,13,0.198758,3078671,908364
MPivotQuicksort,119394,1,3,True,13,0.267416,2466142,1017942
HeapOptimizedMPivotQuicksort,119394,1,3,True,13,0.488593,3282086,1355902
MPivotQuicksort,119394,1,4,True,13,0.303559,2626811,939809
HeapOptimizedMPivotQuicksort,119394,1,4,True,13,0.465176,3407832,1262068
MPivotQuicksort,119394,1,5,True,13,0.293322,2697709,935144
HeapOptimizedMPivotQuicksort,119394,1,5,True,13,0.492365,3405645,1210897
MPivotQuicksort,119394,1,6,True,13,0.253458,2886041,962776
HeapOptimizedMPivotQuicksort,119394,1,6,True,13,0.385601,3513854,1191843
ClassicQuicksort,12436,1,1,False,10,0.008871,202963,101752
ClassicQuicksort,12436,1,1,True,17,0.009607,212290,112821
ClassicQuicksort,12436,2,1,False,10,0.011986,194697,113012
ClassicQuicksort,12436,2,1,True,17,0.013046,203284,118174
ClassicQuicksort,12436,3,1,False,10,0.007970,181961,94807
