Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000086,28,21
ClassicQuicksort,10,1,1,True,17,0.000058,38,33
ClassicQuicksort,10,2,1,False,10,0.000066,28,23
ClassicQuicksort,10,2,1,True,17,0.000047,38,33
ClassicQuicksort,10,3,1,False,10,0.000091,32,22
ClassicQuicksort,10,3,1,True,17,0.000040,38,33
DualPivotQuicksort,10,1,2,False,10,0.000244,33,17
DualPivotQuicksort,10,1,2,True,17,0.000036,38,33
OptimalDualPivotQuicksort,10,1,2,False,10,0.000082,33,17
OptimalDualPivotQuicksort,10,1,2,True,17,0.000033,38,33
DualPivotQuicksort,10,2,2,False,10,0.000069,35,23
DualPivotQuicksort,10,2,2,True,17,0.000058,38,33
OptimalDualPivotQuicksort,10,2,2,False,10,0.000075,35,23
OptimalDualPivotQuicksort,10,2,2,True,17,0.000050,38,33
YaroslavskiyQuicksort,10,1,2,True,17,0.000037,38,33
ThreePivotQuicksort,10,1,3,True,13,0.000082,38,33
MPivotQuicksort,10,1,3,True,13,0.000040,38,33
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000034,38,33
MPivotQuicksort,10,1,4,True,13,0.000039,38,33
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000033,38,33
MPivotQuicksort,10,1,5,True,13,0.000028,38,33
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000037,38,33
MPivotQuicksort,10,1,6,True,13,0.000030,38,33
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000033,38,33
ClassicQuicksort,1007,1,1,False,10,0.000454,10062,5342
ClassicQuicksort,1007,1,1,True,17,0.000427,10841,6215
ClassicQuicksort,1007,2,1,False,10,0.000582,10628,6514
ClassicQuicksort,1007,2,1,True,17,0.000491,11235,6808
ClassicQuicksort,1007,3,1,False,10,0.000681,10409,6283
ClassicQuicksort,1007,3,1,True,17,0.000485,10641,6461
DualPivotQuicksort,1007,1,2,False,10,0.008268,10926,4393
DualPivotQuicksort,1007,1,2,True,17,0.000973,11145,4839
OptimalDualPivotQuicksort,1007,1,2,False,10,0.006053,10856,4393
OptimalDualPivotQuicksort,1007,1,2,True,17,0.001078,11081,4839
DualPivotQuicksort,1007,2,2,False,10,0.009310,10758,4954
DualPivotQuicksort,1007,2,2,True,17,0.001004,10432,5009
OptimalDualPivotQuicksort,1007,2,2,False,10,0.009169,10590,4954
OptimalDualPivotQuicksort,1007,2,2,True,17,0.001038,10280,5009
YaroslavskiyQuicksort,1007,1,2,True,17,0.000590,10961,4793
ThreePivotQuicksort,1007,1,3,True,13,0.001573,14223,4945
MPivotQuicksort,1007,1,3,True,13,0.000697,11894,5237
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000870,15431,6920
MPivotQuicksort,1007,1,4,True,13,0.000739,13235,5631
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000779,14983,6631
MPivotQuicksort,1007,1,5,True,13,0.000751,13691,5449
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.000731,16765,6529
MPivotQuicksort,1007,1,6,True,13,0.000862,14507,5597
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.000726,17048,6333
ClassicQuicksort,104,1,1,False,10,0.000093,631,411
ClassicQuicksort,104,1,1,True,17,0.000093,721,508
ClassicQuicksort,104,2,1,False,10,0.000109,723,506
ClassicQuicksort,104,2,1,True,17,0.000119,785,543
ClassicQuicksort,104,3,1,False,10,0.000152,659,440
ClassicQuicksort,104,3,1,True,17,0.000119,692,480
DualPivotQuicksort,104,1,2,False,10,0.000746,642,306
DualPivotQuicksort,104,1,2,True,17,0.000105,667,370
OptimalDualPivotQuicksort,104,1,2,False,10,0.000351,631,306
OptimalDualPivotQuicksort,104,1,2,True,17,0.000193,661,370
DualPivotQuicksort,104,2,2,False,10,0.000304,724,371
DualPivotQuicksort,104,2,2,True,17,0.000147,708,389
OptimalDualPivotQuicksort,104,2,2,False,10,0.000319,725,371
OptimalDualPivotQuicksort,104,2,2,True,17,0.000167,708,389
YaroslavskiyQuicksort,104,1,2,True,17,0.000103,764,389
ThreePivotQuicksort,104,1,3,True,13,0.000474,902,362
MPivotQuicksort,104,1,3,True,13,0.000165,763,413
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.000136,930,468
MPivotQuicksort,104,1,4,True,13,0.000130,774,401
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000384,975,464
MPivotQuicksort,104,1,5,True,13,0.000148,859,446
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000228,1059,488
MPivotQuicksort,104,1,6,True,13,0.000180,867,441
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000153,1087,529
ClassicQuicksort,11004838,1,1,False,10,15.870570,334477669,168254444
ClassicQuicksort,11004838,1,1,True,17,16.937457,342317707,177486318
ClassicQuicksort,11004838,2,1,False,10,21.904255,320992265,170226041
ClassicQuicksort,11004838,2,1,True,17,20.349204,328825393,175103460
ClassicQuicksort,11004838,3,1,False,10,17.793566,290754922,162541441
ClassicQuicksort,11004838,3,1,True,17,16.206443,293502343,165855317
DualPivotQuicksort,11004838,1,2,False,10,112.496928,310757183,111798088
DualPivotQuicksort,11004838,1,2,True,17,35.088278,314311014,118624907
OptimalDualPivotQuicksort,11004838,1,2,False,10,97.938749,302950973,111798088
OptimalDualPivotQuicksort,11004838,1,2,True,17,40.616979,306685522,118624907
DualPivotQuicksort,11004838,2,2,False,10,143.285702,293667489,116641058
DualPivotQuicksort,11004838,2,2,True,17,40.283063,290674450,117545028
OptimalDualPivotQuicksort,11004838,2,2,False,10,119.666010,287852741,116641058
OptimalDualPivotQuicksort,11004838,2,2,True,17,36.361440,284802208,117545028
YaroslavskiyQuicksort,11004838,1,2,True,17,14.046561,293472368,109046399
ThreePivotQuicksort,11004838,1,3,True,13,19.578002,406531251,114737423
MPivotQuicksort,11004838,1,3,True,13,18.113474,325046605,122318013
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,34.258784,451591668,173909963
MPivotQuicksort,11004838,1,4,True,13,18.758589,346194353,119256570
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,35.103552,431632442,161829549
MPivotQuicksort,11004838,1,5,True,13,20.703123,366343763,112920811
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,40.353540,455562496,150237747
MPivotQuicksort,11004838,1,6,True,13,20.686001,382461495,113427384
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,40.725637,470452657,148722685
ClassicQuicksort,1146260,1,1,False,10,2.012313,28772660,15411138
ClassicQuicksort,1146260,1,1,True,17,2.429501,29591539,16374750
ClassicQuicksort,1146260,2,1,False,10,2.506800,29293991,15560065
ClassicQuicksort,1146260,2,1,True,17,2.399150,30110436,16069340
ClassicQuicksort,1146260,3,1,False,10,2.119911,26245884,14553612
ClassicQuicksort,1146260,3,1,True,17,1.764771,26533735,14902413
DualPivotQuicksort,1146260,1,2,False,10,17.942726,27440597,10081129
DualPivotQuicksort,1146260,1,2,True,17,6.430467,27812320,10796005
OptimalDualPivotQuicksort,1146260,1,2,False,10,18.153393,26809930,10081129
