Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000157,20,12
ClassicQuicksort,10,1,1,True,17,0.000041,32,26
ClassicQuicksort,10,2,1,False,10,0.000137,26,18
ClassicQuicksort,10,2,1,True,17,0.000055,32,26
ClassicQuicksort,10,3,1,False,10,0.000191,27,18
ClassicQuicksort,10,3,1,True,17,0.000038,32,26
DualPivotQuicksort,10,1,2,False,10,0.000138,29,17
DualPivotQuicksort,10,1,2,True,17,0.000039,32,26
OptimalDualPivotQuicksort,10,1,2,False,10,0.000140,28,17
OptimalDualPivotQuicksort,10,1,2,True,17,0.000035,32,26
DualPivotQuicksort,10,2,2,False,10,0.000107,33,24
DualPivotQuicksort,10,2,2,True,17,0.000040,32,26
OptimalDualPivotQuicksort,10,2,2,False,10,0.000115,33,24
OptimalDualPivotQuicksort,10,2,2,True,17,0.000044,32,26
YaroslavskiyQuicksort,10,1,2,True,17,0.000029,32,26
ThreePivotQuicksort,10,1,3,True,13,0.000076,32,26
MPivotQuicksort,10,1,3,True,13,0.000035,32,26
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000042,32,26
MPivotQuicksort,10,1,4,True,13,0.000120,32,26
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000044,32,26
MPivotQuicksort,10,1,5,True,13,0.000048,32,26
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000031,32,26
MPivotQuicksort,10,1,6,True,13,0.000031,32,26
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000028,32,26
ClassicQuicksort,1007,1,1,False,10,0.000650,11140,6031
ClassicQuicksort,1007,1,1,True,17,0.000722,11831,6853
ClassicQuicksort,1007,2,1,False,10,0.000928,11347,7397
ClassicQuicksort,1007,2,1,True,17,0.000890,11976,7607
ClassicQuicksort,1007,3,1,False,10,0.001050,11147,6464
ClassicQuicksort,1007,3,1,True,17,0.000841,11349,6752
DualPivotQuicksort,1007,1,2,False,10,0.011173,11299,4256
DualPivotQuicksort,1007,1,2,True,17,0.004130,11582,4814
OptimalDualPivotQuicksort,1007,1,2,False,10,0.008600,10991,4256
OptimalDualPivotQuicksort,1007,1,2,True,17,0.004175,11291,4814
DualPivotQuicksort,1007,2,2,False,10,0.064574,11090,4536
DualPivotQuicksort,1007,2,2,True,17,0.001075,10817,4630
OptimalDualPivotQuicksort,1007,2,2,False,10,0.016326,10765,4536
OptimalDualPivotQuicksort,1007,2,2,True,17,0.001164,10486,4630
YaroslavskiyQuicksort,1007,1,2,True,17,0.040582,10713,5110
ThreePivotQuicksort,1007,1,3,True,13,0.016082,14613,5242
MPivotQuicksort,1007,1,3,True,13,0.001441,11554,5407
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.006356,15550,6769
MPivotQuicksort,1007,1,4,True,13,0.001409,12753,5580
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.004435,15750,6758
MPivotQuicksort,1007,1,5,True,13,0.001155,13288,5417
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.001912,16184,6512
MPivotQuicksort,1007,1,6,True,13,0.004748,14878,5887
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.002101,16104,6414
ClassicQuicksort,104,1,1,False,10,0.001050,692,343
ClassicQuicksort,104,1,1,True,17,0.000609,804,467
ClassicQuicksort,104,2,1,False,10,0.000885,592,369
ClassicQuicksort,104,2,1,True,17,0.000731,668,439
ClassicQuicksort,104,3,1,False,10,0.001486,660,417
ClassicQuicksort,104,3,1,True,17,0.000537,706,471
DualPivotQuicksort,104,1,2,False,10,0.003929,696,292
DualPivotQuicksort,104,1,2,True,17,0.000797,685,308
OptimalDualPivotQuicksort,104,1,2,False,10,0.005735,688,292
OptimalDualPivotQuicksort,104,1,2,True,17,0.000896,676,308
DualPivotQuicksort,104,2,2,False,10,0.001486,741,392
DualPivotQuicksort,104,2,2,True,17,0.000770,702,388
OptimalDualPivotQuicksort,104,2,2,False,10,0.001551,731,392
OptimalDualPivotQuicksort,104,2,2,True,17,0.001026,689,388
YaroslavskiyQuicksort,104,1,2,True,17,0.003989,719,411
ThreePivotQuicksort,104,1,3,True,13,0.002890,886,352
MPivotQuicksort,104,1,3,True,13,0.008452,834,398
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.001106,1010,496
MPivotQuicksort,104,1,4,True,13,0.001597,936,437
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.001416,1068,497
MPivotQuicksort,104,1,5,True,13,0.000621,906,448
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.008543,1078,488
MPivotQuicksort,104,1,6,True,13,0.000630,1012,390
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000709,1064,471
ClassicQuicksort,11004838,1,1,False,10,15.926438,326824005,164838524
ClassicQuicksort,11004838,1,1,True,17,15.157858,334655980,174057919
ClassicQuicksort,11004838,2,1,False,10,20.536950,315534076,170784754
ClassicQuicksort,11004838,2,1,True,17,21.237007,323354224,175644233
ClassicQuicksort,11004838,3,1,False,10,17.668984,291785842,156816727
ClassicQuicksort,11004838,3,1,True,17,15.790879,294515657,160114582
DualPivotQuicksort,11004838,1,2,False,10,115.770110,313004035,107062513
DualPivotQuicksort,11004838,1,2,True,17,37.779918,316553769,113891105
OptimalDualPivotQuicksort,11004838,1,2,False,10,97.647940,304122214,107062513
OptimalDualPivotQuicksort,11004838,1,2,True,17,40.980637,307853817,113891105
DualPivotQuicksort,11004838,2,2,False,10,141.123494,302086035,106581678
DualPivotQuicksort,11004838,2,2,True,17,43.559138,299084918,107475047
OptimalDualPivotQuicksort,11004838,2,2,False,10,115.850117,294188432,106581678
OptimalDualPivotQuicksort,11004838,2,2,True,17,43.578189,291130298,107475047
YaroslavskiyQuicksort,11004838,1,2,True,17,13.674474,296350353,109054223
ThreePivotQuicksort,11004838,1,3,True,13,18.956812,406298261,112671418
MPivotQuicksort,11004838,1,3,True,13,17.218593,312945484,121278964
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,33.377387,439693664,173610241
MPivotQuicksort,11004838,1,4,True,13,18.348878,335582697,115107812
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,34.556869,437795177,159025933
MPivotQuicksort,11004838,1,5,True,13,19.331712,364539883,113276336
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,41.487208,454333908,152266428
MPivotQuicksort,11004838,1,6,True,13,21.327105,391249443,112161789
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,39.982935,453604673,146105875
ClassicQuicksort,1146260,1,1,False,10,2.404366,28384288,14110635
ClassicQuicksort,1146260,1,1,True,17,2.690715,29201645,15071417
ClassicQuicksort,1146260,2,1,False,10,2.598089,28235150,15536156
ClassicQuicksort,1146260,2,1,True,17,2.498185,29052617,16047753
ClassicQuicksort,1146260,3,1,False,10,2.311731,25611034,13918701
ClassicQuicksort,1146260,3,1,True,17,1.836279,25893735,14259770
DualPivotQuicksort,1146260,1,2,False,10,20.169867,27782998,9545630
DualPivotQuicksort,1146260,1,2,True,17,7.251000,28151966,10258490
OptimalDualPivotQuicksort,1146260,1,2,False,10,18.752211,27093502,9545630
OptimalDualPivotQuicksort,1146260,1,2,True,17,6.420784,27481274,10258490
DualPivotQuicksort,1146260,2,2,False,10,16.244408,26299223,10115949
DualPivotQuicksort,1146260,2,2,True,17,6.915188,25988094,10207616
OptimalDualPivotQuicksort,1146260,2,2,False,10,13.526137,25795493,10115949
OptimalDualPivotQuicksort,1146260,2,2,True,17,4.684810,25478147,10207616
YaroslavskiyQuicksort,1146260,1,2,True,17,2.147847,26462385,10418070
ThreePivotQuicksort,1146260,1,3,True,13,2.046346,36241977,10300488
MPivotQuicksort,1146260,1,3,True,13,1.930380,28615943,11168502
HeapOptimizedMPivotQuicksort,1146260,1,3,True,13,3.512129,39378622,16162592
MPivotQuicksort,1146260,1,4,True,13,2.056864,31196347,10327145
HeapOptimizedMPivotQuicksort,1146260,1,4,True,13,19.185595,40535298,14156597
MPivotQuicksort,1146260,1,5,True,13,1.944987,31438802,10823862
HeapOptimizedMPivotQuicksort,1146260,1,5,True,13,3.999445,40716071,13767385
MPivotQuicksort,1146260,1,6,True,13,2.092428,35178410,10528693
HeapOptimizedMPivotQuicksort,1146260,1,6,True,13,5.230058,41463765,13377393
ClassicQuicksort,119394,1,1,False,10,0.246743,2568142,1429436
ClassicQuicksort,119394,1,1,True,17,0.199456,2653861,1531353
ClassicQuicksort,119394,2,1,False,10,0.287259,2514690,1390823
ClassicQuicksort,119394,2,1,True,17,0.261128,2598977,1443382
ClassicQuicksort,119394,3,1,False,10,0.205874,2203747,1152036
ClassicQuicksort,119394,3,1,True,17,0.168103,2232553,1186628
DualPivotQuicksort,119394,1,2,False,10,1.910077,2420980,852002
