Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000134,21,13
ClassicQuicksort,10,1,1,True,17,0.000060,31,24
ClassicQuicksort,10,2,1,False,10,0.000072,26,22
ClassicQuicksort,10,2,1,True,17,0.000058,31,24
ClassicQuicksort,10,3,1,False,10,0.000083,29,23
ClassicQuicksort,10,3,1,True,17,0.000051,31,24
DualPivotQuicksort,10,1,2,False,10,0.000070,26,19
DualPivotQuicksort,10,1,2,True,17,0.000059,31,24
OptimalDualPivotQuicksort,10,1,2,False,10,0.000096,26,19
OptimalDualPivotQuicksort,10,1,2,True,17,0.000068,31,24
DualPivotQuicksort,10,2,2,False,10,0.000083,29,20
DualPivotQuicksort,10,2,2,True,17,0.000047,31,24
OptimalDualPivotQuicksort,10,2,2,False,10,0.000116,29,20
OptimalDualPivotQuicksort,10,2,2,True,17,0.000071,31,24
YaroslavskiyQuicksort,10,1,2,True,17,0.000062,31,24
ThreePivotQuicksort,10,1,3,True,13,0.000066,31,24
MPivotQuicksort,10,1,3,True,13,0.000052,31,24
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000041,31,24
MPivotQuicksort,10,1,4,True,13,0.000042,31,24
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000039,31,24
MPivotQuicksort,10,1,5,True,13,0.000049,31,24
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000046,31,24
MPivotQuicksort,10,1,6,True,13,0.000045,31,24
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000041,31,24
ClassicQuicksort,1007,1,1,False,10,0.000379,10686,6210
ClassicQuicksort,1007,1,1,True,17,0.000344,11463,7048
ClassicQuicksort,1007,2,1,False,10,0.000607,10938,6891
ClassicQuicksort,1007,2,1,True,17,0.000497,11595,7318
ClassicQuicksort,1007,3,1,False,10,0.000587,10471,6805
ClassicQuicksort,1007,3,1,True,17,0.000519,10820,7203
DualPivotQuicksort,1007,1,2,False,10,0.000642,10655,3979
DualPivotQuicksort,1007,1,2,True,17,0.000542,11008,4661
OptimalDualPivotQuicksort,1007,1,2,False,10,0.000770,10373,3979
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000546,10745,4661
DualPivotQuicksort,1007,2,2,False,10,0.000770,10806,4886
DualPivotQuicksort,1007,2,2,True,17,0.000556,10521,4993
OptimalDualPivotQuicksort,1007,2,2,False,10,0.000849,10668,4886
OptimalDualPivotQuicksort,1007,2,2,True,17,0.000574,10379,4993
YaroslavskiyQuicksort,1007,1,2,True,17,0.001243,11077,4664
ThreePivotQuicksort,1007,1,3,True,13,0.001521,13958,4805
MPivotQuicksort,1007,1,3,True,13,0.000663,11943,5516
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000908,15493,6815
MPivotQuicksort,1007,1,4,True,13,0.000645,12275,5520
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000805,15213,6295
MPivotQuicksort,1007,1,5,True,13,0.000691,13411,5399
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.000816,15741,6445
MPivotQuicksort,1007,1,6,True,13,0.000660,13834,5747
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.000733,16329,6456
ClassicQuicksort,104,1,1,False,10,0.000084,688,332
ClassicQuicksort,104,1,1,True,17,0.000105,778,435
ClassicQuicksort,104,2,1,False,10,0.000091,722,421
ClassicQuicksort,104,2,1,True,17,0.000111,792,459
ClassicQuicksort,104,3,1,False,10,0.000101,662,385
ClassicQuicksort,104,3,1,True,17,0.000088,658,407
DualPivotQuicksort,104,1,2,False,10,0.000205,742,269
DualPivotQuicksort,104,1,2,True,17,0.000083,752,307
OptimalDualPivotQuicksort,104,1,2,False,10,0.000177,706,269
OptimalDualPivotQuicksort,104,1,2,True,17,0.000171,718,307
DualPivotQuicksort,104,2,2,False,10,0.000241,724,392
DualPivotQuicksort,104,2,2,True,17,0.000150,732,465
OptimalDualPivotQuicksort,104,2,2,False,10,0.000239,721,392
OptimalDualPivotQuicksort,104,2,2,True,17,0.000561,731,465
YaroslavskiyQuicksort,104,1,2,True,17,0.000243,719,425
ThreePivotQuicksort,104,1,3,True,13,0.000839,934,409
MPivotQuicksort,104,1,3,True,13,0.000141,776,362
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.000158,969,495
MPivotQuicksort,104,1,4,True,13,0.000173,873,459
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000159,969,475
MPivotQuicksort,104,1,5,True,13,0.000123,921,452
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000143,1119,487
MPivotQuicksort,104,1,6,True,13,0.000274,956,515
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000190,1069,540
ClassicQuicksort,11004838,1,1,False,10,55.382202,332884195,173676951
ClassicQuicksort,11004838,1,1,True,17,46.937583,340714959,182891890
ClassicQuicksort,11004838,2,1,False,10,40.536747,331736974,178475578
ClassicQuicksort,11004838,2,1,True,17,38.081699,339567756,183350440
ClassicQuicksort,11004838,3,1,False,10,70.538384,299512547,159850103
ClassicQuicksort,11004838,3,1,True,17,49.710287,302259343,163168375
DualPivotQuicksort,11004838,1,2,False,10,23.686262,320540679,115740561
DualPivotQuicksort,11004838,1,2,True,17,22.811502,324101655,122574761
OptimalDualPivotQuicksort,11004838,1,2,False,10,28.578366,313306809,115740561
OptimalDualPivotQuicksort,11004838,1,2,True,17,25.934571,317048089,122574761
DualPivotQuicksort,11004838,2,2,False,10,22.862467,297288305,109356334
DualPivotQuicksort,11004838,2,2,True,17,20.569976,294279757,110235537
OptimalDualPivotQuicksort,11004838,2,2,False,10,27.579146,291814186,109356334
OptimalDualPivotQuicksort,11004838,2,2,True,17,25.436804,288747741,110235537
YaroslavskiyQuicksort,11004838,1,2,True,17,42.975308,296346827,109939180
ThreePivotQuicksort,11004838,1,3,True,13,26.056334,408797360,115802819
MPivotQuicksort,11004838,1,3,True,13,30.267408,321255137,122732895
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,45.172394,437898845,179070457
MPivotQuicksort,11004838,1,4,True,13,28.894122,343961144,114700979
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,48.111947,431199919,158078974
MPivotQuicksort,11004838,1,5,True,13,33.984496,354580035,114309115
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,35.052881,449456795,150723458
MPivotQuicksort,11004838,1,6,True,13,26.224607,378268719,113947424
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,31.762011,456174923,145434843
ClassicQuicksort,1146260,1,1,False,10,5.200568,29073442,15119019
ClassicQuicksort,1146260,1,1,True,17,6.216135,29888134,16076850
ClassicQuicksort,1146260,2,1,False,10,3.811069,29015987,15328237
ClassicQuicksort,1146260,2,1,True,17,3.750356,29833596,15837425
ClassicQuicksort,1146260,3,1,False,10,3.131426,25712156,14057883
ClassicQuicksort,1146260,3,1,True,17,4.044814,25998315,14402767
DualPivotQuicksort,1146260,1,2,False,10,2.547552,27861596,9430251
DualPivotQuicksort,1146260,1,2,True,17,1.989716,28228653,10137782
OptimalDualPivotQuicksort,1146260,1,2,False,10,2.622518,26771379,9430251
OptimalDualPivotQuicksort,1146260,1,2,True,17,2.398999,27157501,10137782
DualPivotQuicksort,1146260,2,2,False,10,2.445268,26048258,9894643
DualPivotQuicksort,1146260,2,2,True,17,2.538736,25736078,9987641
OptimalDualPivotQuicksort,1146260,2,2,False,10,2.681468,25443328,9894643
OptimalDualPivotQuicksort,1146260,2,2,True,17,2.181078,25124974,9987641
YaroslavskiyQuicksort,1146260,1,2,True,17,2.806161,25898393,10143398
ThreePivotQuicksort,1146260,1,3,True,13,2.006859,36342984,10686539
MPivotQuicksort,1146260,1,3,True,13,2.368817,28387688,10933880
HeapOptimizedMPivotQuicksort,1146260,1,3,True,13,2.868388,38623668,15268759
MPivotQuicksort,1146260,1,4,True,13,2.832036,29460618,10896790
HeapOptimizedMPivotQuicksort,1146260,1,4,True,13,4.199208,38169114,14680850
MPivotQuicksort,1146260,1,5,True,13,3.099648,31468320,10627959
HeapOptimizedMPivotQuicksort,1146260,1,5,True,13,4.431464,39562194,13665145
MPivotQuicksort,1146260,1,6,True,13,2.754304,34432276,10321791
HeapOptimizedMPivotQuicksort,1146260,1,6,True,13,3.846765,40808377,13152271
ClassicQuicksort,119394,1,1,False,10,0.339689,2422540,1294834
ClassicQuicksort,119394,1,1,True,17,0.340655,2508104,1395239
ClassicQuicksort,119394,2,1,False,10,0.244560,2467818,1415416
ClassicQuicksort,119394,2,1,True,17,0.196020,2552601,1468159
ClassicQuicksort,119394,3,1,False,10,0.274365,2172764,1183450
ClassicQuicksort,119394,3,1,True,17,0.348472,2202972,1220351
DualPivotQuicksort,119394,1,2,False,10,0.194617,2410965,807989
DualPivotQuicksort,119394,1,2,True,17,0.153624,2448545,881016
OptimalDualPivotQuicksort,119394,1,2,False,10,0.280010,2341553,807989
OptimalDualPivotQuicksort,119394,1,2,True,17,0.243588,2381222,881016
DualPivotQuicksort,119394,2,2,False,10,0.234344,2267738,901255
DualPivotQuicksort,119394,2,2,True,17,0.206202,2235988,910981
OptimalDualPivotQuicksort,119394,2,2,False,10,0.219269,2232022,901255
OptimalDualPivotQuicksort,119394,2,2,True,17,0.246823,2199678,910981
YaroslavskiyQuicksort,119394,1,2,True,17,0.396716,2285452,906615
ThreePivotQuicksort,119394,1,3,True,13,0.258461,3112063,976783
MPivotQuicksort,119394,1,3,True,13,0.288673,2395741,990456
