Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000070,25,17
ClassicQuicksort,10,1,1,True,17,0.000051,31,26
ClassicQuicksort,10,2,1,False,10,0.000109,29,34
ClassicQuicksort,10,2,1,True,17,0.000079,31,26
ClassicQuicksort,10,3,1,False,10,0.000118,31,25
ClassicQuicksort,10,3,1,True,17,0.000038,31,26
DualPivotQuicksort,10,1,2,False,10,0.000080,30,22
DualPivotQuicksort,10,1,2,True,17,0.000043,31,26
OptimalDualPivotQuicksort,10,1,2,False,10,0.000070,28,22
OptimalDualPivotQuicksort,10,1,2,True,17,0.000041,31,26
DualPivotQuicksort,10,2,2,False,10,0.000086,40,26
DualPivotQuicksort,10,2,2,True,17,0.000033,31,26
OptimalDualPivotQuicksort,10,2,2,False,10,0.000189,42,26
OptimalDualPivotQuicksort,10,2,2,True,17,0.000037,31,26
YaroslavskiyQuicksort,10,1,2,True,17,0.000058,31,26
ThreePivotQuicksort,10,1,3,True,13,0.000112,31,26
MPivotQuicksort,10,1,3,True,13,0.000033,31,26
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000027,31,26
MPivotQuicksort,10,1,4,True,13,0.000027,31,26
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000032,31,26
MPivotQuicksort,10,1,5,True,13,0.000026,31,26
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000031,31,26
MPivotQuicksort,10,1,6,True,13,0.000029,31,26
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000029,31,26
ClassicQuicksort,1007,1,1,False,10,0.000432,12065,6109
ClassicQuicksort,1007,1,1,True,17,0.000453,12764,6927
ClassicQuicksort,1007,2,1,False,10,0.000483,11093,5896
ClassicQuicksort,1007,2,1,True,17,0.000512,11714,6215
ClassicQuicksort,1007,3,1,False,10,0.000529,10793,5440
ClassicQuicksort,1007,3,1,True,17,0.000423,11027,5753
DualPivotQuicksort,1007,1,2,False,10,0.000611,10968,4140
DualPivotQuicksort,1007,1,2,True,17,0.000556,11357,4801
OptimalDualPivotQuicksort,1007,1,2,False,10,0.000666,10618,4140
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000536,11028,4801
DualPivotQuicksort,1007,2,2,False,10,0.000779,11387,4711
DualPivotQuicksort,1007,2,2,True,17,0.000522,11126,4826
OptimalDualPivotQuicksort,1007,2,2,False,10,0.000791,11146,4711
OptimalDualPivotQuicksort,1007,2,2,True,17,0.000506,10878,4826
YaroslavskiyQuicksort,1007,1,2,True,17,0.000498,10836,5347
ThreePivotQuicksort,1007,1,3,True,13,0.001181,14065,4831
MPivotQuicksort,1007,1,3,True,13,0.000552,11852,5251
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000673,15457,6807
MPivotQuicksort,1007,1,4,True,13,0.000603,13266,5813
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000729,16026,6833
MPivotQuicksort,1007,1,5,True,13,0.000585,13690,5513
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.000701,16177,6198
MPivotQuicksort,1007,1,6,True,13,0.000674,14620,5629
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.000688,16747,6330
ClassicQuicksort,104,1,1,False,10,0.000157,674,444
ClassicQuicksort,104,1,1,True,17,0.000129,705,479
ClassicQuicksort,104,2,1,False,10,0.000085,648,374
ClassicQuicksort,104,2,1,True,17,0.000075,724,409
ClassicQuicksort,104,3,1,False,10,0.000363,674,406
ClassicQuicksort,104,3,1,True,17,0.000091,675,419
DualPivotQuicksort,104,1,2,False,10,0.000240,681,320
DualPivotQuicksort,104,1,2,True,17,0.000104,736,413
OptimalDualPivotQuicksort,104,1,2,False,10,0.000127,669,320
OptimalDualPivotQuicksort,104,1,2,True,17,0.000121,725,413
DualPivotQuicksort,104,2,2,False,10,0.000113,724,386
DualPivotQuicksort,104,2,2,True,17,0.000097,681,388
OptimalDualPivotQuicksort,104,2,2,False,10,0.000215,721,386
OptimalDualPivotQuicksort,104,2,2,True,17,0.000099,680,388
YaroslavskiyQuicksort,104,1,2,True,17,0.000139,721,406
ThreePivotQuicksort,104,1,3,True,13,0.000408,906,423
MPivotQuicksort,104,1,3,True,13,0.000187,792,401
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.000307,1003,450
MPivotQuicksort,104,1,4,True,13,0.000641,750,409
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000216,984,534
MPivotQuicksort,104,1,5,True,13,0.000205,997,431
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000164,985,462
MPivotQuicksort,104,1,6,True,13,0.000136,920,493
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000171,1097,524
ClassicQuicksort,11004838,1,1,False,10,33.073259,328045270,167272046
ClassicQuicksort,11004838,1,1,True,17,30.668428,335872211,176485746
ClassicQuicksort,11004838,2,1,False,10,37.825851,322975686,169316275
ClassicQuicksort,11004838,2,1,True,17,35.908176,330810211,174200958
ClassicQuicksort,11004838,3,1,False,10,34.885300,287869729,157707538
ClassicQuicksort,11004838,3,1,True,17,27.530178,290608540,161019193
DualPivotQuicksort,11004838,1,2,False,10,26.136470,316183154,104635689
DualPivotQuicksort,11004838,1,2,True,17,22.965536,319728630,111455460
OptimalDualPivotQuicksort,11004838,1,2,False,10,24.141566,307124840,104635689
OptimalDualPivotQuicksort,11004838,1,2,True,17,21.832415,310852484,111455460
DualPivotQuicksort,11004838,2,2,False,10,22.630396,297887253,107304246
DualPivotQuicksort,11004838,2,2,True,17,21.939038,294886621,108193720
OptimalDualPivotQuicksort,11004838,2,2,False,10,21.630177,290543119,107304246
OptimalDualPivotQuicksort,11004838,2,2,True,17,19.967099,287484716,108193720
YaroslavskiyQuicksort,11004838,1,2,True,17,17.048439,290069277,113116783
ThreePivotQuicksort,11004838,1,3,True,13,22.564492,408458715,117864875
MPivotQuicksort,11004838,1,3,True,13,29.577428,317755556,123886465
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,49.204152,440623394,175063210
MPivotQuicksort,11004838,1,4,True,13,27.042773,348838640,114055330
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,46.374252,440337455,158397585
MPivotQuicksort,11004838,1,5,True,13,27.290987,367159398,113664015
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,41.517412,445991993,149541426
MPivotQuicksort,11004838,1,6,True,13,27.841036,385575085,113868999
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,40.834764,459257066,146530283
ClassicQuicksort,1146260,1,1,False,10,3.268998,28947352,14274942
ClassicQuicksort,1146260,1,1,True,17,3.504641,29762635,15237299
ClassicQuicksort,1146260,2,1,False,10,4.197088,27903593,15234820
ClassicQuicksort,1146260,2,1,True,17,3.682508,28719359,15742789
ClassicQuicksort,1146260,3,1,False,10,3.204220,25574891,13991137
ClassicQuicksort,1146260,3,1,True,17,2.408938,25864148,14340995
DualPivotQuicksort,1146260,1,2,False,10,2.476348,27390225,9547703
DualPivotQuicksort,1146260,1,2,True,17,2.485710,27760421,10257164
OptimalDualPivotQuicksort,1146260,1,2,False,10,2.673386,26626462,9547703
OptimalDualPivotQuicksort,1146260,1,2,True,17,2.443840,27015558,10257164
DualPivotQuicksort,1146260,2,2,False,10,2.694911,26095103,10075027
DualPivotQuicksort,1146260,2,2,True,17,2.261524,25779847,10163842
OptimalDualPivotQuicksort,1146260,2,2,False,10,2.685998,25593287,10075027
OptimalDualPivotQuicksort,1146260,2,2,True,17,2.721665,25272050,10163842
YaroslavskiyQuicksort,1146260,1,2,True,17,2.146221,26409378,9776145
ThreePivotQuicksort,1146260,1,3,True,13,2.372896,36202909,10319796
MPivotQuicksort,1146260,1,3,True,13,2.617345,28242019,11247674
HeapOptimizedMPivotQuicksort,1146260,1,3,True,13,4.309178,38420467,15787676
MPivotQuicksort,1146260,1,4,True,13,2.303866,29957810,11003222
HeapOptimizedMPivotQuicksort,1146260,1,4,True,13,4.286107,38217284,14814941
MPivotQuicksort,1146260,1,5,True,13,2.774337,32270615,10349126
HeapOptimizedMPivotQuicksort,1146260,1,5,True,13,4.922943,39964429,14005138
MPivotQuicksort,1146260,1,6,True,13,2.565418,32836342,10653547
HeapOptimizedMPivotQuicksort,1146260,1,6,True,13,3.967729,39929042,13351970
ClassicQuicksort,119394,1,1,False,10,0.256672,2409224,1300134
ClassicQuicksort,119394,1,1,True,17,0.266742,2494955,1400686
ClassicQuicksort,119394,2,1,False,10,0.293107,2448299,1335448
ClassicQuicksort,119394,2,1,True,17,0.287171,2531821,1385712
ClassicQuicksort,119394,3,1,False,10,0.249502,2207795,1234676
ClassicQuicksort,119394,3,1,True,17,0.238687,2237202,1269970
DualPivotQuicksort,119394,1,2,False,10,0.395193,2422037,910523
DualPivotQuicksort,119394,1,2,True,17,0.297450,2461887,984951
OptimalDualPivotQuicksort,119394,1,2,False,10,0.259898,2348275,910523
OptimalDualPivotQuicksort,119394,1,2,True,17,0.218383,2390085,984951
DualPivotQuicksort,119394,2,2,False,10,0.232875,2243679,892608
DualPivotQuicksort,119394,2,2,True,17,0.242688,2210658,902260
OptimalDualPivotQuicksort,119394,2,2,False,10,0.255528,2217488,892608
OptimalDualPivotQuicksort,119394,2,2,True,17,0.178266,2183881,902260
YaroslavskiyQuicksort,119394,1,2,True,17,0.181347,2259310,887479
ThreePivotQuicksort,119394,1,3,True,13,0.228823,3092061,922657
MPivotQuicksort,119394,1,3,True,13,0.272175,2531188,980087
HeapOptimizedMPivotQuicksort,119394,1,3,True,13,0.507538,3337411,1330726
MPivotQuicksort,119394,1,4,True,13,0.258148,2618213,982023
HeapOptimizedMPivotQuicksort,119394,1,4,True,13,0.388972,3330205,1264830
MPivotQuicksort,119394,1,5,True,13,0.261396,2850074,966733
HeapOptimizedMPivotQuicksort,119394,1,5,True,13,0.502109,3391789,1205010
MPivotQuicksort,119394,1,6,True,13,0.273930,2923894,968426
HeapOptimizedMPivotQuicksort,119394,1,6,True,13,0.345195,3430137,1179034
ClassicQuicksort,12436,1,1,False,10,0.015951,204665,115558
ClassicQuicksort,12436,1,1,True,17,0.012796,213452,125928
ClassicQuicksort,12436,2,1,False,10,0.019580,207403,116697
ClassicQuicksort,12436,2,1,True,17,0.020802,216281,122223
ClassicQuicksort,12436,3,1,False,10,0.018655,190409,102535
ClassicQuicksort,12436,3,1,True,17,0.006481,193566,106041
DualPivotQuicksort,12436,1,2,False,10,0.012682,199747,72622
DualPivotQuicksort,12436,1,2,True,17,0.005371,204091,80711
OptimalDualPivotQuicksort,12436,1,2,False,10,0.013468,195279,72622
OptimalDualPivotQuicksort,12436,1,2,True,17,0.006376,199856,80711
DualPivotQuicksort,12436,2,2,False,10,0.011655,189926,75354
DualPivotQuicksort,12436,2,2,True,17,0.006408,186515,76322
OptimalDualPivotQuicksort,12436,2,2,False,10,0.016406,185488,75354
OptimalDualPivotQuicksort,12436,2,2,True,17,0.011239,181967,76322
YaroslavskiyQuicksort,12436,1,2,True,17,0.008184,186612,77714
ThreePivotQuicksort,12436,1,3,True,13,0.008156,251439,77709
MPivotQuicksort,12436,1,3,True,13,0.011903,209188,85729
HeapOptimizedMPivotQuicksort,12436,1,3,True,13,0.018576,268936,111686
MPivotQuicksort,12436,1,4,True,13,0.009339,223836,82632
HeapOptimizedMPivotQuicksort,12436,1,4,True,13,0.027234,267737,107966
MPivotQuicksort,12436,1,5,True,13,0.013094,235045,85097
HeapOptimizedMPivotQuicksort,12436,1,5,True,13,0.019009,283885,105826
MPivotQuicksort,12436,1,6,True,13,0.009837,253596,87693
HeapOptimizedMPivotQuicksort,12436,1,6,True,13,0.040497,293136,103937
ClassicQuicksort,1295,1,1,False,10,0.000643,16780,9816
ClassicQuicksort,1295,1,1,True,17,0.000482,17762,10975
ClassicQuicksort,1295,2,1,False,10,0.000750,14554,8961
ClassicQuicksort,1295,2,1,True,17,0.000691,15523,9480
ClassicQuicksort,1295,3,1,False,10,0.000847,13974,8897
ClassicQuicksort,1295,3,1,True,17,0.000410,14304,9302
DualPivotQuicksort,1295,1,2,False,10,0.000880,14789,5847
DualPivotQuicksort,1295,1,2,True,17,0.000541,15202,6646
OptimalDualPivotQuicksort,1295,1,2,False,10,0.000864,14496,5847
OptimalDualPivotQuicksort,1295,1,2,True,17,0.000599,14936,6646
DualPivotQuicksort,1295,2,2,False,10,0.000905,14712,7035
DualPivotQuicksort,1295,2,2,True,17,0.000662,14313,7097
OptimalDualPivotQuicksort,1295,2,2,False,10,0.000948,14611,7035
OptimalDualPivotQuicksort,1295,2,2,True,17,0.000666,14207,7097
YaroslavskiyQuicksort,1295,1,2,True,17,0.000651,14460,6558
ThreePivotQuicksort,1295,1,3,True,13,0.001347,19003,6628
MPivotQuicksort,1295,1,3,True,13,0.000661,15624,7471
HeapOptimizedMPivotQuicksort,1295,1,3,True,13,0.001036,21355,9282
MPivotQuicksort,1295,1,4,True,13,0.000734,18434,6742
HeapOptimizedMPivotQuicksort,1295,1,4,True,13,0.000853,21078,8907
MPivotQuicksort,1295,1,5,True,13,0.000808,17749,7262
HeapOptimizedMPivotQuicksort,1295,1,5,True,13,0.000889,22212,8471
MPivotQuicksort,1295,1,6,True,13,0.000808,18116,7421
HeapOptimizedMPivotQuicksort,1295,1,6,True,13,0.000920,21749,8354
ClassicQuicksort,134,1,1,False,10,0.000147,857,482
ClassicQuicksort,134,1,1,True,17,0.000104,1011,704
ClassicQuicksort,134,2,1,False,10,0.000114,855,564
ClassicQuicksort,134,2,1,True,17,0.000107,895,546
ClassicQuicksort,134,3,1,False,10,0.000105,906,547
ClassicQuicksort,134,3,1,True,17,0.000085,988,628
DualPivotQuicksort,134,1,2,False,10,0.000159,907,411
DualPivotQuicksort,134,1,2,True,17,0.000091,980,514
OptimalDualPivotQuicksort,134,1,2,False,10,0.000137,890,411
OptimalDualPivotQuicksort,134,1,2,True,17,0.000124,969,514
DualPivotQuicksort,134,2,2,False,10,0.000163,988,525
DualPivotQuicksort,134,2,2,True,17,0.000131,952,541
OptimalDualPivotQuicksort,134,2,2,False,10,0.000187,990,525
OptimalDualPivotQuicksort,134,2,2,True,17,0.000111,955,541
YaroslavskiyQuicksort,134,1,2,True,17,0.000166,965,491
ThreePivotQuicksort,134,1,3,True,13,0.000661,1244,497
MPivotQuicksort,134,1,3,True,13,0.000179,1080,556
HeapOptimizedMPivotQuicksort,134,1,3,True,13,0.000182,1337,631
MPivotQuicksort,134,1,4,True,13,0.000120,1210,582
HeapOptimizedMPivotQuicksort,134,1,4,True,13,0.000227,1400,651
MPivotQuicksort,134,1,5,True,13,0.000120,1193,628
HeapOptimizedMPivotQuicksort,134,1,5,True,13,0.000140,1360,657
MPivotQuicksort,134,1,6,True,13,0.000141,1302,652
HeapOptimizedMPivotQuicksort,134,1,6,True,13,0.000227,1461,614
ClassicQuicksort,14,1,1,False,10,0.000098,51,35
ClassicQuicksort,14,1,1,True,17,0.000046,53,41
ClassicQuicksort,14,2,1,False,10,0.000050,40,44
ClassicQuicksort,14,2,1,True,17,0.000042,53,41
ClassicQuicksort,14,3,1,False,10,0.000171,54,34
ClassicQuicksort,14,3,1,True,17,0.000040,53,41
DualPivotQuicksort,14,1,2,False,10,0.000088,52,24
DualPivotQuicksort,14,1,2,True,17,0.000040,53,41
OptimalDualPivotQuicksort,14,1,2,False,10,0.000077,53,24
OptimalDualPivotQuicksort,14,1,2,True,17,0.000064,53,41
DualPivotQuicksort,14,2,2,False,10,0.000075,61,35
DualPivotQuicksort,14,2,2,True,17,0.000045,53,41
OptimalDualPivotQuicksort,14,2,2,False,10,0.000075,57,35
OptimalDualPivotQuicksort,14,2,2,True,17,0.000043,53,41
YaroslavskiyQuicksort,14,1,2,True,17,0.000050,53,41
ThreePivotQuicksort,14,1,3,True,13,0.000234,69,38
MPivotQuicksort,14,1,3,True,13,0.000112,58,36
HeapOptimizedMPivotQuicksort,14,1,3,True,13,0.000118,69,38
MPivotQuicksort,14,1,4,True,13,0.000075,70,46
