Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000064,23,19
ClassicQuicksort,10,1,1,True,17,0.000037,29,24
ClassicQuicksort,10,2,1,False,10,0.000048,21,16
ClassicQuicksort,10,2,1,True,17,0.000033,29,24
ClassicQuicksort,10,3,1,False,10,0.000065,31,29
ClassicQuicksort,10,3,1,True,17,0.000032,29,24
DualPivotQuicksort,10,1,2,False,10,0.000071,25,17
DualPivotQuicksort,10,1,2,True,17,0.000033,29,24
OptimalDualPivotQuicksort,10,1,2,False,10,0.000095,24,17
OptimalDualPivotQuicksort,10,1,2,True,17,0.000033,29,24
DualPivotQuicksort,10,2,2,False,10,0.000044,33,23
DualPivotQuicksort,10,2,2,True,17,0.000036,29,24
OptimalDualPivotQuicksort,10,2,2,False,10,0.000087,33,23
OptimalDualPivotQuicksort,10,2,2,True,17,0.000036,29,24
YaroslavskiyQuicksort,10,1,2,True,17,0.000040,29,24
ThreePivotQuicksort,10,1,3,True,13,0.000052,29,24
MPivotQuicksort,10,1,3,True,13,0.000040,29,24
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000038,29,24
MPivotQuicksort,10,1,4,True,13,0.000034,29,24
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000034,29,24
MPivotQuicksort,10,1,5,True,13,0.000028,29,24
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000032,29,24
MPivotQuicksort,10,1,6,True,13,0.000028,29,24
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000030,29,24
ClassicQuicksort,1007,1,1,False,10,0.000461,10034,5536
ClassicQuicksort,1007,1,1,True,17,0.000343,10779,6388
ClassicQuicksort,1007,2,1,False,10,0.000585,10276,6574
ClassicQuicksort,1007,2,1,True,17,0.000444,10820,6904
ClassicQuicksort,1007,3,1,False,10,0.000777,10432,5834
ClassicQuicksort,1007,3,1,True,17,0.000432,10695,6114
DualPivotQuicksort,1007,1,2,False,10,0.000721,10359,4477
DualPivotQuicksort,1007,1,2,True,17,0.000403,10760,5210
