Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000083,25,16
ClassicQuicksort,10,1,1,True,17,0.000047,32,24
ClassicQuicksort,10,2,1,False,10,0.000051,21,19
ClassicQuicksort,10,2,1,True,17,0.000042,32,24
ClassicQuicksort,10,3,1,False,10,0.000160,27,20
ClassicQuicksort,10,3,1,True,17,0.000042,32,24
DualPivotQuicksort,10,1,2,False,10,0.000080,27,17
DualPivotQuicksort,10,1,2,True,17,0.000068,32,24
OptimalDualPivotQuicksort,10,1,2,False,10,0.000142,28,17
OptimalDualPivotQuicksort,10,1,2,True,17,0.000064,32,24
DualPivotQuicksort,10,2,2,False,10,0.000063,39,26
DualPivotQuicksort,10,2,2,True,17,0.000045,32,24
OptimalDualPivotQuicksort,10,2,2,False,10,0.000083,40,26
OptimalDualPivotQuicksort,10,2,2,True,17,0.000042,32,24
YaroslavskiyQuicksort,10,1,2,True,17,0.000056,32,24
ThreePivotQuicksort,10,1,3,True,13,0.000072,32,24
MPivotQuicksort,10,1,3,True,13,0.000042,32,24
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000037,32,24
MPivotQuicksort,10,1,4,True,13,0.000041,32,24
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000037,32,24
MPivotQuicksort,10,1,5,True,13,0.000044,32,24
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000038,32,24
MPivotQuicksort,10,1,6,True,13,0.000049,32,24
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000086,32,24
ClassicQuicksort,1007,1,1,False,10,0.000444,11313,6236
ClassicQuicksort,1007,1,1,True,17,0.000364,12292,7233
ClassicQuicksort,1007,2,1,False,10,0.000523,11151,6572
ClassicQuicksort,1007,2,1,True,17,0.000495,11937,7166
ClassicQuicksort,1007,3,1,False,10,0.000562,10803,6258
ClassicQuicksort,1007,3,1,True,17,0.000398,10931,6411
DualPivotQuicksort,1007,1,2,False,10,0.000628,11491,4331
DualPivotQuicksort,1007,1,2,True,17,0.000426,11827,4853
OptimalDualPivotQuicksort,1007,1,2,False,10,0.000856,11357,4331
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000605,11706,4853
DualPivotQuicksort,1007,2,2,False,10,0.000797,11117,4773
