Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000044,21,11
ClassicQuicksort,10,1,1,True,17,0.000039,26,20
ClassicQuicksort,10,2,1,False,10,0.000048,27,18
ClassicQuicksort,10,2,1,True,17,0.000035,26,20
ClassicQuicksort,10,3,1,False,10,0.000062,30,20
ClassicQuicksort,10,3,1,True,17,0.000037,26,20
DualPivotQuicksort,10,1,2,False,10,0.000049,27,13
DualPivotQuicksort,10,1,2,True,17,0.000041,26,20
OptimalDualPivotQuicksort,10,1,2,False,10,0.000075,26,13
OptimalDualPivotQuicksort,10,1,2,True,17,0.000035,26,20
DualPivotQuicksort,10,2,2,False,10,0.000076,34,25
DualPivotQuicksort,10,2,2,True,17,0.000033,26,20
OptimalDualPivotQuicksort,10,2,2,False,10,0.000112,34,25
OptimalDualPivotQuicksort,10,2,2,True,17,0.000040,26,20
YaroslavskiyQuicksort,10,1,2,True,17,0.000039,26,20
ThreePivotQuicksort,10,1,3,True,13,0.000063,26,20
MPivotQuicksort,10,1,3,True,13,0.000451,26,20
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000034,26,20
MPivotQuicksort,10,1,4,True,13,0.000032,26,20
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000035,26,20
MPivotQuicksort,10,1,5,True,13,0.000035,26,20
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000034,26,20
MPivotQuicksort,10,1,6,True,13,0.000029,26,20
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000058,26,20
ClassicQuicksort,1007,1,1,False,10,0.000444,10504,4745
ClassicQuicksort,1007,1,1,True,17,0.000437,11207,5544
ClassicQuicksort,1007,2,1,False,10,0.000631,10826,6588
ClassicQuicksort,1007,2,1,True,17,0.000533,11460,6886
ClassicQuicksort,1007,3,1,False,10,0.000704,10382,6088
ClassicQuicksort,1007,3,1,True,17,0.000502,10696,6489
DualPivotQuicksort,1007,1,2,False,10,0.000653,11068,4192
DualPivotQuicksort,1007,1,2,True,17,0.000404,11338,4722
OptimalDualPivotQuicksort,1007,1,2,False,10,0.000779,10851,4192
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000567,11137,4722
DualPivotQuicksort,1007,2,2,False,10,0.000724,10834,5032
DualPivotQuicksort,1007,2,2,True,17,0.000517,10615,5171
OptimalDualPivotQuicksort,1007,2,2,False,10,0.000810,10679,5032
OptimalDualPivotQuicksort,1007,2,2,True,17,0.000593,10460,5171
YaroslavskiyQuicksort,1007,1,2,True,17,0.000963,11583,4678
ThreePivotQuicksort,1007,1,3,True,13,0.001288,14231,4611
MPivotQuicksort,1007,1,3,True,13,0.000577,12706,5210
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000748,15684,7007
MPivotQuicksort,1007,1,4,True,13,0.000582,12734,5586
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000743,15891,6767
MPivotQuicksort,1007,1,5,True,13,0.000643,12965,5628
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.000814,16458,6467
MPivotQuicksort,1007,1,6,True,13,0.000657,13855,5603
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.000864,16902,6272
ClassicQuicksort,104,1,1,False,10,0.000112,613,333
ClassicQuicksort,104,1,1,True,17,0.000373,673,406
ClassicQuicksort,104,2,1,False,10,0.000189,657,428
ClassicQuicksort,104,2,1,True,17,0.000081,745,480
ClassicQuicksort,104,3,1,False,10,0.000146,676,437
ClassicQuicksort,104,3,1,True,17,0.000209,732,488
DualPivotQuicksort,104,1,2,False,10,0.000116,640,337
DualPivotQuicksort,104,1,2,True,17,0.000089,675,389
OptimalDualPivotQuicksort,104,1,2,False,10,0.000173,620,337
OptimalDualPivotQuicksort,104,1,2,True,17,0.000141,660,389
DualPivotQuicksort,104,2,2,False,10,0.000223,696,363
DualPivotQuicksort,104,2,2,True,17,0.000093,682,397
OptimalDualPivotQuicksort,104,2,2,False,10,0.000206,702,363
OptimalDualPivotQuicksort,104,2,2,True,17,0.000125,684,397
YaroslavskiyQuicksort,104,1,2,True,17,0.000193,735,429
ThreePivotQuicksort,104,1,3,True,13,0.000515,927,383
MPivotQuicksort,104,1,3,True,13,0.000455,794,386
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.000155,1028,516
MPivotQuicksort,104,1,4,True,13,0.000379,848,418
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000181,1043,475
MPivotQuicksort,104,1,5,True,13,0.000173,1038,445
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000129,1064,447
MPivotQuicksort,104,1,6,True,13,0.000140,1021,460
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000147,1108,487
ClassicQuicksort,11004838,1,1,False,10,50.813362,317936586,164912013
ClassicQuicksort,11004838,1,1,True,17,47.626971,325775405,174148818
ClassicQuicksort,11004838,2,1,False,10,37.994413,316116332,169893004
ClassicQuicksort,11004838,2,1,True,17,34.830088,323942551,174748498
ClassicQuicksort,11004838,3,1,False,10,51.830455,288917723,153895334
ClassicQuicksort,11004838,3,1,True,17,65.841919,291651650,157201605
DualPivotQuicksort,11004838,1,2,False,10,25.049314,305036459,107782255
DualPivotQuicksort,11004838,1,2,True,17,21.720407,308580912,114608449
OptimalDualPivotQuicksort,11004838,1,2,False,10,25.800618,297763568,107782255
OptimalDualPivotQuicksort,11004838,1,2,True,17,23.910352,301490021,114608449
DualPivotQuicksort,11004838,2,2,False,10,22.443431,293499062,109502753
DualPivotQuicksort,11004838,2,2,True,17,20.187836,290492102,110390953
OptimalDualPivotQuicksort,11004838,2,2,False,10,25.664918,288533973,109502753
OptimalDualPivotQuicksort,11004838,2,2,True,17,23.093194,285470042,110390953
YaroslavskiyQuicksort,11004838,1,2,True,17,41.421849,294402843,108230657
ThreePivotQuicksort,11004838,1,3,True,13,25.775309,408786824,113794943
MPivotQuicksort,11004838,1,3,True,13,32.189983,315381554,123874667
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,43.412938,431991862,174468659
MPivotQuicksort,11004838,1,4,True,13,29.187827,344522004,116493430
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,42.747216,444538867,159578456
MPivotQuicksort,11004838,1,5,True,13,31.045220,366974523,115435472
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,49.313824,467078415,155775779
MPivotQuicksort,11004838,1,6,True,13,28.942557,376973357,113996800
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,32.969914,460507472,146733026
ClassicQuicksort,1146260,1,1,False,10,5.220064,29054400,15150522
ClassicQuicksort,1146260,1,1,True,17,6.343832,29871211,16112590
ClassicQuicksort,1146260,2,1,False,10,3.717188,28973760,15378750
ClassicQuicksort,1146260,2,1,True,17,3.654060,29787931,15884279
ClassicQuicksort,1146260,3,1,False,10,3.164782,25378240,13780803
ClassicQuicksort,1146260,3,1,True,17,3.951727,25669403,14130668
DualPivotQuicksort,1146260,1,2,False,10,2.562179,28579042,9015489
DualPivotQuicksort,1146260,1,2,True,17,2.081247,28948975,9724698
OptimalDualPivotQuicksort,1146260,1,2,False,10,2.718163,27352948,9015489
OptimalDualPivotQuicksort,1146260,1,2,True,17,2.197037,27741481,9724698
DualPivotQuicksort,1146260,2,2,False,10,2.354522,26038170,10189385
DualPivotQuicksort,1146260,2,2,True,17,2.299501,25728156,10283623
OptimalDualPivotQuicksort,1146260,2,2,False,10,2.983357,25610669,10189385
OptimalDualPivotQuicksort,1146260,2,2,True,17,2.062469,25294829,10283623
YaroslavskiyQuicksort,1146260,1,2,True,17,3.531566,26282519,10756839
ThreePivotQuicksort,1146260,1,3,True,13,2.060646,35806549,10368857
MPivotQuicksort,1146260,1,3,True,13,2.399499,28413697,11953871
HeapOptimizedMPivotQuicksort,1146260,1,3,True,13,3.245357,38967293,15946336
MPivotQuicksort,1146260,1,4,True,13,2.870598,30491370,10623788
HeapOptimizedMPivotQuicksort,1146260,1,4,True,13,4.294670,39013566,14451523
MPivotQuicksort,1146260,1,5,True,13,3.425716,31919054,10636859
HeapOptimizedMPivotQuicksort,1146260,1,5,True,13,4.131993,41008125,14011745
MPivotQuicksort,1146260,1,6,True,13,2.895681,34918098,10447023
HeapOptimizedMPivotQuicksort,1146260,1,6,True,13,4.097849,41343738,13167102
ClassicQuicksort,119394,1,1,False,10,0.426518,2411881,1397433
ClassicQuicksort,119394,1,1,True,17,0.337055,2498347,1498814
ClassicQuicksort,119394,2,1,False,10,0.273374,2359766,1306833
ClassicQuicksort,119394,2,1,True,17,0.158936,2445421,1360411
ClassicQuicksort,119394,3,1,False,10,0.245131,2160477,1205851
ClassicQuicksort,119394,3,1,True,17,0.362838,2191607,1242867
DualPivotQuicksort,119394,1,2,False,10,0.184936,2269362,854374
DualPivotQuicksort,119394,1,2,True,17,0.160675,2308088,928990
OptimalDualPivotQuicksort,119394,1,2,False,10,0.251629,2212229,854374
OptimalDualPivotQuicksort,119394,1,2,True,17,0.225996,2253107,928990
DualPivotQuicksort,119394,2,2,False,10,0.246701,2283388,878640
DualPivotQuicksort,119394,2,2,True,17,0.182553,2251878,889645
OptimalDualPivotQuicksort,119394,2,2,False,10,0.247214,2228571,878640
OptimalDualPivotQuicksort,119394,2,2,True,17,0.246153,2196434,889645
YaroslavskiyQuicksort,119394,1,2,True,17,0.484726,2266044,900531
ThreePivotQuicksort,119394,1,3,True,13,0.242685,3095187,919948
