Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000067,27,25
ClassicQuicksort,10,1,1,True,17,0.000044,30,23
ClassicQuicksort,10,2,1,False,10,0.000169,22,22
ClassicQuicksort,10,2,1,True,17,0.000040,30,23
ClassicQuicksort,10,3,1,False,10,0.000064,27,21
ClassicQuicksort,10,3,1,True,17,0.000034,30,23
DualPivotQuicksort,10,1,2,False,10,0.000067,26,19
DualPivotQuicksort,10,1,2,True,17,0.000032,30,23
OptimalDualPivotQuicksort,10,1,2,False,10,0.000089,26,19
OptimalDualPivotQuicksort,10,1,2,True,17,0.000036,30,23
DualPivotQuicksort,10,2,2,False,10,0.000068,30,20
DualPivotQuicksort,10,2,2,True,17,0.000033,30,23
OptimalDualPivotQuicksort,10,2,2,False,10,0.000095,31,20
OptimalDualPivotQuicksort,10,2,2,True,17,0.000032,30,23
YaroslavskiyQuicksort,10,1,2,True,17,0.000056,30,23
ThreePivotQuicksort,10,1,3,True,13,0.000060,30,23
MPivotQuicksort,10,1,3,True,13,0.000036,30,23
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000033,30,23
MPivotQuicksort,10,1,4,True,13,0.000030,30,23
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000032,30,23
MPivotQuicksort,10,1,5,True,13,0.000034,30,23
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000031,30,23
MPivotQuicksort,10,1,6,True,13,0.000036,30,23
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000041,30,23
ClassicQuicksort,1007,1,1,False,10,0.000496,10568,6141
ClassicQuicksort,1007,1,1,True,17,0.000416,11347,7010
ClassicQuicksort,1007,2,1,False,10,0.000600,11649,6624
ClassicQuicksort,1007,2,1,True,17,0.000504,12345,7122
ClassicQuicksort,1007,3,1,False,10,0.000624,10511,5715
ClassicQuicksort,1007,3,1,True,17,0.000567,10966,6251
DualPivotQuicksort,1007,1,2,False,10,0.000743,10782,4488
DualPivotQuicksort,1007,1,2,True,17,0.000506,11177,5196
OptimalDualPivotQuicksort,1007,1,2,False,10,0.000818,10381,4488
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000558,10785,5196
DualPivotQuicksort,1007,2,2,False,10,0.000908,11477,4762
DualPivotQuicksort,1007,2,2,True,17,0.000609,11166,4786
OptimalDualPivotQuicksort,1007,2,2,False,10,0.000966,11027,4762
OptimalDualPivotQuicksort,1007,2,2,True,17,0.001031,10714,4786
YaroslavskiyQuicksort,1007,1,2,True,17,0.001108,10668,5156
ThreePivotQuicksort,1007,1,3,True,13,0.001596,13796,4902
MPivotQuicksort,1007,1,3,True,13,0.000644,11684,5676
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000848,16116,7015
MPivotQuicksort,1007,1,4,True,13,0.000750,12383,5299
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000898,15956,6558
MPivotQuicksort,1007,1,5,True,13,0.000786,13693,5711
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.000892,16238,6322
MPivotQuicksort,1007,1,6,True,13,0.000744,14104,6004
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.001030,16229,6430
ClassicQuicksort,104,1,1,False,10,0.000064,693,479
ClassicQuicksort,104,1,1,True,17,0.000064,755,566
ClassicQuicksort,104,2,1,False,10,0.000093,673,468
ClassicQuicksort,104,2,1,True,17,0.000084,763,536
ClassicQuicksort,104,3,1,False,10,0.000099,655,448
ClassicQuicksort,104,3,1,True,17,0.000098,665,453
DualPivotQuicksort,104,1,2,False,10,0.000144,660,328
DualPivotQuicksort,104,1,2,True,17,0.000105,676,376
OptimalDualPivotQuicksort,104,1,2,False,10,0.000170,643,328
OptimalDualPivotQuicksort,104,1,2,True,17,0.000130,661,376
DualPivotQuicksort,104,2,2,False,10,0.000149,724,364
DualPivotQuicksort,104,2,2,True,17,0.000107,690,376
OptimalDualPivotQuicksort,104,2,2,False,10,0.000174,717,364
OptimalDualPivotQuicksort,104,2,2,True,17,0.000561,681,376
YaroslavskiyQuicksort,104,1,2,True,17,0.000219,730,386
ThreePivotQuicksort,104,1,3,True,13,0.000492,867,385
MPivotQuicksort,104,1,3,True,13,0.000235,825,432
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.000215,954,444
MPivotQuicksort,104,1,4,True,13,0.000150,883,404
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000114,913,437
MPivotQuicksort,104,1,5,True,13,0.000217,909,458
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000231,1033,473
MPivotQuicksort,104,1,6,True,13,0.000160,1038,462
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000157,1103,471
ClassicQuicksort,11004838,1,1,False,10,50.293222,324401287,158378530
ClassicQuicksort,11004838,1,1,True,17,43.338034,332246775,167605826
ClassicQuicksort,11004838,2,1,False,10,37.786593,321540269,173345193
ClassicQuicksort,11004838,2,1,True,17,39.437347,329375030,178222565
ClassicQuicksort,11004838,3,1,False,10,54.912936,290288816,153687051
ClassicQuicksort,11004838,3,1,True,17,67.651984,293036460,156999838
DualPivotQuicksort,11004838,1,2,False,10,22.737265,306010277,109133125
DualPivotQuicksort,11004838,1,2,True,17,20.981378,309566970,115962831
OptimalDualPivotQuicksort,11004838,1,2,False,10,26.392692,298848028,109133125
OptimalDualPivotQuicksort,11004838,1,2,True,17,24.118855,302585212,115962831
DualPivotQuicksort,11004838,2,2,False,10,22.459099,290943585,109717704
DualPivotQuicksort,11004838,2,2,True,17,22.394409,287935079,110600530
OptimalDualPivotQuicksort,11004838,2,2,False,10,26.047961,283530606,109717704
OptimalDualPivotQuicksort,11004838,2,2,True,17,23.992620,280464331,110600530
YaroslavskiyQuicksort,11004838,1,2,True,17,43.102300,291487982,111017251
ThreePivotQuicksort,11004838,1,3,True,13,24.091483,402745508,113263079
MPivotQuicksort,11004838,1,3,True,13,28.444412,322942459,123844002
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,44.265190,429808820,174063389
MPivotQuicksort,11004838,1,4,True,13,28.752133,346373755,114299829
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,47.243253,441900475,160227552
MPivotQuicksort,11004838,1,5,True,13,33.311905,358743029,115390480
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,47.994087,442476990,152249938
MPivotQuicksort,11004838,1,6,True,13,27.482676,377825810,112598101
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,31.112581,454231250,145328339
ClassicQuicksort,1146260,1,1,False,10,5.093185,29217156,14472221
ClassicQuicksort,1146260,1,1,True,17,6.386569,30033973,15434606
ClassicQuicksort,1146260,2,1,False,10,3.707458,29393733,15920218
ClassicQuicksort,1146260,2,1,True,17,3.971726,30208055,16426999
ClassicQuicksort,1146260,3,1,False,10,3.319103,25898513,14363185
ClassicQuicksort,1146260,3,1,True,17,4.131848,26186623,14710384
DualPivotQuicksort,1146260,1,2,False,10,2.636749,27710326,9674225
DualPivotQuicksort,1146260,1,2,True,17,2.019151,28084664,10388910
OptimalDualPivotQuicksort,1146260,1,2,False,10,3.014939,26911449,9674225
OptimalDualPivotQuicksort,1146260,1,2,True,17,2.156944,27305176,10388910
DualPivotQuicksort,1146260,2,2,False,10,2.456146,26850115,9849876
DualPivotQuicksort,1146260,2,2,True,17,2.449406,26535413,9940632
OptimalDualPivotQuicksort,1146260,2,2,False,10,2.650589,26466214,9849876
OptimalDualPivotQuicksort,1146260,2,2,True,17,1.934674,26145778,9940632
YaroslavskiyQuicksort,1146260,1,2,True,17,2.921659,26838664,10197334
ThreePivotQuicksort,1146260,1,3,True,13,2.052968,36850615,10230714
MPivotQuicksort,1146260,1,3,True,13,2.160570,29066294,11174738
HeapOptimizedMPivotQuicksort,1146260,1,3,True,13,3.443561,38294863,15601284
MPivotQuicksort,1146260,1,4,True,13,2.840763,30813911,10498508
HeapOptimizedMPivotQuicksort,1146260,1,4,True,13,4.141612,38227304,14267908
MPivotQuicksort,1146260,1,5,True,13,3.512664,33708889,10412020
HeapOptimizedMPivotQuicksort,1146260,1,5,True,13,4.151465,40245336,13524113
MPivotQuicksort,1146260,1,6,True,13,2.861861,33718688,10784952
HeapOptimizedMPivotQuicksort,1146260,1,6,True,13,3.870750,40372506,13372438
ClassicQuicksort,119394,1,1,False,10,0.385360,2374197,1218717
ClassicQuicksort,119394,1,1,True,17,0.321420,2460044,1319768
ClassicQuicksort,119394,2,1,False,10,0.273423,2441154,1421964
ClassicQuicksort,119394,2,1,True,17,0.213870,2527143,1475313
ClassicQuicksort,119394,3,1,False,10,0.283335,2298786,1316825
ClassicQuicksort,119394,3,1,True,17,0.413455,2328261,1351972
DualPivotQuicksort,119394,1,2,False,10,0.175990,2302039,844956
DualPivotQuicksort,119394,1,2,True,17,0.177139,2341316,919600
OptimalDualPivotQuicksort,119394,1,2,False,10,0.229961,2252267,844956
OptimalDualPivotQuicksort,119394,1,2,True,17,0.264158,2293480,919600
DualPivotQuicksort,119394,2,2,False,10,0.225391,2279892,892579
DualPivotQuicksort,119394,2,2,True,17,0.187669,2245927,901054
OptimalDualPivotQuicksort,119394,2,2,False,10,0.381518,2232310,892579
OptimalDualPivotQuicksort,119394,2,2,True,17,0.229067,2197578,901054
YaroslavskiyQuicksort,119394,1,2,True,17,0.464791,2261333,962143
ThreePivotQuicksort,119394,1,3,True,13,0.257151,3174322,908355
MPivotQuicksort,119394,1,3,True,13,0.265889,2477966,976878
HeapOptimizedMPivotQuicksort,119394,1,3,True,13,0.392535,3364578,1366196
MPivotQuicksort,119394,1,4,True,13,0.268170,2640876,971050
HeapOptimizedMPivotQuicksort,119394,1,4,True,13,0.408297,3358713,1253791
MPivotQuicksort,119394,1,5,True,13,0.232640,2760201,952631
HeapOptimizedMPivotQuicksort,119394,1,5,True,13,0.290794,3397250,1215578
MPivotQuicksort,119394,1,6,True,13,0.266027,3011343,950545
HeapOptimizedMPivotQuicksort,119394,1,6,True,13,0.356264,3516819,1196295
ClassicQuicksort,12436,1,1,False,10,0.012314,205292,109369
ClassicQuicksort,12436,1,1,True,17,0.012906,214095,119836
ClassicQuicksort,12436,2,1,False,10,0.013590,192491,110626
ClassicQuicksort,12436,2,1,True,17,0.014584,201519,116244
ClassicQuicksort,12436,3,1,False,10,0.013023,178961,103551
ClassicQuicksort,12436,3,1,True,17,0.013964,182078,107245
DualPivotQuicksort,12436,1,2,False,10,0.009928,191712,70362
DualPivotQuicksort,12436,1,2,True,17,0.009718,195717,78135
OptimalDualPivotQuicksort,12436,1,2,False,10,0.014417,184112,70362
OptimalDualPivotQuicksort,12436,1,2,True,17,0.009575,188350,78135
DualPivotQuicksort,12436,2,2,False,10,0.009132,186255,78640
DualPivotQuicksort,12436,2,2,True,17,0.006709,183203,80308
OptimalDualPivotQuicksort,12436,2,2,False,10,0.015543,184172,78640
OptimalDualPivotQuicksort,12436,2,2,True,17,0.008384,181050,80308
YaroslavskiyQuicksort,12436,1,2,True,17,0.026913,186159,78275
ThreePivotQuicksort,12436,1,3,True,13,0.014870,252927,82873
MPivotQuicksort,12436,1,3,True,13,0.016255,203460,87228
HeapOptimizedMPivotQuicksort,12436,1,3,True,13,0.015628,269899,116838
MPivotQuicksort,12436,1,4,True,13,0.014991,213032,83371
HeapOptimizedMPivotQuicksort,12436,1,4,True,13,0.024556,272256,107333
MPivotQuicksort,12436,1,5,True,13,0.016992,232930,84378
HeapOptimizedMPivotQuicksort,12436,1,5,True,13,0.016022,276491,103744
MPivotQuicksort,12436,1,6,True,13,0.013997,241364,85287
HeapOptimizedMPivotQuicksort,12436,1,6,True,13,0.025789,298444,103749
ClassicQuicksort,1295,1,1,False,10,0.000574,14229,7907
ClassicQuicksort,1295,1,1,True,17,0.000410,15194,9046
ClassicQuicksort,1295,2,1,False,10,0.000626,13436,8209
ClassicQuicksort,1295,2,1,True,17,0.000592,14300,8706
ClassicQuicksort,1295,3,1,False,10,0.000656,14393,9000
ClassicQuicksort,1295,3,1,True,17,0.000558,14517,9189
DualPivotQuicksort,1295,1,2,False,10,0.000770,13856,5246
DualPivotQuicksort,1295,1,2,True,17,0.000505,14265,6079
OptimalDualPivotQuicksort,1295,1,2,False,10,0.001137,13575,5246
OptimalDualPivotQuicksort,1295,1,2,True,17,0.000678,14000,6079
DualPivotQuicksort,1295,2,2,False,10,0.001033,14386,6494
DualPivotQuicksort,1295,2,2,True,17,0.000677,14068,6607
OptimalDualPivotQuicksort,1295,2,2,False,10,0.001154,14227,6494
OptimalDualPivotQuicksort,1295,2,2,True,17,0.000878,13902,6607
YaroslavskiyQuicksort,1295,1,2,True,17,0.001551,14556,7368
ThreePivotQuicksort,1295,1,3,True,13,0.001804,19184,6836
MPivotQuicksort,1295,1,3,True,13,0.000901,16969,7527
HeapOptimizedMPivotQuicksort,1295,1,3,True,13,0.001057,20754,9126
MPivotQuicksort,1295,1,4,True,13,0.000859,17338,7064
HeapOptimizedMPivotQuicksort,1295,1,4,True,13,0.001072,20655,8842
MPivotQuicksort,1295,1,5,True,13,0.001111,17606,7208
HeapOptimizedMPivotQuicksort,1295,1,5,True,13,0.001198,21671,8691
MPivotQuicksort,1295,1,6,True,13,0.001033,19453,7806
HeapOptimizedMPivotQuicksort,1295,1,6,True,13,0.001083,21758,8710
ClassicQuicksort,134,1,1,False,10,0.000115,899,472
ClassicQuicksort,134,1,1,True,17,0.000083,983,584
ClassicQuicksort,134,2,1,False,10,0.000085,908,509
ClassicQuicksort,134,2,1,True,17,0.000077,1022,573
ClassicQuicksort,134,3,1,False,10,0.000131,949,560
ClassicQuicksort,134,3,1,True,17,0.000118,959,570
DualPivotQuicksort,134,1,2,False,10,0.000120,895,411
DualPivotQuicksort,134,1,2,True,17,0.000124,955,502
OptimalDualPivotQuicksort,134,1,2,False,10,0.000235,860,411
OptimalDualPivotQuicksort,134,1,2,True,17,0.000124,920,502
DualPivotQuicksort,134,2,2,False,10,0.000398,1061,544
DualPivotQuicksort,134,2,2,True,17,0.000117,994,525
OptimalDualPivotQuicksort,134,2,2,False,10,0.000221,1058,544
OptimalDualPivotQuicksort,134,2,2,True,17,0.000269,991,525
YaroslavskiyQuicksort,134,1,2,True,17,0.000233,950,556
ThreePivotQuicksort,134,1,3,True,13,0.000495,1290,434
MPivotQuicksort,134,1,3,True,13,0.000133,1061,553
HeapOptimizedMPivotQuicksort,134,1,3,True,13,0.000155,1367,623
MPivotQuicksort,134,1,4,True,13,0.000161,1166,513
HeapOptimizedMPivotQuicksort,134,1,4,True,13,0.000144,1372,628
MPivotQuicksort,134,1,5,True,13,0.000156,1114,564
HeapOptimizedMPivotQuicksort,134,1,5,True,13,0.000184,1547,676
MPivotQuicksort,134,1,6,True,13,0.000167,1281,640
HeapOptimizedMPivotQuicksort,134,1,6,True,13,0.000200,1469,662
ClassicQuicksort,14,1,1,False,10,0.000076,47,28
ClassicQuicksort,14,1,1,True,17,0.000046,52,41
ClassicQuicksort,14,2,1,False,10,0.000053,38,33
ClassicQuicksort,14,2,1,True,17,0.000041,52,41
ClassicQuicksort,14,3,1,False,10,0.000056,50,33
ClassicQuicksort,14,3,1,True,17,0.000038,52,41
DualPivotQuicksort,14,1,2,False,10,0.000077,46,24
DualPivotQuicksort,14,1,2,True,17,0.000038,52,41
OptimalDualPivotQuicksort,14,1,2,False,10,0.000092,46,24
OptimalDualPivotQuicksort,14,1,2,True,17,0.000040,52,41
DualPivotQuicksort,14,2,2,False,10,0.000076,57,32
DualPivotQuicksort,14,2,2,True,17,0.000043,52,41
OptimalDualPivotQuicksort,14,2,2,False,10,0.000109,58,32
OptimalDualPivotQuicksort,14,2,2,True,17,0.000054,52,41
YaroslavskiyQuicksort,14,1,2,True,17,0.000040,52,41
ThreePivotQuicksort,14,1,3,True,13,0.000275,65,33
MPivotQuicksort,14,1,3,True,13,0.000104,61,39
HeapOptimizedMPivotQuicksort,14,1,3,True,13,0.000158,71,36
