Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000052,20,12
ClassicQuicksort,10,1,1,True,17,0.000041,22,15
ClassicQuicksort,10,2,1,False,10,0.000050,27,30
ClassicQuicksort,10,2,1,True,17,0.000034,22,15
ClassicQuicksort,10,3,1,False,10,0.000060,28,21
ClassicQuicksort,10,3,1,True,17,0.000041,22,15
DualPivotQuicksort,10,1,2,False,10,0.000054,26,15
DualPivotQuicksort,10,1,2,True,17,0.000036,22,15
OptimalDualPivotQuicksort,10,1,2,False,10,0.000076,26,15
OptimalDualPivotQuicksort,10,1,2,True,17,0.000120,22,15
DualPivotQuicksort,10,2,2,False,10,0.000083,30,19
DualPivotQuicksort,10,2,2,True,17,0.000031,22,15
OptimalDualPivotQuicksort,10,2,2,False,10,0.000220,30,19
OptimalDualPivotQuicksort,10,2,2,True,17,0.000033,22,15
YaroslavskiyQuicksort,10,1,2,True,17,0.000035,22,15
ThreePivotQuicksort,10,1,3,True,13,0.000115,22,15
MPivotQuicksort,10,1,3,True,13,0.000041,22,15
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000036,22,15
MPivotQuicksort,10,1,4,True,13,0.000033,22,15
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000060,22,15
MPivotQuicksort,10,1,5,True,13,0.000029,22,15
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000031,22,15
MPivotQuicksort,10,1,6,True,13,0.000041,22,15
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000028,22,15
ClassicQuicksort,1007,1,1,False,10,0.000526,11575,5900
ClassicQuicksort,1007,1,1,True,17,0.000406,12472,6904
ClassicQuicksort,1007,2,1,False,10,0.000604,10559,6574
ClassicQuicksort,1007,2,1,True,17,0.000680,11216,6967
ClassicQuicksort,1007,3,1,False,10,0.000533,10308,6091
ClassicQuicksort,1007,3,1,True,17,0.000382,10560,6414
DualPivotQuicksort,1007,1,2,False,10,0.000481,11416,4852
DualPivotQuicksort,1007,1,2,True,17,0.000387,11661,5344
OptimalDualPivotQuicksort,1007,1,2,False,10,0.000563,11071,4852
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000514,11334,5344
DualPivotQuicksort,1007,2,2,False,10,0.000595,10604,4929
DualPivotQuicksort,1007,2,2,True,17,0.000422,10288,4942
OptimalDualPivotQuicksort,1007,2,2,False,10,0.000891,10495,4929
OptimalDualPivotQuicksort,1007,2,2,True,17,0.000554,10191,4942
YaroslavskiyQuicksort,1007,1,2,True,17,0.000487,11071,5007
ThreePivotQuicksort,1007,1,3,True,13,0.001137,14823,5084
MPivotQuicksort,1007,1,3,True,13,0.000551,12414,5609
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000779,16519,7152
MPivotQuicksort,1007,1,4,True,13,0.000653,13118,5481
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.001610,16024,6924
MPivotQuicksort,1007,1,5,True,13,0.000643,13043,5795
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.000999,16182,6676
MPivotQuicksort,1007,1,6,True,13,0.000741,14792,5877
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.000856,16171,6409
ClassicQuicksort,104,1,1,False,10,0.000095,674,324
ClassicQuicksort,104,1,1,True,17,0.000084,733,417
ClassicQuicksort,104,2,1,False,10,0.000083,680,444
ClassicQuicksort,104,2,1,True,17,0.000104,747,501
ClassicQuicksort,104,3,1,False,10,0.000148,679,412
ClassicQuicksort,104,3,1,True,17,0.000099,701,441
DualPivotQuicksort,104,1,2,False,10,0.000118,709,337
DualPivotQuicksort,104,1,2,True,17,0.000215,724,376
OptimalDualPivotQuicksort,104,1,2,False,10,0.000136,704,337
OptimalDualPivotQuicksort,104,1,2,True,17,0.000121,722,376
DualPivotQuicksort,104,2,2,False,10,0.000180,733,357
DualPivotQuicksort,104,2,2,True,17,0.000205,700,367
OptimalDualPivotQuicksort,104,2,2,False,10,0.000258,732,357
OptimalDualPivotQuicksort,104,2,2,True,17,0.000124,699,367
YaroslavskiyQuicksort,104,1,2,True,17,0.000112,782,381
ThreePivotQuicksort,104,1,3,True,13,0.000731,948,347
MPivotQuicksort,104,1,3,True,13,0.000151,781,409
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.000236,959,492
MPivotQuicksort,104,1,4,True,13,0.000240,790,412
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000142,986,463
MPivotQuicksort,104,1,5,True,13,0.000116,1035,474
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000133,1042,470
MPivotQuicksort,104,1,6,True,13,0.000125,914,435
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000163,1057,484
ClassicQuicksort,11004838,1,1,False,10,33.940475,336822020,165624689
ClassicQuicksort,11004838,1,1,True,17,26.473927,344642674,174833731
ClassicQuicksort,11004838,2,1,False,10,35.828643,316670163,166017741
ClassicQuicksort,11004838,2,1,True,17,34.788695,324501114,170883926
ClassicQuicksort,11004838,3,1,False,10,29.492184,290163363,151524871
ClassicQuicksort,11004838,3,1,True,17,29.566654,292905706,154834607
DualPivotQuicksort,11004838,1,2,False,10,28.870212,308939153,103416833
DualPivotQuicksort,11004838,1,2,True,17,24.603263,312514685,110271260
OptimalDualPivotQuicksort,11004838,1,2,False,10,23.356992,297305450,103416833
OptimalDualPivotQuicksort,11004838,1,2,True,17,21.067764,301063198,110271260
DualPivotQuicksort,11004838,2,2,False,10,21.871493,297988182,108536771
DualPivotQuicksort,11004838,2,2,True,17,21.362770,294989609,109424534
OptimalDualPivotQuicksort,11004838,2,2,False,10,23.931350,291759688,108536771
OptimalDualPivotQuicksort,11004838,2,2,True,17,20.818630,288702951,109424534
YaroslavskiyQuicksort,11004838,1,2,True,17,16.782694,294464553,106798341
ThreePivotQuicksort,11004838,1,3,True,13,21.399468,409886757,112677793
MPivotQuicksort,11004838,1,3,True,13,27.331611,321907626,122499563
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,52.618772,442281065,174027731
MPivotQuicksort,11004838,1,4,True,13,27.152069,344223431,118623554
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,40.739842,435399988,161045470
MPivotQuicksort,11004838,1,5,True,13,28.606927,368314100,114512382
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,45.368092,448545427,151393777
MPivotQuicksort,11004838,1,6,True,13,27.995060,385395200,113694628
