Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000058,30,20
ClassicQuicksort,10,1,1,True,17,0.000058,39,33
ClassicQuicksort,10,2,1,False,10,0.000049,31,24
ClassicQuicksort,10,2,1,True,17,0.000050,39,33
ClassicQuicksort,10,3,1,False,10,0.000060,35,25
ClassicQuicksort,10,3,1,True,17,0.000042,39,33
DualPivotQuicksort,10,1,2,False,10,0.000103,39,20
DualPivotQuicksort,10,1,2,True,17,0.000051,39,33
OptimalDualPivotQuicksort,10,1,2,False,10,0.000059,39,20
OptimalDualPivotQuicksort,10,1,2,True,17,0.000038,39,33
DualPivotQuicksort,10,2,2,False,10,0.000064,35,27
DualPivotQuicksort,10,2,2,True,17,0.000040,39,33
OptimalDualPivotQuicksort,10,2,2,False,10,0.000061,34,27
OptimalDualPivotQuicksort,10,2,2,True,17,0.000033,39,33
YaroslavskiyQuicksort,10,1,2,True,17,0.000040,39,33
ThreePivotQuicksort,10,1,3,True,13,0.000116,39,33
MPivotQuicksort,10,1,3,True,13,0.000032,39,33
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000031,39,33
MPivotQuicksort,10,1,4,True,13,0.000029,39,33
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000033,39,33
MPivotQuicksort,10,1,5,True,13,0.000029,39,33
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000027,39,33
MPivotQuicksort,10,1,6,True,13,0.000028,39,33
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000028,39,33
ClassicQuicksort,1007,1,1,False,10,0.000452,11175,5366
ClassicQuicksort,1007,1,1,True,17,0.000366,11947,6341
ClassicQuicksort,1007,2,1,False,10,0.000543,11011,6528
ClassicQuicksort,1007,2,1,True,17,0.000597,11632,6933
ClassicQuicksort,1007,3,1,False,10,0.000466,10307,5471
ClassicQuicksort,1007,3,1,True,17,0.000391,10472,5708
DualPivotQuicksort,1007,1,2,False,10,0.002505,11925,4016
DualPivotQuicksort,1007,1,2,True,17,0.000395,12212,4608
OptimalDualPivotQuicksort,1007,1,2,False,10,0.000594,11525,4016
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000528,11822,4608
DualPivotQuicksort,1007,2,2,False,10,0.000635,11067,5013
DualPivotQuicksort,1007,2,2,True,17,0.000432,10683,4977
OptimalDualPivotQuicksort,1007,2,2,False,10,0.000762,10804,5013
OptimalDualPivotQuicksort,1007,2,2,True,17,0.000643,10431,4977
YaroslavskiyQuicksort,1007,1,2,True,17,0.000504,11101,4837
ThreePivotQuicksort,1007,1,3,True,13,0.001018,14280,4714
MPivotQuicksort,1007,1,3,True,13,0.000537,12494,5831
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000633,15386,6968
MPivotQuicksort,1007,1,4,True,13,0.000559,12630,5550
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000685,14805,6424
MPivotQuicksort,1007,1,5,True,13,0.002544,14063,5610
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.000650,16508,6419
MPivotQuicksort,1007,1,6,True,13,0.000650,14891,6013
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.000767,16485,6661
ClassicQuicksort,104,1,1,False,10,0.000219,652,385
ClassicQuicksort,104,1,1,True,17,0.000083,749,481
ClassicQuicksort,104,2,1,False,10,0.000099,716,427
ClassicQuicksort,104,2,1,True,17,0.000107,763,426
ClassicQuicksort,104,3,1,False,10,0.000121,698,437
ClassicQuicksort,104,3,1,True,17,0.000304,745,485
DualPivotQuicksort,104,1,2,False,10,0.000092,678,365
DualPivotQuicksort,104,1,2,True,17,0.000076,666,381
OptimalDualPivotQuicksort,104,1,2,False,10,0.000133,675,365
OptimalDualPivotQuicksort,104,1,2,True,17,0.000086,665,381
DualPivotQuicksort,104,2,2,False,10,0.000213,743,380
DualPivotQuicksort,104,2,2,True,17,0.000192,695,385
OptimalDualPivotQuicksort,104,2,2,False,10,0.000136,743,380
OptimalDualPivotQuicksort,104,2,2,True,17,0.000134,692,385
YaroslavskiyQuicksort,104,1,2,True,17,0.000117,694,352
ThreePivotQuicksort,104,1,3,True,13,0.000782,830,370
MPivotQuicksort,104,1,3,True,13,0.000207,818,426
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.000105,926,481
MPivotQuicksort,104,1,4,True,13,0.000152,790,398
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000102,1003,473
MPivotQuicksort,104,1,5,True,13,0.000180,914,433
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000129,1075,498
MPivotQuicksort,104,1,6,True,13,0.000158,1033,526
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000162,1114,453
ClassicQuicksort,11004838,1,1,False,10,34.559564,326546104,175079304
ClassicQuicksort,11004838,1,1,True,17,30.426686,334378046,184303649
ClassicQuicksort,11004838,2,1,False,10,38.356201,319590016,174635215
ClassicQuicksort,11004838,2,1,True,17,35.579310,327440482,179535095
ClassicQuicksort,11004838,3,1,False,10,33.179029,287458459,154886683
ClassicQuicksort,11004838,3,1,True,17,30.530379,290209763,158204793
DualPivotQuicksort,11004838,1,2,False,10,26.482057,311951981,111180937
DualPivotQuicksort,11004838,1,2,True,17,24.445490,315508410,118008864
OptimalDualPivotQuicksort,11004838,1,2,False,10,24.356527,304351750,111180937
OptimalDualPivotQuicksort,11004838,1,2,True,17,21.035353,308089932,118008864
DualPivotQuicksort,11004838,2,2,False,10,23.856954,294388765,114373239
DualPivotQuicksort,11004838,2,2,True,17,21.668800,291389603,115269189
OptimalDualPivotQuicksort,11004838,2,2,False,10,22.412574,288004780,114373239
OptimalDualPivotQuicksort,11004838,2,2,True,17,20.061546,284947884,115269189
YaroslavskiyQuicksort,11004838,1,2,True,17,19.306734,293203821,116544562
ThreePivotQuicksort,11004838,1,3,True,13,24.009393,415694379,117200690
MPivotQuicksort,11004838,1,3,True,13,30.566589,318777242,126360192
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,49.060987,434620293,179786556
MPivotQuicksort,11004838,1,4,True,13,25.229318,341778832,115193759
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,44.652259,432949558,157549096
MPivotQuicksort,11004838,1,5,True,13,27.241753,369346583,113393983
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,44.147656,461343912,149231070
MPivotQuicksort,11004838,1,6,True,13,27.682734,380521034,112082532
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,40.997692,460521538,145886106
ClassicQuicksort,1146260,1,1,False,10,3.259782,28472034,14393231
ClassicQuicksort,1146260,1,1,True,17,3.495945,29288491,15353146
ClassicQuicksort,1146260,2,1,False,10,4.344138,27995193,15391799
ClassicQuicksort,1146260,2,1,True,17,3.479873,28810165,15897677
ClassicQuicksort,1146260,3,1,False,10,3.139305,25911102,13250585
ClassicQuicksort,1146260,3,1,True,17,2.127775,26197625,13595928
DualPivotQuicksort,1146260,1,2,False,10,2.610498,27260732,9910663
DualPivotQuicksort,1146260,1,2,True,17,2.416957,27629918,10621218
OptimalDualPivotQuicksort,1146260,1,2,False,10,2.602819,26574289,9910663
OptimalDualPivotQuicksort,1146260,1,2,True,17,2.560894,26962178,10621218
DualPivotQuicksort,1146260,2,2,False,10,2.508104,26180309,9932477
DualPivotQuicksort,1146260,2,2,True,17,2.144331,25867828,10024465
OptimalDualPivotQuicksort,1146260,2,2,False,10,2.584945,25473861,9932477
OptimalDualPivotQuicksort,1146260,2,2,True,17,2.623648,25155621,10024465
YaroslavskiyQuicksort,1146260,1,2,True,17,2.150897,26141600,10531484
ThreePivotQuicksort,1146260,1,3,True,13,2.359695,36058807,10451915
MPivotQuicksort,1146260,1,3,True,13,2.722132,28732999,11375910
HeapOptimizedMPivotQuicksort,1146260,1,3,True,13,4.066022,38408180,15698926
MPivotQuicksort,1146260,1,4,True,13,2.356760,30269765,10668218
HeapOptimizedMPivotQuicksort,1146260,1,4,True,13,4.350639,39060647,14287461
MPivotQuicksort,1146260,1,5,True,13,2.849265,32011543,10675967
HeapOptimizedMPivotQuicksort,1146260,1,5,True,13,5.039813,39422238,13880160
MPivotQuicksort,1146260,1,6,True,13,2.499963,34830586,10615365
HeapOptimizedMPivotQuicksort,1146260,1,6,True,13,4.103293,41194422,13421806
ClassicQuicksort,119394,1,1,False,10,0.254007,2421317,1198870
ClassicQuicksort,119394,1,1,True,17,0.218148,2505747,1298370
ClassicQuicksort,119394,2,1,False,10,0.294148,2362339,1296277
ClassicQuicksort,119394,2,1,True,17,0.278508,2448003,1349467
ClassicQuicksort,119394,3,1,False,10,0.250458,2211232,1163786
ClassicQuicksort,119394,3,1,True,17,0.194252,2240663,1199313
DualPivotQuicksort,119394,1,2,False,10,0.236251,2387677,893467
DualPivotQuicksort,119394,1,2,True,17,0.259123,2425556,966624
OptimalDualPivotQuicksort,119394,1,2,False,10,0.283300,2330435,893467
OptimalDualPivotQuicksort,119394,1,2,True,17,0.222461,2370312,966624
DualPivotQuicksort,119394,2,2,False,10,0.256223,2300939,907010
DualPivotQuicksort,119394,2,2,True,17,0.230345,2269449,918047
OptimalDualPivotQuicksort,119394,2,2,False,10,0.252494,2240523,907010
OptimalDualPivotQuicksort,119394,2,2,True,17,0.243364,2208473,918047
YaroslavskiyQuicksort,119394,1,2,True,17,0.164517,2249595,905665
ThreePivotQuicksort,119394,1,3,True,13,0.221516,3089980,932537
MPivotQuicksort,119394,1,3,True,13,0.309049,2460843,1016651
HeapOptimizedMPivotQuicksort,119394,1,3,True,13,0.504678,3270776,1340710
MPivotQuicksort,119394,1,4,True,13,0.291229,2564267,948479
HeapOptimizedMPivotQuicksort,119394,1,4,True,13,0.389894,3302442,1254392
MPivotQuicksort,119394,1,5,True,13,0.295651,2720454,955568
HeapOptimizedMPivotQuicksort,119394,1,5,True,13,0.451424,3466581,1215595
MPivotQuicksort,119394,1,6,True,13,0.269774,2907430,982110
HeapOptimizedMPivotQuicksort,119394,1,6,True,13,0.433589,3475604,1184129
ClassicQuicksort,12436,1,1,False,10,0.014174,185068,96672
ClassicQuicksort,12436,1,1,True,17,0.008298,193974,107297
ClassicQuicksort,12436,2,1,False,10,0.016235,207495,131266
ClassicQuicksort,12436,2,1,True,17,0.012510,216031,136132
ClassicQuicksort,12436,3,1,False,10,0.011018,179879,101746
ClassicQuicksort,12436,3,1,True,17,0.008982,182658,105236
DualPivotQuicksort,12436,1,2,False,10,0.007465,188188,71286
DualPivotQuicksort,12436,1,2,True,17,0.008441,192086,78834
OptimalDualPivotQuicksort,12436,1,2,False,10,0.009716,184444,71286
OptimalDualPivotQuicksort,12436,1,2,True,17,0.011377,188564,78834
DualPivotQuicksort,12436,2,2,False,10,0.010063,188233,80027
