Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000047,27,22
ClassicQuicksort,10,1,1,True,17,0.000044,36,31
ClassicQuicksort,10,2,1,False,10,0.000043,25,20
ClassicQuicksort,10,2,1,True,17,0.000037,36,31
ClassicQuicksort,10,3,1,False,10,0.000059,29,22
ClassicQuicksort,10,3,1,True,17,0.000035,36,31
DualPivotQuicksort,10,1,2,False,10,0.000054,28,16
DualPivotQuicksort,10,1,2,True,17,0.000035,36,31
OptimalDualPivotQuicksort,10,1,2,False,10,0.000064,28,16
OptimalDualPivotQuicksort,10,1,2,True,17,0.000037,36,31
DualPivotQuicksort,10,2,2,False,10,0.000055,35,25
DualPivotQuicksort,10,2,2,True,17,0.000039,36,31
OptimalDualPivotQuicksort,10,2,2,False,10,0.000076,33,25
OptimalDualPivotQuicksort,10,2,2,True,17,0.000037,36,31
YaroslavskiyQuicksort,10,1,2,True,17,0.000033,36,31
ThreePivotQuicksort,10,1,3,True,13,0.000046,36,31
MPivotQuicksort,10,1,3,True,13,0.000028,36,31
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000029,36,31
MPivotQuicksort,10,1,4,True,13,0.000061,36,31
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000032,36,31
MPivotQuicksort,10,1,5,True,13,0.000030,36,31
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000027,36,31
MPivotQuicksort,10,1,6,True,13,0.000038,36,31
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000033,36,31
ClassicQuicksort,1007,1,1,False,10,0.000440,11060,5926
ClassicQuicksort,1007,1,1,True,17,0.000363,11713,6670
ClassicQuicksort,1007,2,1,False,10,0.000525,11158,6216
ClassicQuicksort,1007,2,1,True,17,0.000463,11792,6548
ClassicQuicksort,1007,3,1,False,10,0.000511,10495,6243
ClassicQuicksort,1007,3,1,True,17,0.000413,10823,6643
DualPivotQuicksort,1007,1,2,False,10,0.000613,10702,4221
DualPivotQuicksort,1007,1,2,True,17,0.000689,11055,4897
OptimalDualPivotQuicksort,1007,1,2,False,10,0.000785,10579,4221
