Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000100,27,16
ClassicQuicksort,10,1,1,True,17,0.000060,37,29
ClassicQuicksort,10,2,1,False,10,0.000060,25,24
ClassicQuicksort,10,2,1,True,17,0.000055,37,29
ClassicQuicksort,10,3,1,False,10,0.000099,29,21
ClassicQuicksort,10,3,1,True,17,0.000264,37,29
DualPivotQuicksort,10,1,2,False,10,0.000098,26,18
DualPivotQuicksort,10,1,2,True,17,0.000085,37,29
OptimalDualPivotQuicksort,10,1,2,False,10,0.000075,25,18
OptimalDualPivotQuicksort,10,1,2,True,17,0.000062,37,29
DualPivotQuicksort,10,2,2,False,10,0.000067,34,26
DualPivotQuicksort,10,2,2,True,17,0.000047,37,29
OptimalDualPivotQuicksort,10,2,2,False,10,0.000066,34,26
OptimalDualPivotQuicksort,10,2,2,True,17,0.000050,37,29
YaroslavskiyQuicksort,10,1,2,True,17,0.000073,37,29
ThreePivotQuicksort,10,1,3,True,13,0.000116,37,29
MPivotQuicksort,10,1,3,True,13,0.000082,37,29
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000051,37,29
MPivotQuicksort,10,1,4,True,13,0.000051,37,29
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000052,37,29
MPivotQuicksort,10,1,5,True,13,0.000046,37,29
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000052,37,29
MPivotQuicksort,10,1,6,True,13,0.000051,37,29
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000053,37,29
ClassicQuicksort,1007,1,1,False,10,0.000421,10953,5450
ClassicQuicksort,1007,1,1,True,17,0.000410,11608,6259
ClassicQuicksort,1007,2,1,False,10,0.000531,10946,5680
ClassicQuicksort,1007,2,1,True,17,0.000474,11666,6097
ClassicQuicksort,1007,3,1,False,10,0.000593,11210,5423
ClassicQuicksort,1007,3,1,True,17,0.003167,11394,5683
DualPivotQuicksort,1007,1,2,False,10,0.000687,10986,4097
DualPivotQuicksort,1007,1,2,True,17,0.000418,11448,4885
OptimalDualPivotQuicksort,1007,1,2,False,10,0.000682,10566,4097
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000517,11043,4885
DualPivotQuicksort,1007,2,2,False,10,0.004210,10891,4931
DualPivotQuicksort,1007,2,2,True,17,0.000584,10626,5014
OptimalDualPivotQuicksort,1007,2,2,False,10,0.000854,10721,4931
OptimalDualPivotQuicksort,1007,2,2,True,17,0.000627,10456,5014
YaroslavskiyQuicksort,1007,1,2,True,17,0.001134,10662,5063
ThreePivotQuicksort,1007,1,3,True,13,0.004577,14281,4837
MPivotQuicksort,1007,1,3,True,13,0.000706,12232,5555
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000855,16666,7388
MPivotQuicksort,1007,1,4,True,13,0.000668,12952,5268
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000811,15757,6553
MPivotQuicksort,1007,1,5,True,13,0.000745,13413,5497
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.000984,17481,6345
MPivotQuicksort,1007,1,6,True,13,0.000778,14383,5717
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.001034,16167,6422
ClassicQuicksort,104,1,1,False,10,0.000071,664,435
