Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000090,22,11
ClassicQuicksort,10,1,1,True,17,0.000057,25,17
ClassicQuicksort,10,2,1,False,10,0.000065,19,16
ClassicQuicksort,10,2,1,True,17,0.000051,25,17
ClassicQuicksort,10,3,1,False,10,0.000079,31,22
ClassicQuicksort,10,3,1,True,17,0.000048,25,17
DualPivotQuicksort,10,1,2,False,10,0.000061,23,14
DualPivotQuicksort,10,1,2,True,17,0.000041,25,17
OptimalDualPivotQuicksort,10,1,2,False,10,0.000087,23,14
OptimalDualPivotQuicksort,10,1,2,True,17,0.000041,25,17
DualPivotQuicksort,10,2,2,False,10,0.000088,30,20
DualPivotQuicksort,10,2,2,True,17,0.000043,25,17
OptimalDualPivotQuicksort,10,2,2,False,10,0.000078,31,20
OptimalDualPivotQuicksort,10,2,2,True,17,0.000061,25,17
YaroslavskiyQuicksort,10,1,2,True,17,0.000060,25,17
ThreePivotQuicksort,10,1,3,True,13,0.000105,25,17
MPivotQuicksort,10,1,3,True,13,0.000039,25,17
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000041,25,17
MPivotQuicksort,10,1,4,True,13,0.000614,25,17
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000052,25,17
MPivotQuicksort,10,1,5,True,13,0.000046,25,17
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000034,25,17
MPivotQuicksort,10,1,6,True,13,0.000046,25,17
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000043,25,17
ClassicQuicksort,1007,1,1,False,10,0.000445,11117,5786
ClassicQuicksort,1007,1,1,True,17,0.000445,11729,6516
ClassicQuicksort,1007,2,1,False,10,0.000514,10105,6500
ClassicQuicksort,1007,2,1,True,17,0.000445,10809,6917
ClassicQuicksort,1007,3,1,False,10,0.000647,10354,5932
ClassicQuicksort,1007,3,1,True,17,0.000452,10435,6088
DualPivotQuicksort,1007,1,2,False,10,0.005232,10482,4978
DualPivotQuicksort,1007,1,2,True,17,0.001059,10805,5613
OptimalDualPivotQuicksort,1007,1,2,False,10,0.007464,10315,4978
OptimalDualPivotQuicksort,1007,1,2,True,17,0.002023,10666,5613
DualPivotQuicksort,1007,2,2,False,10,0.004870,10860,4766
DualPivotQuicksort,1007,2,2,True,17,0.001807,10616,4911
OptimalDualPivotQuicksort,1007,2,2,False,10,0.005697,10671,4766
OptimalDualPivotQuicksort,1007,2,2,True,17,0.001853,10418,4911
YaroslavskiyQuicksort,1007,1,2,True,17,0.000544,11259,4974
ThreePivotQuicksort,1007,1,3,True,13,0.001261,14592,4813
MPivotQuicksort,1007,1,3,True,13,0.000638,12249,5576
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.001590,15199,7120
MPivotQuicksort,1007,1,4,True,13,0.000694,12827,5348
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000678,16031,6757
MPivotQuicksort,1007,1,5,True,13,0.000623,14504,5359
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.000724,16725,6213
MPivotQuicksort,1007,1,6,True,13,0.000775,14579,5907
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.000839,16462,6222
ClassicQuicksort,104,1,1,False,10,0.000113,666,331
ClassicQuicksort,104,1,1,True,17,0.000089,767,447
ClassicQuicksort,104,2,1,False,10,0.000092,740,433
ClassicQuicksort,104,2,1,True,17,0.000463,824,473
ClassicQuicksort,104,3,1,False,10,0.000136,693,405
ClassicQuicksort,104,3,1,True,17,0.000181,724,457
DualPivotQuicksort,104,1,2,False,10,0.000743,737,314
DualPivotQuicksort,104,1,2,True,17,0.000157,784,395
OptimalDualPivotQuicksort,104,1,2,False,10,0.000367,695,314
OptimalDualPivotQuicksort,104,1,2,True,17,0.000183,741,395
DualPivotQuicksort,104,2,2,False,10,0.000549,782,335
DualPivotQuicksort,104,2,2,True,17,0.000167,736,313
OptimalDualPivotQuicksort,104,2,2,False,10,0.000851,750,335
OptimalDualPivotQuicksort,104,2,2,True,17,0.000194,703,313
YaroslavskiyQuicksort,104,1,2,True,17,0.000256,737,389
ThreePivotQuicksort,104,1,3,True,13,0.000578,923,394
MPivotQuicksort,104,1,3,True,13,0.000154,814,395
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.000163,1043,524
MPivotQuicksort,104,1,4,True,13,0.000130,789,441
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000128,994,474
MPivotQuicksort,104,1,5,True,13,0.000155,894,459
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000132,987,456
MPivotQuicksort,104,1,6,True,13,0.000155,875,483
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000311,961,504
ClassicQuicksort,11004838,1,1,False,10,15.514628,320087404,169723842
ClassicQuicksort,11004838,1,1,True,17,14.920446,327927396,178962478
ClassicQuicksort,11004838,2,1,False,10,20.353227,322310689,171195637
ClassicQuicksort,11004838,2,1,True,17,21.503636,330123815,176051695
ClassicQuicksort,11004838,3,1,False,10,17.158356,286533698,153295956
ClassicQuicksort,11004838,3,1,True,17,16.286838,289273641,156605985
DualPivotQuicksort,11004838,1,2,False,10,112.749994,315317057,109929701
DualPivotQuicksort,11004838,1,2,True,17,37.275429,318866516,116753951
OptimalDualPivotQuicksort,11004838,1,2,False,10,95.715269,307677411,109929701
OptimalDualPivotQuicksort,11004838,1,2,True,17,40.579042,311409302,116753951
DualPivotQuicksort,11004838,2,2,False,10,136.153665,294707078,108743275
DualPivotQuicksort,11004838,2,2,True,17,45.054904,291712251,109643912
OptimalDualPivotQuicksort,11004838,2,2,False,10,109.618723,288805909,108743275
OptimalDualPivotQuicksort,11004838,2,2,True,17,46.151954,285752599,109643912
YaroslavskiyQuicksort,11004838,1,2,True,17,13.408794,292783099,108319007
ThreePivotQuicksort,11004838,1,3,True,13,18.988580,407588893,115639051
MPivotQuicksort,11004838,1,3,True,13,17.241603,322173265,122454749
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,32.730006,431981812,172988065
MPivotQuicksort,11004838,1,4,True,13,17.616484,327857959,119037273
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,34.429991,432097414,162547049
MPivotQuicksort,11004838,1,5,True,13,18.896707,358717762,114629327
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,38.848516,446310176,151902419
MPivotQuicksort,11004838,1,6,True,13,20.229940,380208884,112284207
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,40.357411,458338152,144746024
ClassicQuicksort,1146260,1,1,False,10,2.315820,29168253,16487755
ClassicQuicksort,1146260,1,1,True,17,2.370407,29985848,17448663
ClassicQuicksort,1146260,2,1,False,10,2.391434,29327232,16067786
ClassicQuicksort,1146260,2,1,True,17,2.469262,30142455,16573193
ClassicQuicksort,1146260,3,1,False,10,2.191600,26053927,15005674
ClassicQuicksort,1146260,3,1,True,17,1.750667,26344606,15356469
DualPivotQuicksort,1146260,1,2,False,10,18.830712,27275544,10573564
DualPivotQuicksort,1146260,1,2,True,17,6.841073,27644880,11284060
OptimalDualPivotQuicksort,1146260,1,2,False,10,18.586819,26625126,10573564
OptimalDualPivotQuicksort,1146260,1,2,True,17,5.620786,27013087,11284060
DualPivotQuicksort,1146260,2,2,False,10,15.357727,25999339,10375457
DualPivotQuicksort,1146260,2,2,True,17,5.654006,25687324,10468592
OptimalDualPivotQuicksort,1146260,2,2,False,10,12.849716,25596639,10375457
OptimalDualPivotQuicksort,1146260,2,2,True,17,4.461381,25278694,10468592
YaroslavskiyQuicksort,1146260,1,2,True,17,1.415275,26178981,9967392
ThreePivotQuicksort,1146260,1,3,True,13,1.924640,36541388,10131114
MPivotQuicksort,1146260,1,3,True,13,1.848140,28275944,11284656
HeapOptimizedMPivotQuicksort,1146260,1,3,True,13,3.399487,38609872,15410208
MPivotQuicksort,1146260,1,4,True,13,1.904275,29700677,10714825
HeapOptimizedMPivotQuicksort,1146260,1,4,True,13,3.774866,38771102,14553746
MPivotQuicksort,1146260,1,5,True,13,1.625169,32039925,10455851
HeapOptimizedMPivotQuicksort,1146260,1,5,True,13,4.887316,39451662,13606972
MPivotQuicksort,1146260,1,6,True,13,2.101519,34004700,10383905
HeapOptimizedMPivotQuicksort,1146260,1,6,True,13,5.141989,41863832,13272077
ClassicQuicksort,119394,1,1,False,10,0.189437,2390095,1239153
ClassicQuicksort,119394,1,1,True,17,0.170935,2476145,1340672
ClassicQuicksort,119394,2,1,False,10,0.211806,2381123,1269970
ClassicQuicksort,119394,2,1,True,17,0.210773,2467160,1322678
ClassicQuicksort,119394,3,1,False,10,0.193127,2182188,1247645
ClassicQuicksort,119394,3,1,True,17,0.175836,2212058,1283550
DualPivotQuicksort,119394,1,2,False,10,1.772782,2407184,780560
DualPivotQuicksort,119394,1,2,True,17,0.545728,2444615,852506
OptimalDualPivotQuicksort,119394,1,2,False,10,1.996221,2321593,780560
OptimalDualPivotQuicksort,119394,1,2,True,17,0.698420,2361021,852506
DualPivotQuicksort,119394,2,2,False,10,1.631738,2285879,897958
DualPivotQuicksort,119394,2,2,True,17,0.519092,2253903,907731
OptimalDualPivotQuicksort,119394,2,2,False,10,1.405645,2250845,897958
OptimalDualPivotQuicksort,119394,2,2,True,17,0.405421,2218270,907731
YaroslavskiyQuicksort,119394,1,2,True,17,0.122786,2256034,885029
ThreePivotQuicksort,119394,1,3,True,13,0.166338,3129473,958347
MPivotQuicksort,119394,1,3,True,13,0.154310,2530434,1014028
HeapOptimizedMPivotQuicksort,119394,1,3,True,13,0.269629,3339317,1347735
MPivotQuicksort,119394,1,4,True,13,0.150627,2607933,960586
HeapOptimizedMPivotQuicksort,119394,1,4,True,13,0.288763,3273480,1253043
MPivotQuicksort,119394,1,5,True,13,0.231892,2761294,934992
HeapOptimizedMPivotQuicksort,119394,1,5,True,13,0.351405,3512992,1214174
MPivotQuicksort,119394,1,6,True,13,0.172212,2995135,951128
HeapOptimizedMPivotQuicksort,119394,1,6,True,13,0.330800,3540754,1159395
ClassicQuicksort,12436,1,1,False,10,0.007215,201276,100017
ClassicQuicksort,12436,1,1,True,17,0.020092,209787,109905
ClassicQuicksort,12436,2,1,False,10,0.014458,191932,103463
ClassicQuicksort,12436,2,1,True,17,0.014093,200808,108824
ClassicQuicksort,12436,3,1,False,10,0.007768,190046,103131
ClassicQuicksort,12436,3,1,True,17,0.011240,193331,107112
DualPivotQuicksort,12436,1,2,False,10,0.158978,194136,71276
DualPivotQuicksort,12436,1,2,True,17,0.043766,198752,79632
OptimalDualPivotQuicksort,12436,1,2,False,10,0.146887,190876,71276
OptimalDualPivotQuicksort,12436,1,2,True,17,0.055305,195701,79632
DualPivotQuicksort,12436,2,2,False,10,0.184506,187605,78028
DualPivotQuicksort,12436,2,2,True,17,0.051936,184568,79486
OptimalDualPivotQuicksort,12436,2,2,False,10,0.150592,183944,78028
OptimalDualPivotQuicksort,12436,2,2,True,17,0.035720,180835,79486
YaroslavskiyQuicksort,12436,1,2,True,17,0.008005,194482,75119
ThreePivotQuicksort,12436,1,3,True,13,0.013587,249563,75558
MPivotQuicksort,12436,1,3,True,13,0.011046,218910,88868
