Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000075,30,27
ClassicQuicksort,10,1,1,True,17,0.000052,29,23
ClassicQuicksort,10,2,1,False,10,0.000068,24,26
ClassicQuicksort,10,2,1,True,17,0.000061,29,23
ClassicQuicksort,10,3,1,False,10,0.000129,30,24
ClassicQuicksort,10,3,1,True,17,0.000036,29,23
DualPivotQuicksort,10,1,2,False,10,0.000075,28,21
DualPivotQuicksort,10,1,2,True,17,0.000035,29,23
OptimalDualPivotQuicksort,10,1,2,False,10,0.000134,28,21
OptimalDualPivotQuicksort,10,1,2,True,17,0.000043,29,23
DualPivotQuicksort,10,2,2,False,10,0.000056,30,20
DualPivotQuicksort,10,2,2,True,17,0.000126,29,23
OptimalDualPivotQuicksort,10,2,2,False,10,0.000084,30,20
OptimalDualPivotQuicksort,10,2,2,True,17,0.000031,29,23
YaroslavskiyQuicksort,10,1,2,True,17,0.000048,29,23
ThreePivotQuicksort,10,1,3,True,13,0.000050,29,23
MPivotQuicksort,10,1,3,True,13,0.000035,29,23
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000033,29,23
MPivotQuicksort,10,1,4,True,13,0.000032,29,23
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000036,29,23
MPivotQuicksort,10,1,5,True,13,0.000030,29,23
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000036,29,23
MPivotQuicksort,10,1,6,True,13,0.000035,29,23
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000026,29,23
ClassicQuicksort,1007,1,1,False,10,0.000433,11098,5865
ClassicQuicksort,1007,1,1,True,17,0.000409,11751,6633
ClassicQuicksort,1007,2,1,False,10,0.000553,10946,6358
ClassicQuicksort,1007,2,1,True,17,0.000457,11543,6660
ClassicQuicksort,1007,3,1,False,10,0.004008,10678,6128
ClassicQuicksort,1007,3,1,True,17,0.000389,11000,6526
DualPivotQuicksort,1007,1,2,False,10,0.000799,11248,4884
DualPivotQuicksort,1007,1,2,True,17,0.000411,11532,5490
OptimalDualPivotQuicksort,1007,1,2,False,10,0.000690,11037,4884
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000517,11332,5490
DualPivotQuicksort,1007,2,2,False,10,0.000869,11062,4956
DualPivotQuicksort,1007,2,2,True,17,0.000467,10769,4956
OptimalDualPivotQuicksort,1007,2,2,False,10,0.001040,10933,4956
OptimalDualPivotQuicksort,1007,2,2,True,17,0.000711,10636,4956
YaroslavskiyQuicksort,1007,1,2,True,17,0.005374,10693,5132
ThreePivotQuicksort,1007,1,3,True,13,0.001695,14869,5354
MPivotQuicksort,1007,1,3,True,13,0.000818,12097,5744
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000872,15264,7315
MPivotQuicksort,1007,1,4,True,13,0.000796,12873,5155
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000943,15763,6577
MPivotQuicksort,1007,1,5,True,13,0.000760,13502,5535
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.001199,17390,6420
MPivotQuicksort,1007,1,6,True,13,0.000797,14017,5789
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.000938,16571,6631
ClassicQuicksort,104,1,1,False,10,0.000089,703,346
ClassicQuicksort,104,1,1,True,17,0.000064,794,444
ClassicQuicksort,104,2,1,False,10,0.000189,668,451
ClassicQuicksort,104,2,1,True,17,0.000092,765,522
ClassicQuicksort,104,3,1,False,10,0.000246,689,437
ClassicQuicksort,104,3,1,True,17,0.000104,713,460
DualPivotQuicksort,104,1,2,False,10,0.000134,720,314
DualPivotQuicksort,104,1,2,True,17,0.000105,777,402
OptimalDualPivotQuicksort,104,1,2,False,10,0.000129,704,314
OptimalDualPivotQuicksort,104,1,2,True,17,0.000126,763,402
DualPivotQuicksort,104,2,2,False,10,0.000185,728,425
DualPivotQuicksort,104,2,2,True,17,0.000100,679,398
OptimalDualPivotQuicksort,104,2,2,False,10,0.000172,726,425
OptimalDualPivotQuicksort,104,2,2,True,17,0.000422,675,398
YaroslavskiyQuicksort,104,1,2,True,17,0.000251,702,374
ThreePivotQuicksort,104,1,3,True,13,0.000603,917,444
MPivotQuicksort,104,1,3,True,13,0.000135,751,406
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.000127,964,471
MPivotQuicksort,104,1,4,True,13,0.000137,884,425
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000175,1039,494
MPivotQuicksort,104,1,5,True,13,0.000166,900,444
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000170,1039,464
MPivotQuicksort,104,1,6,True,13,0.000174,970,494
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000149,1111,520
ClassicQuicksort,11004838,1,1,False,10,56.783620,336100394,183123842
ClassicQuicksort,11004838,1,1,True,17,52.587773,343953097,192372611
ClassicQuicksort,11004838,2,1,False,10,40.773302,332814278,188163387
ClassicQuicksort,11004838,2,1,True,17,38.477620,340642300,193039108
ClassicQuicksort,11004838,3,1,False,10,76.643607,305754182,167432400
ClassicQuicksort,11004838,3,1,True,17,46.971821,308499914,170742060
DualPivotQuicksort,11004838,1,2,False,10,27.071030,341198581,113728369
DualPivotQuicksort,11004838,1,2,True,17,22.856374,344764600,120572788
OptimalDualPivotQuicksort,11004838,1,2,False,10,28.163525,334470745,113728369
OptimalDualPivotQuicksort,11004838,1,2,True,17,26.945420,338217978,120572788
DualPivotQuicksort,11004838,2,2,False,10,23.869199,295477159,109956778
DualPivotQuicksort,11004838,2,2,True,17,21.060880,292474391,110843381
OptimalDualPivotQuicksort,11004838,2,2,False,10,27.578377,287206614,109956778
OptimalDualPivotQuicksort,11004838,2,2,True,17,26.305140,284146146,110843381
YaroslavskiyQuicksort,11004838,1,2,True,17,43.245947,292082024,110575141
ThreePivotQuicksort,11004838,1,3,True,13,26.746409,417755739,121440000
MPivotQuicksort,11004838,1,3,True,13,30.685265,327116237,119214073
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,45.654338,439211556,176029204
MPivotQuicksort,11004838,1,4,True,13,29.319211,339581744,116525530
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,46.993371,433129914,161929709
MPivotQuicksort,11004838,1,5,True,13,31.615643,368251383,111557260
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,36.493751,461743971,148377295
MPivotQuicksort,11004838,1,6,True,13,26.290020,386343672,111797299
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,32.181717,467744935,143269895
ClassicQuicksort,1146260,1,1,False,10,5.356962,27986828,15367293
ClassicQuicksort,1146260,1,1,True,17,6.642194,28802616,16326573
ClassicQuicksort,1146260,2,1,False,10,3.659891,28465688,15115964
ClassicQuicksort,1146260,2,1,True,17,3.702331,29284248,15627544
ClassicQuicksort,1146260,3,1,False,10,3.324273,25665486,14109496
ClassicQuicksort,1146260,3,1,True,17,4.331125,25949937,14455034
DualPivotQuicksort,1146260,1,2,False,10,2.706836,27666313,9525793
DualPivotQuicksort,1146260,1,2,True,17,2.205118,28036198,10236496
OptimalDualPivotQuicksort,1146260,1,2,False,10,2.982143,26868787,9525793
OptimalDualPivotQuicksort,1146260,1,2,True,17,2.048726,27257787,10236496
DualPivotQuicksort,1146260,2,2,False,10,2.617445,26058068,9956389
DualPivotQuicksort,1146260,2,2,True,17,2.381664,25747546,10050399
OptimalDualPivotQuicksort,1146260,2,2,False,10,2.638032,25533108,9956389
OptimalDualPivotQuicksort,1146260,2,2,True,17,1.897828,25216375,10050399
YaroslavskiyQuicksort,1146260,1,2,True,17,3.253668,25890843,10324231
ThreePivotQuicksort,1146260,1,3,True,13,2.125064,35909124,10603237
MPivotQuicksort,1146260,1,3,True,13,2.305886,28021395,11146698
HeapOptimizedMPivotQuicksort,1146260,1,3,True,13,4.072039,37981151,16124321
MPivotQuicksort,1146260,1,4,True,13,3.042251,30878215,11033272
HeapOptimizedMPivotQuicksort,1146260,1,4,True,13,4.251975,38146477,14509307
MPivotQuicksort,1146260,1,5,True,13,3.462141,32485331,10396996
HeapOptimizedMPivotQuicksort,1146260,1,5,True,13,3.869333,39799452,13555730
MPivotQuicksort,1146260,1,6,True,13,2.910755,33330383,10655411
HeapOptimizedMPivotQuicksort,1146260,1,6,True,13,3.916354,40121550,13345397
ClassicQuicksort,119394,1,1,False,10,0.345790,2412467,1309420
ClassicQuicksort,119394,1,1,True,17,0.356369,2497625,1409261
ClassicQuicksort,119394,2,1,False,10,0.198071,2475041,1331010
ClassicQuicksort,119394,2,1,True,17,0.195532,2557592,1381294
ClassicQuicksort,119394,3,1,False,10,0.406569,2216648,1282094
ClassicQuicksort,119394,3,1,True,17,0.314404,2245835,1316855
DualPivotQuicksort,119394,1,2,False,10,0.264990,2437558,835738
DualPivotQuicksort,119394,1,2,True,17,0.205949,2476164,908810
OptimalDualPivotQuicksort,119394,1,2,False,10,0.260869,2375020,835738
OptimalDualPivotQuicksort,119394,1,2,True,17,0.256404,2415540,908810
DualPivotQuicksort,119394,2,2,False,10,0.215902,2231207,914386
DualPivotQuicksort,119394,2,2,True,17,0.177433,2198033,923738
OptimalDualPivotQuicksort,119394,2,2,False,10,0.264418,2193517,914386
OptimalDualPivotQuicksort,119394,2,2,True,17,0.265159,2159662,923738
YaroslavskiyQuicksort,119394,1,2,True,17,0.408376,2273718,870581
ThreePivotQuicksort,119394,1,3,True,13,0.208616,3064692,894258
MPivotQuicksort,119394,1,3,True,13,0.263634,2492616,976147
HeapOptimizedMPivotQuicksort,119394,1,3,True,13,0.420276,3334643,1369156
MPivotQuicksort,119394,1,4,True,13,0.329080,2648513,983114
HeapOptimizedMPivotQuicksort,119394,1,4,True,13,0.370946,3352458,1308078
MPivotQuicksort,119394,1,5,True,13,0.253122,2706598,955700
HeapOptimizedMPivotQuicksort,119394,1,5,True,13,0.370441,3399839,1210552
MPivotQuicksort,119394,1,6,True,13,0.263313,2985193,951510
HeapOptimizedMPivotQuicksort,119394,1,6,True,13,0.410883,3458663,1183632
ClassicQuicksort,12436,1,1,False,10,0.013217,204640,107973
ClassicQuicksort,12436,1,1,True,17,0.021883,213343,118319
ClassicQuicksort,12436,2,1,False,10,0.014431,192035,107591
ClassicQuicksort,12436,2,1,True,17,0.014307,201062,113392
ClassicQuicksort,12436,3,1,False,10,0.014173,186999,102869
ClassicQuicksort,12436,3,1,True,17,0.010315,190001,106788
DualPivotQuicksort,12436,1,2,False,10,0.010135,197875,67690
DualPivotQuicksort,12436,1,2,True,17,0.007502,202166,76170
OptimalDualPivotQuicksort,12436,1,2,False,10,0.014269,192905,67690
OptimalDualPivotQuicksort,12436,1,2,True,17,0.007506,197407,76170
DualPivotQuicksort,12436,2,2,False,10,0.010359,189887,76116
DualPivotQuicksort,12436,2,2,True,17,0.009458,186519,77163
OptimalDualPivotQuicksort,12436,2,2,False,10,0.014804,186825,76116
OptimalDualPivotQuicksort,12436,2,2,True,17,0.007681,183352,77163
YaroslavskiyQuicksort,12436,1,2,True,17,0.032114,190555,76820
ThreePivotQuicksort,12436,1,3,True,13,0.016780,255444,81286
MPivotQuicksort,12436,1,3,True,13,0.013667,213061,84501
HeapOptimizedMPivotQuicksort,12436,1,3,True,13,0.019062,279590,116359
MPivotQuicksort,12436,1,4,True,13,0.015417,212829,85052
HeapOptimizedMPivotQuicksort,12436,1,4,True,13,0.021306,267035,109437
MPivotQuicksort,12436,1,5,True,13,0.021790,231203,84064
HeapOptimizedMPivotQuicksort,12436,1,5,True,13,0.012033,279028,103950
MPivotQuicksort,12436,1,6,True,13,0.015671,267730,84096
HeapOptimizedMPivotQuicksort,12436,1,6,True,13,0.021211,294289,102443
ClassicQuicksort,1295,1,1,False,10,0.000705,15598,8054
ClassicQuicksort,1295,1,1,True,17,0.000498,16452,9106
ClassicQuicksort,1295,2,1,False,10,0.000727,16366,7541
ClassicQuicksort,1295,2,1,True,17,0.000657,17288,8173
ClassicQuicksort,1295,3,1,False,10,0.000682,14927,7462
ClassicQuicksort,1295,3,1,True,17,0.000577,15424,8009
DualPivotQuicksort,1295,1,2,False,10,0.000935,15573,6057
DualPivotQuicksort,1295,1,2,True,17,0.000567,15923,6825
OptimalDualPivotQuicksort,1295,1,2,False,10,0.001041,15097,6057
OptimalDualPivotQuicksort,1295,1,2,True,17,0.000751,15465,6825
DualPivotQuicksort,1295,2,2,False,10,0.000939,14903,6396
DualPivotQuicksort,1295,2,2,True,17,0.000568,14532,6475
OptimalDualPivotQuicksort,1295,2,2,False,10,0.001195,14486,6396
OptimalDualPivotQuicksort,1295,2,2,True,17,0.000759,14113,6475
YaroslavskiyQuicksort,1295,1,2,True,17,0.001374,14639,7379
ThreePivotQuicksort,1295,1,3,True,13,0.001827,19131,6865
MPivotQuicksort,1295,1,3,True,13,0.000781,15921,7069
HeapOptimizedMPivotQuicksort,1295,1,3,True,13,0.001100,20954,8985
MPivotQuicksort,1295,1,4,True,13,0.000955,17855,7058
HeapOptimizedMPivotQuicksort,1295,1,4,True,13,0.001023,20385,8592
MPivotQuicksort,1295,1,5,True,13,0.000915,16861,7390
HeapOptimizedMPivotQuicksort,1295,1,5,True,13,0.001206,20762,8835
MPivotQuicksort,1295,1,6,True,13,0.001029,18968,7638
HeapOptimizedMPivotQuicksort,1295,1,6,True,13,0.001307,21625,8404
ClassicQuicksort,134,1,1,False,10,0.000209,924,540
ClassicQuicksort,134,1,1,True,17,0.000088,1120,742
ClassicQuicksort,134,2,1,False,10,0.000113,1071,645
ClassicQuicksort,134,2,1,True,17,0.000084,1146,700
ClassicQuicksort,134,3,1,False,10,0.000118,929,524
ClassicQuicksort,134,3,1,True,17,0.000117,954,563
DualPivotQuicksort,134,1,2,False,10,0.000153,1118,372
DualPivotQuicksort,134,1,2,True,17,0.000111,1177,484
OptimalDualPivotQuicksort,134,1,2,False,10,0.000188,1103,372
OptimalDualPivotQuicksort,134,1,2,True,17,0.000137,1164,484
DualPivotQuicksort,134,2,2,False,10,0.000163,1061,509
DualPivotQuicksort,134,2,2,True,17,0.000103,972,448
OptimalDualPivotQuicksort,134,2,2,False,10,0.000300,1060,509
OptimalDualPivotQuicksort,134,2,2,True,17,0.000162,971,448
YaroslavskiyQuicksort,134,1,2,True,17,0.000234,996,522
ThreePivotQuicksort,134,1,3,True,13,0.000407,1287,484
MPivotQuicksort,134,1,3,True,13,0.000165,1025,617
HeapOptimizedMPivotQuicksort,134,1,3,True,13,0.000158,1440,709
MPivotQuicksort,134,1,4,True,13,0.000119,1082,534
HeapOptimizedMPivotQuicksort,134,1,4,True,13,0.000163,1381,622
MPivotQuicksort,134,1,5,True,13,0.000136,1230,573
HeapOptimizedMPivotQuicksort,134,1,5,True,13,0.000166,1452,621
MPivotQuicksort,134,1,6,True,13,0.000165,1202,640
