Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000076,24,14
ClassicQuicksort,10,1,1,True,17,0.000037,26,18
ClassicQuicksort,10,2,1,False,10,0.000045,20,18
ClassicQuicksort,10,2,1,True,17,0.000034,26,18
ClassicQuicksort,10,3,1,False,10,0.000060,28,21
ClassicQuicksort,10,3,1,True,17,0.000032,26,18
DualPivotQuicksort,10,1,2,False,10,0.000060,24,11
DualPivotQuicksort,10,1,2,True,17,0.000044,26,18
OptimalDualPivotQuicksort,10,1,2,False,10,0.000078,24,11
OptimalDualPivotQuicksort,10,1,2,True,17,0.000032,26,18
DualPivotQuicksort,10,2,2,False,10,0.000284,31,23
DualPivotQuicksort,10,2,2,True,17,0.000035,26,18
OptimalDualPivotQuicksort,10,2,2,False,10,0.000083,31,23
OptimalDualPivotQuicksort,10,2,2,True,17,0.000038,26,18
YaroslavskiyQuicksort,10,1,2,True,17,0.000034,26,18
ThreePivotQuicksort,10,1,3,True,13,0.000088,26,18
MPivotQuicksort,10,1,3,True,13,0.000029,26,18
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000029,26,18
MPivotQuicksort,10,1,4,True,13,0.000028,26,18
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000031,26,18
MPivotQuicksort,10,1,5,True,13,0.000031,26,18
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000030,26,18
MPivotQuicksort,10,1,6,True,13,0.000027,26,18
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000029,26,18
ClassicQuicksort,1007,1,1,False,10,0.000456,12453,7405
ClassicQuicksort,1007,1,1,True,17,0.000338,13193,8218
ClassicQuicksort,1007,2,1,False,10,0.000540,10502,6981
ClassicQuicksort,1007,2,1,True,17,0.000497,11245,7418
ClassicQuicksort,1007,3,1,False,10,0.000470,10643,6550
ClassicQuicksort,1007,3,1,True,17,0.000459,10894,6844
DualPivotQuicksort,1007,1,2,False,10,0.000564,10509,4632
DualPivotQuicksort,1007,1,2,True,17,0.000399,10893,5336
OptimalDualPivotQuicksort,1007,1,2,False,10,0.000692,10319,4632
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000483,10716,5336
DualPivotQuicksort,1007,2,2,False,10,0.000650,10937,4794
DualPivotQuicksort,1007,2,2,True,17,0.000424,10670,4839
OptimalDualPivotQuicksort,1007,2,2,False,10,0.000753,10866,4794
OptimalDualPivotQuicksort,1007,2,2,True,17,0.000661,10587,4839
YaroslavskiyQuicksort,1007,1,2,True,17,0.000696,10734,4959
ThreePivotQuicksort,1007,1,3,True,13,0.002866,14007,5154
MPivotQuicksort,1007,1,3,True,13,0.000776,12672,4917
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000858,16486,7032
MPivotQuicksort,1007,1,4,True,13,0.000955,13083,5422
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000831,15633,6311
MPivotQuicksort,1007,1,5,True,13,0.000804,13071,5676
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.004862,15699,6231
MPivotQuicksort,1007,1,6,True,13,0.000647,14055,5659
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.000775,16462,6621
ClassicQuicksort,104,1,1,False,10,0.000144,709,389
ClassicQuicksort,104,1,1,True,17,0.000182,794,477
ClassicQuicksort,104,2,1,False,10,0.000104,628,356
ClassicQuicksort,104,2,1,True,17,0.000070,675,386
ClassicQuicksort,104,3,1,False,10,0.000103,683,384
ClassicQuicksort,104,3,1,True,17,0.000104,691,398
DualPivotQuicksort,104,1,2,False,10,0.000135,696,297
DualPivotQuicksort,104,1,2,True,17,0.000082,698,337
OptimalDualPivotQuicksort,104,1,2,False,10,0.000140,673,297
OptimalDualPivotQuicksort,104,1,2,True,17,0.000118,676,337
DualPivotQuicksort,104,2,2,False,10,0.000153,737,363
DualPivotQuicksort,104,2,2,True,17,0.000087,728,416
OptimalDualPivotQuicksort,104,2,2,False,10,0.000137,738,363
OptimalDualPivotQuicksort,104,2,2,True,17,0.000076,729,416
YaroslavskiyQuicksort,104,1,2,True,17,0.000247,784,463
ThreePivotQuicksort,104,1,3,True,13,0.000457,931,370
MPivotQuicksort,104,1,3,True,13,0.000190,806,402
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.000204,906,466
MPivotQuicksort,104,1,4,True,13,0.000173,851,465
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000147,1008,472
MPivotQuicksort,104,1,5,True,13,0.000182,894,421
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000160,986,450
MPivotQuicksort,104,1,6,True,13,0.000139,988,488
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000120,1085,508
ClassicQuicksort,11004838,1,1,False,10,33.623340,316013029,160866838
ClassicQuicksort,11004838,1,1,True,17,28.143884,323855435,170107281
ClassicQuicksort,11004838,2,1,False,10,38.892366,320592420,170609595
ClassicQuicksort,11004838,2,1,True,17,36.080870,328433398,175495507
ClassicQuicksort,11004838,3,1,False,10,33.991058,286938572,154021478
ClassicQuicksort,11004838,3,1,True,17,28.833389,289678771,157332170
DualPivotQuicksort,11004838,1,2,False,10,25.175011,310842984,110831606
DualPivotQuicksort,11004838,1,2,True,17,24.665992,314415031,117677315
OptimalDualPivotQuicksort,11004838,1,2,False,10,23.920532,301948670,110831606
OptimalDualPivotQuicksort,11004838,1,2,True,17,21.680891,305704295,117677315
DualPivotQuicksort,11004838,2,2,False,10,24.346634,294926798,110872936
DualPivotQuicksort,11004838,2,2,True,17,21.515289,291929653,111778622
OptimalDualPivotQuicksort,11004838,2,2,False,10,22.377210,289185811,110872936
OptimalDualPivotQuicksort,11004838,2,2,True,17,20.468605,286131248,111778622
YaroslavskiyQuicksort,11004838,1,2,True,17,16.814904,290065717,110985556
ThreePivotQuicksort,11004838,1,3,True,13,21.973576,407809158,114332981
MPivotQuicksort,11004838,1,3,True,13,30.492833,314236662,121906567
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,47.688871,439762852,179533663
MPivotQuicksort,11004838,1,4,True,13,27.469719,339984941,117085347
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,46.418394,446106747,162399125
MPivotQuicksort,11004838,1,5,True,13,25.385949,356346820,115614854
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,40.971586,446577374,151120524
MPivotQuicksort,11004838,1,6,True,13,27.187749,387266378,113523808
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,40.657020,473623642,143405376
ClassicQuicksort,1146260,1,1,False,10,3.392470,28189281,14834595
ClassicQuicksort,1146260,1,1,True,17,3.585036,29005247,15796603
ClassicQuicksort,1146260,2,1,False,10,4.465718,28834886,15753014
ClassicQuicksort,1146260,2,1,True,17,3.795260,29649525,16259771
ClassicQuicksort,1146260,3,1,False,10,3.209571,25515556,13954698
ClassicQuicksort,1146260,3,1,True,17,2.445542,25799895,14297385
DualPivotQuicksort,1146260,1,2,False,10,2.771008,27435233,9989126
DualPivotQuicksort,1146260,1,2,True,17,2.696132,27808536,10700758
OptimalDualPivotQuicksort,1146260,1,2,False,10,2.797909,26798713,9989126
OptimalDualPivotQuicksort,1146260,1,2,True,17,2.540925,27190621,10700758
DualPivotQuicksort,1146260,2,2,False,10,2.539987,26406024,10160595
DualPivotQuicksort,1146260,2,2,True,17,2.176639,26088816,10247096
OptimalDualPivotQuicksort,1146260,2,2,False,10,2.797374,25923648,10160595
OptimalDualPivotQuicksort,1146260,2,2,True,17,2.697140,25600413,10247096
YaroslavskiyQuicksort,1146260,1,2,True,17,1.983176,26195030,10455595
ThreePivotQuicksort,1146260,1,3,True,13,2.353350,36409768,10827917
MPivotQuicksort,1146260,1,3,True,13,2.502879,28588786,10933356
HeapOptimizedMPivotQuicksort,1146260,1,3,True,13,4.028724,38614499,15495913
MPivotQuicksort,1146260,1,4,True,13,2.577603,30482729,10613462
HeapOptimizedMPivotQuicksort,1146260,1,4,True,13,4.344642,38441717,14495713
MPivotQuicksort,1146260,1,5,True,13,2.818047,32568199,10706494
HeapOptimizedMPivotQuicksort,1146260,1,5,True,13,4.547383,40152273,13598347
MPivotQuicksort,1146260,1,6,True,13,2.358769,33363085,10621587
HeapOptimizedMPivotQuicksort,1146260,1,6,True,13,4.306993,41086187,13286216
ClassicQuicksort,119394,1,1,False,10,0.273294,2417675,1328851
ClassicQuicksort,119394,1,1,True,17,0.271040,2503658,1429702
ClassicQuicksort,119394,2,1,False,10,0.292302,2454147,1332355
ClassicQuicksort,119394,2,1,True,17,0.258395,2539726,1386608
ClassicQuicksort,119394,3,1,False,10,0.258089,2195652,1157823
ClassicQuicksort,119394,3,1,True,17,0.253708,2225633,1194020
DualPivotQuicksort,119394,1,2,False,10,0.312827,2339770,818758
DualPivotQuicksort,119394,1,2,True,17,0.218923,2377859,892336
OptimalDualPivotQuicksort,119394,1,2,False,10,0.231888,2263025,818758
OptimalDualPivotQuicksort,119394,1,2,True,17,0.202980,2303054,892336
DualPivotQuicksort,119394,2,2,False,10,0.266573,2261147,929601
DualPivotQuicksort,119394,2,2,True,17,0.235354,2228750,939228
OptimalDualPivotQuicksort,119394,2,2,False,10,0.256666,2226227,929601
OptimalDualPivotQuicksort,119394,2,2,True,17,0.195151,2193259,939228
YaroslavskiyQuicksort,119394,1,2,True,17,0.186130,2278294,879510
ThreePivotQuicksort,119394,1,3,True,13,0.228432,3087699,917380
MPivotQuicksort,119394,1,3,True,13,0.302072,2405532,1015039
HeapOptimizedMPivotQuicksort,119394,1,3,True,13,0.451020,3265114,1354929
MPivotQuicksort,119394,1,4,True,13,0.292147,2647394,973993
HeapOptimizedMPivotQuicksort,119394,1,4,True,13,0.519879,3320043,1258186
MPivotQuicksort,119394,1,5,True,13,0.308230,2738886,994769
HeapOptimizedMPivotQuicksort,119394,1,5,True,13,0.463333,3443455,1226967
MPivotQuicksort,119394,1,6,True,13,0.262877,2856864,982790
