Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000156,24,17
ClassicQuicksort,10,1,1,True,17,0.000063,22,14
ClassicQuicksort,10,2,1,False,10,0.000066,27,34
ClassicQuicksort,10,2,1,True,17,0.000036,22,14
ClassicQuicksort,10,3,1,False,10,0.000099,31,24
ClassicQuicksort,10,3,1,True,17,0.000032,22,14
DualPivotQuicksort,10,1,2,False,10,0.000067,27,12
DualPivotQuicksort,10,1,2,True,17,0.000036,22,14
OptimalDualPivotQuicksort,10,1,2,False,10,0.000059,27,12
OptimalDualPivotQuicksort,10,1,2,True,17,0.000038,22,14
DualPivotQuicksort,10,2,2,False,10,0.000096,29,19
DualPivotQuicksort,10,2,2,True,17,0.000062,22,14
OptimalDualPivotQuicksort,10,2,2,False,10,0.000072,29,19
OptimalDualPivotQuicksort,10,2,2,True,17,0.000034,22,14
YaroslavskiyQuicksort,10,1,2,True,17,0.000034,22,14
ThreePivotQuicksort,10,1,3,True,13,0.000139,22,14
MPivotQuicksort,10,1,3,True,13,0.000035,22,14
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000027,22,14
MPivotQuicksort,10,1,4,True,13,0.000029,22,14
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000026,22,14
MPivotQuicksort,10,1,5,True,13,0.000026,22,14
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000028,22,14
MPivotQuicksort,10,1,6,True,13,0.000030,22,14
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000076,22,14
ClassicQuicksort,1007,1,1,False,10,0.000390,11284,6262
ClassicQuicksort,1007,1,1,True,17,0.003588,12219,7259
ClassicQuicksort,1007,2,1,False,10,0.003303,11265,6879
ClassicQuicksort,1007,2,1,True,17,0.000492,12044,7431
ClassicQuicksort,1007,3,1,False,10,0.000539,10176,5962
ClassicQuicksort,1007,3,1,True,17,0.000455,10532,6405
DualPivotQuicksort,1007,1,2,False,10,0.000708,10489,4300
DualPivotQuicksort,1007,1,2,True,17,0.004466,10880,4952
OptimalDualPivotQuicksort,1007,1,2,False,10,0.000646,10216,4300
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000452,10630,4952
DualPivotQuicksort,1007,2,2,False,10,0.000605,11122,4753
DualPivotQuicksort,1007,2,2,True,17,0.000474,10908,4879
OptimalDualPivotQuicksort,1007,2,2,False,10,0.000800,10833,4753
OptimalDualPivotQuicksort,1007,2,2,True,17,0.000507,10610,4879
YaroslavskiyQuicksort,1007,1,2,True,17,0.000624,11244,4991
ThreePivotQuicksort,1007,1,3,True,13,0.001118,14030,5026
MPivotQuicksort,1007,1,3,True,13,0.000542,12462,5566
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000700,15711,7105
MPivotQuicksort,1007,1,4,True,13,0.000630,13045,5391
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000745,15871,6448
MPivotQuicksort,1007,1,5,True,13,0.000677,13562,5235
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.000726,15791,6523
MPivotQuicksort,1007,1,6,True,13,0.000612,14162,5858
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.000680,16788,6435
ClassicQuicksort,104,1,1,False,10,0.000070,613,326
ClassicQuicksort,104,1,1,True,17,0.000102,693,404
ClassicQuicksort,104,2,1,False,10,0.000086,686,408
ClassicQuicksort,104,2,1,True,17,0.000076,745,431
ClassicQuicksort,104,3,1,False,10,0.000207,692,407
ClassicQuicksort,104,3,1,True,17,0.000127,776,514
DualPivotQuicksort,104,1,2,False,10,0.000107,717,309
DualPivotQuicksort,104,1,2,True,17,0.000124,774,385
OptimalDualPivotQuicksort,104,1,2,False,10,0.000139,696,309
OptimalDualPivotQuicksort,104,1,2,True,17,0.000199,754,385
DualPivotQuicksort,104,2,2,False,10,0.000163,781,361
DualPivotQuicksort,104,2,2,True,17,0.000108,747,367
OptimalDualPivotQuicksort,104,2,2,False,10,0.000158,754,361
OptimalDualPivotQuicksort,104,2,2,True,17,0.000111,719,367
YaroslavskiyQuicksort,104,1,2,True,17,0.000134,719,451
ThreePivotQuicksort,104,1,3,True,13,0.000487,879,357
MPivotQuicksort,104,1,3,True,13,0.000134,771,398
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.000125,953,464
MPivotQuicksort,104,1,4,True,13,0.000174,744,384
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000147,926,456
MPivotQuicksort,104,1,5,True,13,0.000390,883,416
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000125,1040,431
MPivotQuicksort,104,1,6,True,13,0.000113,973,482
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000144,1087,518
ClassicQuicksort,11004838,1,1,False,10,37.217534,332050036,168756146
ClassicQuicksort,11004838,1,1,True,17,31.883317,339898027,177994074
ClassicQuicksort,11004838,2,1,False,10,38.840990,324911294,168101717
ClassicQuicksort,11004838,2,1,True,17,40.888212,332733134,172964568
ClassicQuicksort,11004838,3,1,False,10,26.179690,288890203,157203489
ClassicQuicksort,11004838,3,1,True,17,24.381237,291645203,160528818
DualPivotQuicksort,11004838,1,2,False,10,26.509908,315886582,105601711
DualPivotQuicksort,11004838,1,2,True,17,24.993404,319450648,112451844
OptimalDualPivotQuicksort,11004838,1,2,False,10,25.523620,306687110,105601711
OptimalDualPivotQuicksort,11004838,1,2,True,17,21.010219,310433448,112451844
DualPivotQuicksort,11004838,2,2,False,10,22.064638,295140008,108406271
DualPivotQuicksort,11004838,2,2,True,17,20.598400,292132377,109282090
OptimalDualPivotQuicksort,11004838,2,2,False,10,22.496256,289613606,108406271
OptimalDualPivotQuicksort,11004838,2,2,True,17,22.618005,286547619,109282090
YaroslavskiyQuicksort,11004838,1,2,True,17,18.293073,291868774,111811409
ThreePivotQuicksort,11004838,1,3,True,13,22.974979,404198050,118430584
MPivotQuicksort,11004838,1,3,True,13,27.703793,316997933,125539232
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,49.990116,434852034,174301160
MPivotQuicksort,11004838,1,4,True,13,28.855273,349282025,118385054
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,41.413514,433325650,158975731
MPivotQuicksort,11004838,1,5,True,13,25.361211,366493366,112312682
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,39.138413,445037724,150164404
MPivotQuicksort,11004838,1,6,True,13,25.654369,387283668,111727159
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,41.444658,464040986,148414471
ClassicQuicksort,1146260,1,1,False,10,3.329751,28703988,14827590
ClassicQuicksort,1146260,1,1,True,17,3.653603,29523398,15789867
ClassicQuicksort,1146260,2,1,False,10,4.246499,28818536,14992278
ClassicQuicksort,1146260,2,1,True,17,3.731938,29629548,15494018
ClassicQuicksort,1146260,3,1,False,10,3.184145,25977238,13880197
ClassicQuicksort,1146260,3,1,True,17,2.363866,26265279,14228418
DualPivotQuicksort,1146260,1,2,False,10,2.622180,27647598,9684181
DualPivotQuicksort,1146260,1,2,True,17,2.820835,28016113,10393397
OptimalDualPivotQuicksort,1146260,1,2,False,10,2.693971,26779571,9684181
