Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000207,23,22
ClassicQuicksort,10,1,1,True,17,0.000081,29,22
ClassicQuicksort,10,2,1,False,10,0.000213,24,18
ClassicQuicksort,10,2,1,True,17,0.000087,29,22
ClassicQuicksort,10,3,1,False,10,0.000249,31,25
ClassicQuicksort,10,3,1,True,17,0.000085,29,22
DualPivotQuicksort,10,1,2,False,10,0.000223,26,23
DualPivotQuicksort,10,1,2,True,17,0.000075,29,22
OptimalDualPivotQuicksort,10,1,2,False,10,0.000235,26,23
OptimalDualPivotQuicksort,10,1,2,True,17,0.000094,29,22
DualPivotQuicksort,10,2,2,False,10,0.000184,31,23
DualPivotQuicksort,10,2,2,True,17,0.000061,29,22
OptimalDualPivotQuicksort,10,2,2,False,10,0.000174,32,23
OptimalDualPivotQuicksort,10,2,2,True,17,0.001038,29,22
YaroslavskiyQuicksort,10,1,2,True,17,0.000061,29,22
ThreePivotQuicksort,10,1,3,True,13,0.000207,29,22
MPivotQuicksort,10,1,3,True,13,0.000048,29,22
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000037,29,22
MPivotQuicksort,10,1,4,True,13,0.000036,29,22
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000039,29,22
MPivotQuicksort,10,1,5,True,13,0.000044,29,22
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000183,29,22
MPivotQuicksort,10,1,6,True,13,0.000064,29,22
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000054,29,22
ClassicQuicksort,1007,1,1,False,10,0.001702,11364,5789
ClassicQuicksort,1007,1,1,True,17,0.001081,12017,6622
ClassicQuicksort,1007,2,1,False,10,0.006310,11287,6965
ClassicQuicksort,1007,2,1,True,17,0.004288,12022,7427
ClassicQuicksort,1007,3,1,False,10,0.002119,10284,5841
ClassicQuicksort,1007,3,1,True,17,0.002341,10409,6034
DualPivotQuicksort,1007,1,2,False,10,0.004856,11322,4376
DualPivotQuicksort,1007,1,2,True,17,0.000726,11573,4844
OptimalDualPivotQuicksort,1007,1,2,False,10,0.002681,11140,4376
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000861,11391,4844
DualPivotQuicksort,1007,2,2,False,10,0.006020,10899,4902
DualPivotQuicksort,1007,2,2,True,17,0.001087,10494,4938
OptimalDualPivotQuicksort,1007,2,2,False,10,0.002574,10700,4902
OptimalDualPivotQuicksort,1007,2,2,True,17,0.001134,10287,4938
YaroslavskiyQuicksort,1007,1,2,True,17,0.095793,11409,4822
ThreePivotQuicksort,1007,1,3,True,13,0.038078,14881,5030
MPivotQuicksort,1007,1,3,True,13,0.030898,11895,5219
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.005707,15404,6836
MPivotQuicksort,1007,1,4,True,13,0.002791,12164,5527
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.002374,15941,6732
MPivotQuicksort,1007,1,5,True,13,0.002630,14172,5542
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.003112,17033,6446
MPivotQuicksort,1007,1,6,True,13,0.002756,15374,5499
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.004326,17768,6634
ClassicQuicksort,104,1,1,False,10,0.000722,592,301
ClassicQuicksort,104,1,1,True,17,0.000302,685,409
ClassicQuicksort,104,2,1,False,10,0.000919,698,387
ClassicQuicksort,104,2,1,True,17,0.000503,748,406
ClassicQuicksort,104,3,1,False,10,0.004888,668,420
ClassicQuicksort,104,3,1,True,17,0.000382,681,428
DualPivotQuicksort,104,1,2,False,10,0.019920,681,285
