Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000111,22,13
ClassicQuicksort,10,1,1,True,17,0.000084,34,26
ClassicQuicksort,10,2,1,False,10,0.000055,19,19
ClassicQuicksort,10,2,1,True,17,0.000044,34,26
ClassicQuicksort,10,3,1,False,10,0.000068,27,22
ClassicQuicksort,10,3,1,True,17,0.000038,34,26
DualPivotQuicksort,10,1,2,False,10,0.000098,25,14
DualPivotQuicksort,10,1,2,True,17,0.000041,34,26
OptimalDualPivotQuicksort,10,1,2,False,10,0.000070,24,14
OptimalDualPivotQuicksort,10,1,2,True,17,0.000043,34,26
DualPivotQuicksort,10,2,2,False,10,0.000066,30,21
DualPivotQuicksort,10,2,2,True,17,0.000038,34,26
OptimalDualPivotQuicksort,10,2,2,False,10,0.000070,31,21
OptimalDualPivotQuicksort,10,2,2,True,17,0.000043,34,26
YaroslavskiyQuicksort,10,1,2,True,17,0.000059,34,26
ThreePivotQuicksort,10,1,3,True,13,0.000115,34,26
MPivotQuicksort,10,1,3,True,13,0.000038,34,26
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000063,34,26
MPivotQuicksort,10,1,4,True,13,0.000032,34,26
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000037,34,26
MPivotQuicksort,10,1,5,True,13,0.000030,34,26
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000032,34,26
MPivotQuicksort,10,1,6,True,13,0.000032,34,26
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000154,34,26
ClassicQuicksort,1007,1,1,False,10,0.000366,10111,5125
ClassicQuicksort,1007,1,1,True,17,0.000308,10852,5991
ClassicQuicksort,1007,2,1,False,10,0.000460,10519,5673
ClassicQuicksort,1007,2,1,True,17,0.000523,11122,5954
ClassicQuicksort,1007,3,1,False,10,0.000586,10693,6427
ClassicQuicksort,1007,3,1,True,17,0.000456,10928,6685
DualPivotQuicksort,1007,1,2,False,10,0.000544,10840,4165
DualPivotQuicksort,1007,1,2,True,17,0.000370,11240,4926
OptimalDualPivotQuicksort,1007,1,2,False,10,0.000815,10421,4165
OptimalDualPivotQuicksort,1007,1,2,True,17,0.000460,10830,4926
DualPivotQuicksort,1007,2,2,False,10,0.000672,10813,4867
DualPivotQuicksort,1007,2,2,True,17,0.000518,10587,5011
OptimalDualPivotQuicksort,1007,2,2,False,10,0.000728,10704,4867
OptimalDualPivotQuicksort,1007,2,2,True,17,0.000518,10484,5011
YaroslavskiyQuicksort,1007,1,2,True,17,0.000538,10638,5131
ThreePivotQuicksort,1007,1,3,True,13,0.001119,15045,5760
MPivotQuicksort,1007,1,3,True,13,0.004343,11851,5260
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000671,15699,7132
MPivotQuicksort,1007,1,4,True,13,0.000667,12468,5568
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000739,15315,6671
MPivotQuicksort,1007,1,5,True,13,0.000651,13567,5386
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.000705,16147,6478
MPivotQuicksort,1007,1,6,True,13,0.000673,14131,5681
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.000684,16695,6439
ClassicQuicksort,104,1,1,False,10,0.000103,615,326
ClassicQuicksort,104,1,1,True,17,0.000076,652,366
ClassicQuicksort,104,2,1,False,10,0.000088,688,486
ClassicQuicksort,104,2,1,True,17,0.000108,777,551
ClassicQuicksort,104,3,1,False,10,0.000159,746,481
ClassicQuicksort,104,3,1,True,17,0.000109,741,487
DualPivotQuicksort,104,1,2,False,10,0.000121,716,340
DualPivotQuicksort,104,1,2,True,17,0.000094,774,438
OptimalDualPivotQuicksort,104,1,2,False,10,0.000350,692,340
OptimalDualPivotQuicksort,104,1,2,True,17,0.000147,751,438
DualPivotQuicksort,104,2,2,False,10,0.000165,721,385
DualPivotQuicksort,104,2,2,True,17,0.000128,674,357
OptimalDualPivotQuicksort,104,2,2,False,10,0.000132,713,385
OptimalDualPivotQuicksort,104,2,2,True,17,0.000104,664,357
YaroslavskiyQuicksort,104,1,2,True,17,0.000127,717,394
ThreePivotQuicksort,104,1,3,True,13,0.000533,885,379
MPivotQuicksort,104,1,3,True,13,0.000187,768,410
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.000183,1000,531
MPivotQuicksort,104,1,4,True,13,0.000120,886,430
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000127,1072,482
MPivotQuicksort,104,1,5,True,13,0.000157,902,467
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000122,1101,502
MPivotQuicksort,104,1,6,True,13,0.000171,940,514
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000156,992,502
ClassicQuicksort,11004838,1,1,False,10,33.421825,327927065,162683963
ClassicQuicksort,11004838,1,1,True,17,30.387929,335751609,171899747
ClassicQuicksort,11004838,2,1,False,10,37.909694,327746748,171136925
ClassicQuicksort,11004838,2,1,True,17,37.170278,335587602,176025059
ClassicQuicksort,11004838,3,1,False,10,30.272594,290894282,149804601
ClassicQuicksort,11004838,3,1,True,17,31.192297,293634193,153111709
DualPivotQuicksort,11004838,1,2,False,10,29.264495,315974192,108985259
DualPivotQuicksort,11004838,1,2,True,17,25.256160,319544068,115832142
OptimalDualPivotQuicksort,11004838,1,2,False,10,24.568767,305965124,108985259
OptimalDualPivotQuicksort,11004838,1,2,True,17,20.357978,309718589,115832142
DualPivotQuicksort,11004838,2,2,False,10,22.195478,291703190,109652130
DualPivotQuicksort,11004838,2,2,True,17,20.831365,288706408,110549123
OptimalDualPivotQuicksort,11004838,2,2,False,10,23.215963,285234533,109652130
OptimalDualPivotQuicksort,11004838,2,2,True,17,20.736839,282180748,110549123
YaroslavskiyQuicksort,11004838,1,2,True,17,19.740373,291086548,112548222
ThreePivotQuicksort,11004838,1,3,True,13,23.053413,411891004,115582399
MPivotQuicksort,11004838,1,3,True,13,27.033607,329392477,120748830
HeapOptimizedMPivotQuicksort,11004838,1,3,True,13,51.794466,438924981,171787822
MPivotQuicksort,11004838,1,4,True,13,28.168219,339499635,117038401
HeapOptimizedMPivotQuicksort,11004838,1,4,True,13,40.593218,432712524,159008005
MPivotQuicksort,11004838,1,5,True,13,27.784599,359558609,113145045
HeapOptimizedMPivotQuicksort,11004838,1,5,True,13,46.057771,450673508,148815370
MPivotQuicksort,11004838,1,6,True,13,28.038509,387064531,112116309
HeapOptimizedMPivotQuicksort,11004838,1,6,True,13,44.071789,452499102,145560401
ClassicQuicksort,1146260,1,1,False,10,3.353632,28669918,15207087
ClassicQuicksort,1146260,1,1,True,17,3.714740,29487050,16170012
ClassicQuicksort,1146260,2,1,False,10,4.138941,28266840,15605442
ClassicQuicksort,1146260,2,1,True,17,3.755435,29081503,16110340
ClassicQuicksort,1146260,3,1,False,10,3.111499,25930405,14114574
ClassicQuicksort,1146260,3,1,True,17,2.313119,26217866,14461706
DualPivotQuicksort,1146260,1,2,False,10,2.660423,27539063,9687528
DualPivotQuicksort,1146260,1,2,True,17,2.790315,27908148,10395784
OptimalDualPivotQuicksort,1146260,1,2,False,10,2.538331,26836309,9687528
OptimalDualPivotQuicksort,1146260,1,2,True,17,2.367939,27224048,10395784
DualPivotQuicksort,1146260,2,2,False,10,2.601728,26223270,9947158
DualPivotQuicksort,1146260,2,2,True,17,2.303972,25912346,10041853
OptimalDualPivotQuicksort,1146260,2,2,False,10,2.862738,25767580,9947158
OptimalDualPivotQuicksort,1146260,2,2,True,17,2.663836,25451031,10041853
YaroslavskiyQuicksort,1146260,1,2,True,17,2.045605,25942133,10278702
ThreePivotQuicksort,1146260,1,3,True,13,2.275727,35917979,10405354
MPivotQuicksort,1146260,1,3,True,13,2.656657,28169000,11498739
HeapOptimizedMPivotQuicksort,1146260,1,3,True,13,4.153419,37735088,15952788
MPivotQuicksort,1146260,1,4,True,13,2.483019,29918458,10919529
HeapOptimizedMPivotQuicksort,1146260,1,4,True,13,4.472463,38343809,14682464
MPivotQuicksort,1146260,1,5,True,13,2.955841,31946116,10587173
HeapOptimizedMPivotQuicksort,1146260,1,5,True,13,4.770041,40059012,13805490
MPivotQuicksort,1146260,1,6,True,13,2.590553,35008605,10291814
