Name,Length,Median Selection,Num Pivots,Used Insertion Sort,Insertion Sort Threshold,Time,Comparisons,Swaps
ClassicQuicksort,10,1,1,False,10,0.000072,23,17
ClassicQuicksort,10,1,1,True,17,0.000042,32,25
ClassicQuicksort,10,2,1,False,10,0.000093,29,36
ClassicQuicksort,10,2,1,True,17,0.000039,32,25
ClassicQuicksort,10,3,1,False,10,0.000070,32,28
ClassicQuicksort,10,3,1,True,17,0.000037,32,25
DualPivotQuicksort,10,1,2,False,10,0.000078,27,21
DualPivotQuicksort,10,1,2,True,17,0.000037,32,25
OptimalDualPivotQuicksort,10,1,2,False,10,0.000067,27,21
OptimalDualPivotQuicksort,10,1,2,True,17,0.000039,32,25
DualPivotQuicksort,10,2,2,False,10,0.000080,33,25
DualPivotQuicksort,10,2,2,True,17,0.000033,32,25
OptimalDualPivotQuicksort,10,2,2,False,10,0.000126,33,25
OptimalDualPivotQuicksort,10,2,2,True,17,0.000030,32,25
YaroslavskiyQuicksort,10,1,2,True,17,0.000039,32,25
ThreePivotQuicksort,10,1,3,True,13,0.000097,32,25
MPivotQuicksort,10,1,3,True,13,0.000046,32,25
HeapOptimizedMPivotQuicksort,10,1,3,True,13,0.000042,32,25
MPivotQuicksort,10,1,4,True,13,0.000040,32,25
HeapOptimizedMPivotQuicksort,10,1,4,True,13,0.000032,32,25
MPivotQuicksort,10,1,5,True,13,0.000046,32,25
HeapOptimizedMPivotQuicksort,10,1,5,True,13,0.000046,32,25
MPivotQuicksort,10,1,6,True,13,0.000037,32,25
HeapOptimizedMPivotQuicksort,10,1,6,True,13,0.000043,32,25
ClassicQuicksort,1007,1,1,False,10,0.000412,11557,6588
ClassicQuicksort,1007,1,1,True,17,0.000443,12363,7544
ClassicQuicksort,1007,2,1,False,10,0.000646,12421,7821
ClassicQuicksort,1007,2,1,True,17,0.000491,13027,8210
ClassicQuicksort,1007,3,1,False,10,0.000618,10377,6301
ClassicQuicksort,1007,3,1,True,17,0.000472,10622,6636
DualPivotQuicksort,1007,1,2,False,10,0.007872,10958,4888
DualPivotQuicksort,1007,1,2,True,17,0.000994,11192,5393
OptimalDualPivotQuicksort,1007,1,2,False,10,0.007269,10819,4888
OptimalDualPivotQuicksort,1007,1,2,True,17,0.001049,11069,5393
DualPivotQuicksort,1007,2,2,False,10,0.004970,10722,4805
DualPivotQuicksort,1007,2,2,True,17,0.001820,10424,4895
OptimalDualPivotQuicksort,1007,2,2,False,10,0.006378,10614,4805
OptimalDualPivotQuicksort,1007,2,2,True,17,0.001109,10305,4895
YaroslavskiyQuicksort,1007,1,2,True,17,0.000510,11131,5248
ThreePivotQuicksort,1007,1,3,True,13,0.001309,13728,4695
MPivotQuicksort,1007,1,3,True,13,0.000600,11996,5504
HeapOptimizedMPivotQuicksort,1007,1,3,True,13,0.000668,15571,7131
MPivotQuicksort,1007,1,4,True,13,0.000691,13110,5462
HeapOptimizedMPivotQuicksort,1007,1,4,True,13,0.000743,16317,6669
MPivotQuicksort,1007,1,5,True,13,0.000666,14202,5603
HeapOptimizedMPivotQuicksort,1007,1,5,True,13,0.000769,16340,6318
MPivotQuicksort,1007,1,6,True,13,0.000705,14068,5772
HeapOptimizedMPivotQuicksort,1007,1,6,True,13,0.000659,16334,6548
ClassicQuicksort,104,1,1,False,10,0.000135,694,390
ClassicQuicksort,104,1,1,True,17,0.000146,781,482
ClassicQuicksort,104,2,1,False,10,0.000117,619,481
ClassicQuicksort,104,2,1,True,17,0.000135,700,515
ClassicQuicksort,104,3,1,False,10,0.000126,741,481
ClassicQuicksort,104,3,1,True,17,0.000094,778,531
DualPivotQuicksort,104,1,2,False,10,0.000282,751,293
DualPivotQuicksort,104,1,2,True,17,0.000122,785,361
OptimalDualPivotQuicksort,104,1,2,False,10,0.000391,735,293
OptimalDualPivotQuicksort,104,1,2,True,17,0.000200,771,361
DualPivotQuicksort,104,2,2,False,10,0.000383,752,375
DualPivotQuicksort,104,2,2,True,17,0.000195,687,358
OptimalDualPivotQuicksort,104,2,2,False,10,0.000314,743,375
OptimalDualPivotQuicksort,104,2,2,True,17,0.000200,677,358
YaroslavskiyQuicksort,104,1,2,True,17,0.000113,729,359
ThreePivotQuicksort,104,1,3,True,13,0.000337,931,360
MPivotQuicksort,104,1,3,True,13,0.000168,814,416
HeapOptimizedMPivotQuicksort,104,1,3,True,13,0.000162,978,501
MPivotQuicksort,104,1,4,True,13,0.000130,787,421
HeapOptimizedMPivotQuicksort,104,1,4,True,13,0.000187,989,465
MPivotQuicksort,104,1,5,True,13,0.000140,913,435
HeapOptimizedMPivotQuicksort,104,1,5,True,13,0.000278,999,455
MPivotQuicksort,104,1,6,True,13,0.000300,964,455
HeapOptimizedMPivotQuicksort,104,1,6,True,13,0.000226,1032,449
ClassicQuicksort,11004838,1,1,False,10,15.763719,326087113,166750831
ClassicQuicksort,11004838,1,1,True,17,15.156036,333923676,175975353
ClassicQuicksort,11004838,2,1,False,10,19.705704,315831051,172983592
ClassicQuicksort,11004838,2,1,True,17,20.041988,323677846,177872688
ClassicQuicksort,11004838,3,1,False,10,17.302896,289529319,150152513
ClassicQuicksort,11004838,3,1,True,17,15.337326,292285631,153483693
DualPivotQuicksort,11004838,1,2,False,10,113.957622,308993770,104318001
DualPivotQuicksort,11004838,1,2,True,17,38.310425,312552343,111156982
OptimalDualPivotQuicksort,11004838,1,2,False,10,95.208511,299974328,104318001
OptimalDualPivotQuicksort,11004838,1,2,True,17,38.606339,303715153,111156982
DualPivotQuicksort,11004838,2,2,False,10,137.179872,293672831,109271074
